name,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
TcCLB.405453.9,0.273,47,0.242,38,0.671,19,0.315,0.271,N,0.500,SignalP-TM
TcCLB.406999.10,0.207,17,0.292,17,0.523,1,0.369,0.334,N,0.450,SignalP-noTM
TcCLB.407477.10,0.108,58,0.105,37,0.110,55,0.094,0.099,N,0.450,SignalP-noTM
TcCLB.407477.20,0.209,49,0.150,49,0.163,48,0.110,0.128,N,0.450,SignalP-noTM
TcCLB.407477.30,0.132,13,0.158,13,0.212,7,0.180,0.169,N,0.450,SignalP-noTM
TcCLB.407477.40,0.390,54,0.244,54,0.263,47,0.142,0.189,N,0.450,SignalP-noTM
TcCLB.407477.44,0.112,39,0.108,22,0.124,4,0.107,0.108,N,0.450,SignalP-noTM
TcCLB.407477.50,0.120,29,0.158,12,0.291,2,0.220,0.191,N,0.450,SignalP-noTM
TcCLB.407477.60,0.146,32,0.242,19,0.700,3,0.434,0.345,N,0.450,SignalP-noTM
TcCLB.407477.69,0.118,24,0.115,24,0.146,21,0.112,0.113,N,0.450,SignalP-noTM
TcCLB.408345.10,0.114,32,0.117,12,0.156,1,0.103,0.109,N,0.450,SignalP-noTM
TcCLB.408345.20,0.392,22,0.324,22,0.418,16,0.264,0.291,N,0.450,SignalP-noTM
TcCLB.408437.10,0.147,30,0.141,30,0.261,28,0.128,0.134,N,0.450,SignalP-noTM
TcCLB.408437.20,0.123,17,0.132,17,0.223,2,0.134,0.133,N,0.450,SignalP-noTM
TcCLB.408437.29,0.109,38,0.107,70,0.125,2,0.102,0.105,N,0.450,SignalP-noTM
TcCLB.408547.10,0.861,27,0.896,27,0.987,7,0.937,0.918,Y,0.450,SignalP-noTM
TcCLB.408547.5,0.109,29,0.106,49,0.119,44,0.101,0.104,N,0.450,SignalP-noTM
TcCLB.408573.5,0.181,34,0.224,34,0.467,32,0.235,0.229,N,0.500,SignalP-TM
TcCLB.408573.9,0.137,24,0.140,24,0.211,3,0.144,0.143,N,0.450,SignalP-noTM
TcCLB.408799.10,0.136,33,0.115,11,0.147,1,0.107,0.111,N,0.450,SignalP-noTM
TcCLB.408799.19,0.108,47,0.103,52,0.121,9,0.098,0.100,N,0.450,SignalP-noTM
TcCLB.409101.9,0.187,24,0.159,24,0.209,4,0.135,0.146,N,0.450,SignalP-noTM
TcCLB.409117.10,0.114,38,0.108,38,0.142,28,0.105,0.106,N,0.450,SignalP-noTM
TcCLB.409117.20,0.112,41,0.104,41,0.108,28,0.095,0.099,N,0.450,SignalP-noTM
TcCLB.409139.9,0.217,19,0.311,19,0.530,1,0.429,0.375,N,0.450,SignalP-noTM
TcCLB.410243.10,0.118,39,0.109,39,0.131,38,0.102,0.105,N,0.450,SignalP-noTM
TcCLB.410589.10,0.173,22,0.168,22,0.298,1,0.158,0.162,N,0.450,SignalP-noTM
TcCLB.410589.19,0.168,19,0.159,19,0.178,15,0.148,0.153,N,0.450,SignalP-noTM
TcCLB.410943.10,0.186,16,0.162,16,0.193,15,0.141,0.151,N,0.450,SignalP-noTM
TcCLB.410961.10,0.133,21,0.165,21,0.314,20,0.203,0.185,N,0.450,SignalP-noTM
TcCLB.411337.10,0.117,17,0.140,17,0.208,1,0.152,0.146,N,0.450,SignalP-noTM
TcCLB.411427.10,0.266,27,0.172,27,0.142,31,0.112,0.140,N,0.450,SignalP-noTM
TcCLB.411427.30,0.210,31,0.160,31,0.174,2,0.126,0.141,N,0.450,SignalP-noTM
TcCLB.411427.40,0.280,19,0.361,19,0.692,2,0.415,0.390,N,0.450,SignalP-noTM
TcCLB.411427.49,0.130,62,0.137,62,0.231,58,0.098,0.121,N,0.500,SignalP-TM
TcCLB.412093.10,0.151,41,0.132,41,0.206,39,0.109,0.119,N,0.450,SignalP-noTM
TcCLB.412943.9,0.123,49,0.109,49,0.109,56,0.097,0.102,N,0.450,SignalP-noTM
TcCLB.413605.10,0.156,43,0.138,19,0.194,13,0.145,0.142,N,0.450,SignalP-noTM
TcCLB.413977.10,0.112,21,0.140,11,0.243,4,0.189,0.166,N,0.450,SignalP-noTM
TcCLB.414145.9,0.229,47,0.312,47,0.571,41,0.257,0.290,N,0.500,SignalP-TM
TcCLB.414517.9,0.125,21,0.110,21,0.119,30,0.097,0.103,N,0.450,SignalP-noTM
TcCLB.415331.10,0.182,32,0.159,32,0.204,4,0.149,0.154,N,0.450,SignalP-noTM
TcCLB.416503.10,0.387,21,0.369,21,0.444,11,0.351,0.360,N,0.450,SignalP-noTM
TcCLB.416761.10,0.114,27,0.106,27,0.109,11,0.099,0.102,N,0.450,SignalP-noTM
TcCLB.416883.18,0.128,24,0.156,12,0.304,8,0.227,0.195,N,0.450,SignalP-noTM
TcCLB.416883.9,0.119,8,0.127,11,0.195,2,0.149,0.139,N,0.450,SignalP-noTM
TcCLB.417091.10,0.222,23,0.218,23,0.326,18,0.214,0.216,N,0.450,SignalP-noTM
TcCLB.417203.9,0.174,30,0.245,30,0.605,10,0.356,0.305,N,0.450,SignalP-noTM
TcCLB.417797.9,0.111,42,0.111,42,0.163,28,0.103,0.107,N,0.450,SignalP-noTM
TcCLB.417939.9,0.136,18,0.128,18,0.170,5,0.114,0.120,N,0.450,SignalP-noTM
TcCLB.417993.10,0.433,19,0.388,19,0.540,5,0.351,0.368,N,0.450,SignalP-noTM
TcCLB.418069.10,0.112,41,0.106,33,0.144,13,0.099,0.102,N,0.450,SignalP-noTM
TcCLB.418405.10,0.777,29,0.819,29,0.991,7,0.888,0.856,Y,0.450,SignalP-noTM
TcCLB.418405.20,0.483,24,0.691,24,0.998,17,0.986,0.850,Y,0.450,SignalP-noTM
TcCLB.418405.30,0.111,34,0.107,12,0.120,11,0.104,0.105,N,0.450,SignalP-noTM
TcCLB.418613.20,0.873,26,0.873,26,0.985,5,0.885,0.880,Y,0.450,SignalP-noTM
TcCLB.419043.10,0.111,27,0.110,11,0.124,1,0.099,0.104,N,0.450,SignalP-noTM
TcCLB.419417.10,0.120,24,0.122,24,0.210,23,0.126,0.124,N,0.450,SignalP-noTM
TcCLB.419417.19,0.119,26,0.107,26,0.110,2,0.096,0.101,N,0.450,SignalP-noTM
TcCLB.419417.4,0.142,18,0.255,18,0.582,1,0.422,0.345,N,0.450,SignalP-noTM
TcCLB.419469.14,0.112,57,0.111,12,0.139,19,0.113,0.112,N,0.450,SignalP-noTM
TcCLB.419469.30,0.118,34,0.107,34,0.107,70,0.097,0.102,N,0.450,SignalP-noTM
TcCLB.419637.9,0.200,23,0.160,23,0.179,19,0.128,0.143,N,0.450,SignalP-noTM
TcCLB.419703.10,0.135,40,0.114,40,0.122,43,0.096,0.104,N,0.450,SignalP-noTM
TcCLB.419703.20,0.270,45,0.174,45,0.187,44,0.109,0.139,N,0.450,SignalP-noTM
TcCLB.420091.10,0.186,24,0.190,24,0.292,22,0.197,0.194,N,0.450,SignalP-noTM
TcCLB.420293.20,0.169,64,0.203,64,0.530,45,0.177,0.193,N,0.500,SignalP-TM
TcCLB.420293.31,0.135,35,0.126,13,0.222,10,0.158,0.144,N,0.450,SignalP-noTM
TcCLB.420293.40,0.138,20,0.140,52,0.300,47,0.144,0.142,N,0.450,SignalP-noTM
TcCLB.420293.50,0.345,17,0.329,17,0.514,1,0.335,0.332,N,0.500,SignalP-TM
TcCLB.420369.20,0.291,65,0.247,65,0.327,45,0.160,0.212,N,0.500,SignalP-TM
TcCLB.420369.40,0.129,27,0.110,27,0.125,1,0.096,0.103,N,0.450,SignalP-noTM
TcCLB.420495.10,0.123,29,0.141,14,0.332,11,0.191,0.168,N,0.450,SignalP-noTM
TcCLB.420495.19,0.111,19,0.130,19,0.192,12,0.152,0.142,N,0.450,SignalP-noTM
TcCLB.420989.10,0.176,27,0.207,11,0.511,1,0.345,0.281,N,0.450,SignalP-noTM
TcCLB.421173.14,0.176,40,0.133,40,0.140,39,0.100,0.115,N,0.450,SignalP-noTM
TcCLB.421173.4,0.619,65,0.415,65,0.407,45,0.178,0.320,N,0.500,SignalP-TM
TcCLB.421321.9,0.112,4,0.114,47,0.202,43,0.113,0.113,N,0.450,SignalP-noTM
TcCLB.421619.10,0.109,49,0.109,40,0.119,27,0.100,0.104,N,0.450,SignalP-noTM
TcCLB.421959.10,0.122,38,0.117,20,0.143,4,0.117,0.117,N,0.450,SignalP-noTM
TcCLB.422041.9,0.221,17,0.159,17,0.146,1,0.103,0.129,N,0.450,SignalP-noTM
TcCLB.422207.10,0.502,32,0.471,32,0.678,27,0.341,0.419,N,0.500,SignalP-TM
TcCLB.422207.21,0.135,27,0.189,11,0.434,1,0.242,0.217,N,0.450,SignalP-noTM
TcCLB.422319.10,0.146,18,0.182,18,0.246,10,0.223,0.204,N,0.450,SignalP-noTM
TcCLB.422507.10,0.111,20,0.120,11,0.167,2,0.125,0.123,N,0.450,SignalP-noTM
TcCLB.422843.10,0.115,16,0.120,11,0.152,1,0.120,0.120,N,0.450,SignalP-noTM
TcCLB.423205.10,0.588,25,0.749,25,0.984,14,0.954,0.860,Y,0.450,SignalP-noTM
TcCLB.424195.5,0.121,27,0.129,12,0.189,3,0.143,0.137,N,0.450,SignalP-noTM
TcCLB.424195.9,0.125,44,0.127,44,0.150,23,0.114,0.120,N,0.450,SignalP-noTM
TcCLB.424383.9,0.533,28,0.666,28,0.953,8,0.845,0.763,Y,0.450,SignalP-noTM
TcCLB.424795.10,0.295,31,0.245,31,0.462,13,0.252,0.248,N,0.500,SignalP-TM
TcCLB.424889.10,0.123,34,0.179,42,0.416,31,0.201,0.188,N,0.500,SignalP-TM
TcCLB.425311.9,0.185,19,0.164,19,0.186,15,0.140,0.151,N,0.450,SignalP-noTM
TcCLB.425435.10,0.107,67,0.103,35,0.110,28,0.100,0.101,N,0.450,SignalP-noTM
TcCLB.425851.9,0.111,50,0.108,67,0.157,49,0.099,0.103,N,0.450,SignalP-noTM
TcCLB.426397.9,0.108,49,0.114,49,0.149,30,0.112,0.113,N,0.450,SignalP-noTM
TcCLB.427247.10,0.108,27,0.120,65,0.188,53,0.106,0.114,N,0.500,SignalP-TM
TcCLB.427247.4,0.110,24,0.109,12,0.147,2,0.110,0.110,N,0.450,SignalP-noTM
TcCLB.427355.10,0.222,41,0.107,41,0.137,14,0.076,0.095,N,0.500,SignalP-TM
TcCLB.428999.10,0.329,43,0.372,43,0.606,26,0.295,0.341,N,0.500,SignalP-TM
TcCLB.428999.20,0.135,16,0.172,16,0.308,1,0.179,0.176,N,0.450,SignalP-noTM
TcCLB.428999.30,0.700,26,0.549,26,0.703,2,0.490,0.525,Y,0.500,SignalP-TM
TcCLB.429185.20,0.285,32,0.195,32,0.182,31,0.131,0.161,N,0.450,SignalP-noTM
TcCLB.429185.31,0.144,67,0.143,61,0.245,59,0.123,0.135,N,0.500,SignalP-TM
TcCLB.429257.10,0.126,19,0.108,57,0.125,51,0.099,0.103,N,0.450,SignalP-noTM
TcCLB.429257.20,0.108,14,0.111,12,0.138,1,0.099,0.105,N,0.450,SignalP-noTM
TcCLB.430061.9,0.156,30,0.134,30,0.143,34,0.115,0.124,N,0.450,SignalP-noTM
TcCLB.430281.10,0.132,38,0.119,38,0.194,11,0.120,0.119,N,0.450,SignalP-noTM
TcCLB.430281.20,0.130,20,0.130,20,0.156,13,0.128,0.129,N,0.450,SignalP-noTM
TcCLB.430539.10,0.107,58,0.103,11,0.105,49,0.096,0.099,N,0.450,SignalP-noTM
TcCLB.430539.20,0.248,20,0.291,20,0.478,11,0.361,0.319,N,0.500,SignalP-TM
TcCLB.430605.10,0.130,23,0.120,23,0.134,3,0.111,0.115,N,0.450,SignalP-noTM
TcCLB.430605.20,0.113,37,0.120,37,0.187,7,0.128,0.124,N,0.450,SignalP-noTM
TcCLB.430605.29,0.141,30,0.142,11,0.242,4,0.169,0.157,N,0.450,SignalP-noTM
TcCLB.430605.40,0.118,37,0.111,60,0.135,43,0.104,0.107,N,0.450,SignalP-noTM
TcCLB.430737.10,0.118,31,0.116,11,0.178,5,0.131,0.124,N,0.450,SignalP-noTM
TcCLB.430737.20,0.118,20,0.111,20,0.119,3,0.103,0.107,N,0.450,SignalP-noTM
TcCLB.430895.10,0.112,33,0.110,33,0.123,21,0.104,0.107,N,0.450,SignalP-noTM
TcCLB.430895.16,0.183,42,0.224,42,0.343,39,0.165,0.201,N,0.500,SignalP-TM
TcCLB.430895.4,0.165,18,0.159,18,0.237,8,0.153,0.157,N,0.500,SignalP-TM
TcCLB.432027.9,0.234,44,0.216,44,0.342,24,0.216,0.216,N,0.450,SignalP-noTM
TcCLB.432621.9,0.534,43,0.420,43,0.640,41,0.251,0.329,N,0.450,SignalP-noTM
TcCLB.432787.10,0.108,19,0.107,34,0.132,13,0.103,0.105,N,0.450,SignalP-noTM
TcCLB.433033.10,0.218,44,0.144,22,0.290,1,0.182,0.159,N,0.500,SignalP-TM
TcCLB.433273.10,0.130,25,0.122,12,0.219,2,0.129,0.126,N,0.450,SignalP-noTM
TcCLB.433673.10,0.258,65,0.262,65,0.411,45,0.183,0.230,N,0.500,SignalP-TM
TcCLB.434259.10,0.137,27,0.133,27,0.163,38,0.130,0.131,N,0.450,SignalP-noTM
TcCLB.434259.19,0.167,20,0.144,20,0.179,16,0.125,0.134,N,0.450,SignalP-noTM
TcCLB.434931.10,0.109,43,0.114,12,0.144,1,0.110,0.112,N,0.450,SignalP-noTM
TcCLB.434931.20,0.107,46,0.104,38,0.118,22,0.096,0.100,N,0.450,SignalP-noTM
TcCLB.434945.10,0.124,40,0.128,54,0.205,32,0.126,0.127,N,0.450,SignalP-noTM
TcCLB.434945.4,0.184,18,0.215,18,0.296,4,0.243,0.230,N,0.450,SignalP-noTM
TcCLB.435601.10,0.126,54,0.120,54,0.155,50,0.104,0.111,N,0.450,SignalP-noTM
TcCLB.436497.10,0.107,4,0.149,11,0.267,2,0.212,0.183,N,0.450,SignalP-noTM
TcCLB.436521.9,0.508,20,0.529,20,0.860,2,0.614,0.563,Y,0.500,SignalP-TM
TcCLB.436535.10,0.109,59,0.103,40,0.126,5,0.096,0.099,N,0.450,SignalP-noTM
TcCLB.436535.19,0.230,52,0.163,52,0.209,50,0.104,0.131,N,0.450,SignalP-noTM
TcCLB.437121.9,0.870,21,0.915,21,0.989,5,0.963,0.941,Y,0.450,SignalP-noTM
TcCLB.437545.10,0.110,44,0.113,11,0.125,1,0.113,0.113,N,0.450,SignalP-noTM
TcCLB.437805.9,0.146,21,0.127,21,0.139,31,0.108,0.116,N,0.450,SignalP-noTM
TcCLB.438059.10,0.141,33,0.124,33,0.150,32,0.108,0.115,N,0.450,SignalP-noTM
TcCLB.438147.18,0.114,34,0.146,11,0.337,5,0.212,0.181,N,0.450,SignalP-noTM
TcCLB.438147.9,0.841,30,0.868,30,0.958,20,0.880,0.875,Y,0.450,SignalP-noTM
TcCLB.438897.10,0.109,48,0.106,51,0.114,50,0.098,0.101,N,0.450,SignalP-noTM
TcCLB.438923.10,0.865,34,0.901,34,0.989,14,0.938,0.921,Y,0.450,SignalP-noTM
TcCLB.439245.10,0.738,26,0.833,26,0.995,6,0.945,0.894,Y,0.450,SignalP-noTM
TcCLB.439307.19,0.111,33,0.107,67,0.128,54,0.099,0.103,N,0.450,SignalP-noTM
TcCLB.439307.9,0.814,27,0.859,27,0.982,16,0.911,0.887,Y,0.450,SignalP-noTM
TcCLB.439653.10,0.133,23,0.166,12,0.351,4,0.227,0.199,N,0.450,SignalP-noTM
TcCLB.439803.9,0.117,33,0.115,33,0.169,13,0.113,0.114,N,0.450,SignalP-noTM
TcCLB.441061.9,0.111,38,0.103,45,0.125,37,0.092,0.097,N,0.450,SignalP-noTM
TcCLB.441241.10,0.142,28,0.122,28,0.134,21,0.107,0.114,N,0.450,SignalP-noTM
TcCLB.441401.10,0.151,38,0.126,38,0.122,32,0.099,0.111,N,0.450,SignalP-noTM
TcCLB.442297.10,0.107,39,0.106,46,0.124,26,0.102,0.104,N,0.450,SignalP-noTM
TcCLB.442383.19,0.108,29,0.113,12,0.129,3,0.114,0.113,N,0.450,SignalP-noTM
TcCLB.442383.9,0.111,37,0.103,37,0.110,38,0.093,0.098,N,0.450,SignalP-noTM
TcCLB.442427.10,0.112,38,0.110,38,0.120,49,0.104,0.107,N,0.450,SignalP-noTM
TcCLB.442629.9,0.110,53,0.108,66,0.128,52,0.102,0.105,N,0.450,SignalP-noTM
TcCLB.443683.9,0.114,49,0.138,11,0.222,1,0.140,0.139,N,0.450,SignalP-noTM
TcCLB.444331.10,0.113,46,0.108,46,0.132,36,0.099,0.103,N,0.450,SignalP-noTM
TcCLB.445011.10,0.230,16,0.270,16,0.369,1,0.294,0.283,N,0.450,SignalP-noTM
TcCLB.445011.19,0.125,18,0.198,11,0.423,3,0.365,0.265,N,0.500,SignalP-TM
TcCLB.445281.9,0.110,29,0.105,29,0.108,23,0.098,0.101,N,0.450,SignalP-noTM
TcCLB.445553.10,0.127,50,0.113,50,0.144,49,0.099,0.105,N,0.450,SignalP-noTM
TcCLB.445635.10,0.123,21,0.248,11,0.735,1,0.443,0.353,N,0.450,SignalP-noTM
TcCLB.445849.10,0.111,21,0.108,53,0.138,43,0.101,0.104,N,0.450,SignalP-noTM
TcCLB.445869.10,0.151,58,0.129,58,0.139,13,0.106,0.116,N,0.450,SignalP-noTM
TcCLB.447255.10,0.255,24,0.450,24,0.884,21,0.795,0.636,Y,0.450,SignalP-noTM
TcCLB.447255.20,0.130,19,0.174,19,0.311,18,0.234,0.206,N,0.450,SignalP-noTM
TcCLB.447255.29,0.257,45,0.282,45,0.758,41,0.219,0.248,N,0.450,SignalP-noTM
TcCLB.447255.4,0.112,62,0.106,45,0.114,25,0.101,0.103,N,0.450,SignalP-noTM
TcCLB.447705.19,0.165,32,0.162,32,0.247,6,0.167,0.164,N,0.500,SignalP-TM
TcCLB.447705.9,0.141,38,0.135,38,0.234,35,0.130,0.132,N,0.450,SignalP-noTM
TcCLB.447847.10,0.137,44,0.156,20,0.307,19,0.224,0.193,N,0.450,SignalP-noTM
TcCLB.447847.19,0.124,27,0.190,12,0.391,4,0.318,0.259,N,0.450,SignalP-noTM
TcCLB.447925.10,0.759,25,0.854,25,0.990,16,0.959,0.911,Y,0.450,SignalP-noTM
TcCLB.448197.10,0.111,46,0.109,24,0.128,19,0.108,0.109,N,0.450,SignalP-noTM
TcCLB.448387.9,0.112,68,0.104,11,0.108,23,0.092,0.097,N,0.450,SignalP-noTM
TcCLB.448567.9,0.128,31,0.115,31,0.130,21,0.102,0.108,N,0.450,SignalP-noTM
TcCLB.449247.10,0.141,17,0.139,17,0.200,2,0.130,0.134,N,0.450,SignalP-noTM
TcCLB.449247.20,0.126,36,0.116,36,0.142,2,0.107,0.111,N,0.450,SignalP-noTM
TcCLB.449247.4,0.131,39,0.121,39,0.177,36,0.111,0.116,N,0.450,SignalP-noTM
TcCLB.450061.10,0.123,21,0.120,21,0.162,17,0.118,0.119,N,0.450,SignalP-noTM
TcCLB.450155.9,0.107,45,0.107,12,0.133,9,0.108,0.107,N,0.450,SignalP-noTM
TcCLB.453917.9,0.133,32,0.115,32,0.141,45,0.095,0.104,N,0.450,SignalP-noTM
TcCLB.454787.10,0.110,17,0.107,37,0.116,47,0.101,0.103,N,0.450,SignalP-noTM
TcCLB.454787.20,0.470,37,0.461,37,0.760,28,0.365,0.409,N,0.450,SignalP-noTM
TcCLB.455171.9,0.538,39,0.673,39,0.931,30,0.669,0.671,Y,0.450,SignalP-noTM
TcCLB.456097.10,0.136,25,0.140,25,0.183,3,0.147,0.144,N,0.450,SignalP-noTM
TcCLB.456097.30,0.242,19,0.188,19,0.402,2,0.186,0.187,N,0.500,SignalP-TM
TcCLB.456139.10,0.124,22,0.131,22,0.175,41,0.137,0.135,N,0.450,SignalP-noTM
TcCLB.456627.10,0.156,28,0.124,28,0.125,1,0.101,0.112,N,0.450,SignalP-noTM
TcCLB.457109.9,0.173,61,0.140,61,0.171,1,0.128,0.133,N,0.450,SignalP-noTM
TcCLB.457547.9,0.117,16,0.129,16,0.214,14,0.140,0.133,N,0.500,SignalP-TM
TcCLB.458015.10,0.207,16,0.172,16,0.238,12,0.148,0.159,N,0.450,SignalP-noTM
TcCLB.458015.4,0.120,49,0.107,49,0.115,26,0.097,0.102,N,0.450,SignalP-noTM
TcCLB.458153.10,0.110,49,0.106,12,0.128,4,0.106,0.106,N,0.450,SignalP-noTM
TcCLB.459793.10,0.580,29,0.739,29,0.995,14,0.948,0.852,Y,0.450,SignalP-noTM
TcCLB.459793.20,0.420,31,0.474,22,0.965,8,0.844,0.622,Y,0.500,SignalP-TM
TcCLB.460061.10,0.164,41,0.165,41,0.308,10,0.174,0.170,N,0.450,SignalP-noTM
TcCLB.460061.20,0.175,64,0.196,64,0.362,45,0.155,0.180,N,0.500,SignalP-TM
TcCLB.461165.10,0.246,19,0.160,19,0.114,34,0.102,0.128,N,0.450,SignalP-noTM
TcCLB.461165.16,0.142,19,0.178,19,0.303,1,0.207,0.194,N,0.450,SignalP-noTM
TcCLB.461165.4,0.111,64,0.118,11,0.172,4,0.124,0.121,N,0.450,SignalP-noTM
TcCLB.461515.10,0.470,25,0.661,25,0.990,5,0.933,0.808,Y,0.450,SignalP-noTM
TcCLB.461927.9,0.112,21,0.140,11,0.258,8,0.185,0.165,N,0.450,SignalP-noTM
TcCLB.462545.9,0.182,24,0.269,24,0.566,6,0.394,0.337,N,0.450,SignalP-noTM
TcCLB.462617.10,0.148,27,0.132,27,0.181,1,0.124,0.128,N,0.450,SignalP-noTM
TcCLB.462761.10,0.878,28,0.917,28,0.989,19,0.952,0.936,Y,0.450,SignalP-noTM
TcCLB.462761.16,0.384,24,0.245,24,0.254,4,0.180,0.219,N,0.500,SignalP-TM
TcCLB.462761.4,0.112,43,0.111,11,0.137,1,0.111,0.111,N,0.450,SignalP-noTM
TcCLB.463155.10,0.164,29,0.343,20,0.881,9,0.775,0.576,Y,0.450,SignalP-noTM
TcCLB.463155.20,0.176,21,0.365,21,0.857,8,0.748,0.572,Y,0.450,SignalP-noTM
TcCLB.463155.40,0.180,49,0.162,49,0.233,41,0.126,0.147,N,0.500,SignalP-TM
TcCLB.463297.10,0.116,22,0.105,43,0.114,25,0.094,0.099,N,0.450,SignalP-noTM
TcCLB.463673.9,0.126,17,0.161,17,0.324,14,0.199,0.181,N,0.450,SignalP-noTM
TcCLB.464807.10,0.108,56,0.109,12,0.147,2,0.112,0.111,N,0.450,SignalP-noTM
TcCLB.464807.20,0.154,18,0.144,18,0.356,39,0.144,0.144,N,0.450,SignalP-noTM
TcCLB.466007.9,0.125,46,0.111,46,0.131,22,0.102,0.106,N,0.450,SignalP-noTM
TcCLB.466529.9,0.625,29,0.596,29,0.658,22,0.510,0.562,Y,0.500,SignalP-TM
TcCLB.466823.10,0.118,48,0.117,23,0.159,11,0.123,0.120,N,0.450,SignalP-noTM
TcCLB.466823.20,0.146,29,0.127,11,0.166,1,0.128,0.128,N,0.450,SignalP-noTM
TcCLB.466879.10,0.109,16,0.106,16,0.118,10,0.103,0.104,N,0.450,SignalP-noTM
TcCLB.466965.10,0.341,33,0.445,33,0.870,30,0.532,0.492,Y,0.450,SignalP-noTM
TcCLB.468217.14,0.768,29,0.839,29,0.990,7,0.928,0.887,Y,0.450,SignalP-noTM
TcCLB.468217.30,0.115,27,0.115,11,0.145,1,0.111,0.113,N,0.450,SignalP-noTM
TcCLB.468405.9,0.142,28,0.160,20,0.250,5,0.201,0.182,N,0.450,SignalP-noTM
TcCLB.468941.9,0.109,64,0.130,11,0.236,4,0.157,0.145,N,0.450,SignalP-noTM
TcCLB.469435.10,0.106,33,0.122,17,0.197,39,0.141,0.130,N,0.500,SignalP-TM
TcCLB.469435.4,0.212,19,0.266,19,0.471,16,0.325,0.298,N,0.450,SignalP-noTM
TcCLB.469785.10,0.124,14,0.164,14,0.289,5,0.197,0.182,N,0.450,SignalP-noTM
TcCLB.469785.20,0.109,43,0.106,54,0.113,49,0.098,0.101,N,0.450,SignalP-noTM
TcCLB.469785.30,0.116,39,0.171,12,0.373,6,0.294,0.237,N,0.450,SignalP-noTM
TcCLB.469785.40,0.160,33,0.127,33,0.136,32,0.102,0.114,N,0.450,SignalP-noTM
TcCLB.469785.5,0.199,39,0.153,22,0.183,2,0.132,0.142,N,0.450,SignalP-noTM
TcCLB.470169.9,0.282,26,0.234,11,0.629,2,0.498,0.339,N,0.500,SignalP-TM
TcCLB.472253.10,0.309,13,0.331,13,0.426,1,0.297,0.313,N,0.450,SignalP-noTM
TcCLB.473111.10,0.132,34,0.131,21,0.225,14,0.140,0.134,N,0.500,SignalP-TM
TcCLB.473619.9,0.119,35,0.135,22,0.215,4,0.164,0.151,N,0.450,SignalP-noTM
TcCLB.473633.9,0.124,21,0.116,21,0.125,3,0.109,0.112,N,0.450,SignalP-noTM
TcCLB.474341.9,0.216,53,0.150,53,0.158,1,0.109,0.128,N,0.450,SignalP-noTM
TcCLB.475705.9,0.117,55,0.127,55,0.203,49,0.117,0.122,N,0.450,SignalP-noTM
