gene_id	gene_name	enc	cai
TcCLB.503425.10	hypothetical protein, conserved	53.595	0.571
TcCLB.503433.10	hypothetical protein, conserved	59.554	0.54
TcCLB.503433.20	hypothetical protein, conserved	57.03	0.51
TcCLB.503435.30	hypothetical protein, conserved	56.97	0.563
TcCLB.503441.10	retrotransposon hot spot protein (RHS, pseudogene), putative	56.775	0.528
TcCLB.503441.19	retrotransposon hot spot protein (RHS, pseudogene), putative	60.471	0.526
TcCLB.503447.20	trans-sialidase, Group II, putative	53.333	0.588
TcCLB.503447.40	retrotransposon hot spot (RHS) protein, putative	54.146	0.566
TcCLB.503447.50	trans-sialidase, Group IV, putative	54.93	0.608
TcCLB.503447.60	beta galactofuranosyl glycosyltransferase, putative	53.285	0.632
TcCLB.503449.20	copper homeostasis protein, putative	56.955	0.49
TcCLB.503449.30	clathrin coat assembly protein, putative	56.986	0.475
TcCLB.503449.40	hypothetical protein, conserved	56.887	0.43
TcCLB.503453.10	hypothetical protein, conserved	47.523	0.669
TcCLB.503453.100	serine palmitoyltransferase, putative	56.105	0.588
TcCLB.503453.20	hypothetical protein, conserved	49.024	0.676
TcCLB.503453.50	hypothetical protein, conserved	55.192	0.617
TcCLB.503453.60	GTP-ase activating protein, putative	57.075	0.574
TcCLB.503453.70	hypothetical protein, conserved	50.871	0.538
TcCLB.503453.80	hypothetical protein, conserved	55.159	0.561
TcCLB.503453.90	hypothetical protein, conserved	56.499	0.611
TcCLB.503455.10	chaperone DNAJ protein, putative	55.685	0.485
TcCLB.503455.20	hypothetical protein, conserved	56.937	0.583
TcCLB.503455.30	hypothetical protein, conserved	56.743	0.529
TcCLB.503457.10	hypothetical protein	58.694	0.559
TcCLB.503467.20	hypothetical protein, conserved	56.579	0.543
TcCLB.503477.10	hypothetical protein, conserved	51.327	0.605
TcCLB.503477.20	transaldolase, putative	47.074	0.713
TcCLB.503477.30	hypothetical protein, conserved	52.698	0.568
TcCLB.503479.30	adenylate kinase 1	55.674	0.609
TcCLB.503479.40	hypothetical protein, conserved	54.831	0.578
TcCLB.503479.60	surface protease GP63, putative	54.81	0.628
TcCLB.503479.70	hypothetical protein, conserved	56.481	0.564
TcCLB.503487.10	mitochondrial DNA-directed RNA polymerase, putative	55.602	0.648
TcCLB.503487.20	hypothetical protein	56.474	0.572
TcCLB.503487.30	hypothetical protein, conserved	55.98	0.582
TcCLB.503487.40	hypothetical protein, conserved	56.811	0.582
TcCLB.503487.50	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	53.315	0.602
TcCLB.503487.60	hypothetical protein, conserved	50.657	0.56
TcCLB.503487.70	hypothetical protein, conserved	56.744	0.59
TcCLB.503489.10	zinc carboxypeptidase, putative,metallo-peptidase, Clan MC, Family M14, putative	58.58	0.542
TcCLB.503489.20	hypothetical protein, conserved	56.442	0.516
TcCLB.503489.24	hypothetical protein, conserved	61.0	0.552
TcCLB.503489.30	hypothetical protein, conserved	51.325	0.617
TcCLB.503493.10	hypothetical protein, conserved	51.933	0.579
TcCLB.503493.20	hypothetical protein, conserved	57.771	0.565
TcCLB.503493.30	hypothetical protein, conserved	57.983	0.574
TcCLB.503493.40	hypothetical protein, conserved	56.573	0.545
TcCLB.503501.14	mucin TcMUCII, putative	51.462	0.62
TcCLB.503501.70	mucin-associated surface protein (MASP), putative	54.978	0.5
TcCLB.503503.15	hypothetical protein (pseudogene)	58.957	0.601
TcCLB.503503.30	mucin TcMUCII, putative	43.154	0.611
TcCLB.503503.40	mucin-associated surface protein (MASP), putative	56.5	0.553
TcCLB.503509.10	hypothetical protein, conserved	54.203	0.552
TcCLB.503511.10	hypothetical protein, conserved	52.483	0.503
TcCLB.503513.10	casein kinase II, alpha chain, putative	51.512	0.488
TcCLB.503513.20	hypothetical protein	55.637	0.564
TcCLB.503513.40	proteasome regulatory non-ATPase subunit 6, putative	56.061	0.519
TcCLB.503515.14	ubiquitin-conjugating enzyme e2, putative	54.945	0.615
TcCLB.503515.20	RNA-editing complex protein MP81, putative	56.314	0.604
TcCLB.503525.20	hypothetical protein, conserved	59.275	0.535
TcCLB.503525.30	hypothetical protein, conserved	59.181	0.568
TcCLB.503525.4	hypothetical protein, conserved	58.07	0.523
TcCLB.503525.40	hypothetical protein, conserved	54.424	0.567
TcCLB.503525.50	RNA helicase, putative	54.05	0.559
TcCLB.503527.10	hypothetical protein, conserved	57.476	0.591
TcCLB.503527.20	hypothetical protein, conserved	58.261	0.58
TcCLB.503527.40	GPI alpha-mannosyltransferase III (GPI10)	55.915	0.529
TcCLB.503527.50	hypothetical protein, conserved	55.067	0.575
TcCLB.503527.60	hypothetical protein, conserved	54.492	0.569
TcCLB.503529.20	hypothetical protein, conserved	52.594	0.592
TcCLB.503529.30	hypothetical protein, conserved	56.232	0.579
TcCLB.503531.10	hypothetical protein, conserved	56.221	0.528
TcCLB.503531.20	hypothetical protein, conserved	54.946	0.528
TcCLB.503531.30	metallopeptidase (pseudogene), putative,metallo-peptidase, clan MP, family M67, putative, degenerate	54.66	0.62
TcCLB.503531.40	hypothetical protein, conserved	54.691	0.601
TcCLB.503547.20	dispersed gene family protein 1 (DGF-1, pseudogene), putative	41.289	0.732
TcCLB.503551.20	hypothetical protein, conserved	57.633	0.57
TcCLB.503557.10	hypothetical protein, conserved	56.666	0.572
TcCLB.503557.20	ankyrin repeat protein, putative	55.964	0.627
TcCLB.503557.30	hypothetical protein, conserved	55.444	0.582
TcCLB.503557.40	hypothetical protein, conserved	61.0	0.546
TcCLB.503561.10	hypothetical protein, conserved	61.0	0.525
TcCLB.503561.20	hypothetical protein, conserved	58.385	0.551
TcCLB.503571.10	flagellum-adhesion glycoprotein, putative	58.311	0.598
TcCLB.503575.27	hypothetical protein, conserved	57.352	0.513
TcCLB.503575.50	fatty acyl CoA synthetase, putative	54.956	0.538
TcCLB.503575.54	hypothetical protein, conserved	52.871	0.61
TcCLB.503575.60	protein kinase, putative	49.583	0.671
TcCLB.503577.20	U2 splicing auxiliary factor, putative (u2af26)	52.472	0.645
TcCLB.503579.10	hypothetical protein, conserved	57.139	0.542
TcCLB.503579.100	nucleotide-binding protein, putative	57.011	0.528
TcCLB.503579.110	pseudouridylate synthase I, putative	55.34	0.553
TcCLB.503579.130	hypothetical protein, conserved	54.823	0.559
TcCLB.503579.140	hypothetical protein, conserved	59.253	0.539
TcCLB.503579.150	RNA editing 3' terminal uridylyl transferase 2, putative,RNA editing complex protein MP57, putative	54.299	0.553
TcCLB.503579.20	hypothetical protein, conserved	54.459	0.587
TcCLB.503579.30	DNA polymerase sigma-like protein, putative	57.203	0.555
TcCLB.503579.40	hypothetical protein, conserved	53.726	0.58
TcCLB.503579.50	hypothetical protein, conserved	54.143	0.555
TcCLB.503579.60	hypothetical protein	55.937	0.617
TcCLB.503579.80	hypothetical protein, conserved	56.253	0.564
TcCLB.503579.90	hypothetical protein, conserved	52.565	0.593
TcCLB.503589.10	GDP-mannose pyrophosphorylase	57.266	0.603
TcCLB.503595.10	hypothetical protein, conserved	52.96	0.628
TcCLB.503599.10	protein kinase, putative	54.102	0.532
TcCLB.503599.20	hypothetical protein, conserved	52.626	0.554
TcCLB.503599.30	hypothetical protein, conserved	52.325	0.593
TcCLB.503599.40	hypothetical protein, conserved	52.856	0.599
TcCLB.503599.50	hypothetical protein, conserved	54.113	0.553
TcCLB.503601.10	trans-sialidase, Group V, putative	55.07	0.574
TcCLB.503601.20	hypothetical protein	60.374	0.584
TcCLB.503611.10	nucleoplasmin-like protein (NLP), putative	57.391	0.512
TcCLB.503611.30	hypothetical protein, conserved	59.737	0.545
TcCLB.503611.50	hypothetical protein, conserved	55.159	0.568
TcCLB.503613.10	protein kinase, putative	58.865	0.568
TcCLB.503613.20	proteasome alpha 7 subunit, putative	51.967	0.686
TcCLB.503613.30	DNA repair protein, putative	52.467	0.6
TcCLB.503613.60	acidocalcisomal pyrophosphatase, putative	53.848	0.659
TcCLB.503615.10	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	48.038	0.675
TcCLB.503619.10	meiotic recombination protein spo11, putative	55.666	0.559
TcCLB.503619.20	hypothetical protein, conserved	55.41	0.569
TcCLB.503623.10	dispersed gene family protein 1 (DGF-1), putative	34.602	0.79
TcCLB.503627.20	protein kinase, putative	55.868	0.585
TcCLB.503629.10	hypothetical protein, conserved	56.109	0.587
TcCLB.503637.10	hypothetical protein, conserved	49.896	0.658
TcCLB.503637.20	hypothetical protein, conserved	54.781	0.593
TcCLB.503637.30	dipeptidyl-peptidase 8-like serine peptidase, putative,serine peptidase, clan SC, family S9B, putative	57.035	0.601
TcCLB.503639.10	inositol-3-phosphate synthase, putative	53.853	0.595
TcCLB.503639.20	hypothetical protein, conserved	56.899	0.58
TcCLB.503639.30	hypothetical protein, conserved	58.338	0.542
TcCLB.503641.10	hypothetical protein, conserved	56.53	0.56
TcCLB.503643.10	KU70 protein, putative	56.281	0.588
TcCLB.503643.20	hypothetical protein, conserved	56.54	0.573
TcCLB.503643.39	hypothetical protein, conserved	55.069	0.638
TcCLB.503643.6	hypothetical protein, conserved	58.694	0.559
TcCLB.503649.10	mucin-associated surface protein (MASP, pseudogene), putative	53.461	0.569
TcCLB.503651.10	hypothetical protein, conserved	55.676	0.569
TcCLB.503651.20	hypothetical protein	56.626	0.588
TcCLB.503651.30	hypothetical protein	56.314	0.644
TcCLB.503651.40	hypothetical protein	55.048	0.591
TcCLB.503653.20	hypothetical protein, conserved	57.02	0.598
TcCLB.503653.30	ribosomal RNA processing protein 41B, putative,3' exoribonuclease, putative (RRP41B)	52.565	0.612
TcCLB.503653.50	histone deacetylase, putative	56.868	0.568
TcCLB.503653.60	cytochrome b-domain protein, putative	55.213	0.543
TcCLB.503653.90	hypothetical protein, conserved	53.339	0.555
TcCLB.503659.20	mucin TcMUCII (pseudogene), putative	54.617	0.554
TcCLB.503659.30	trans-sialidase, putative	48.979	0.6
TcCLB.503665.30	mucin-associated surface protein (MASP), putative	57.718	0.477
TcCLB.503667.10	trans-sialidase, putative	53.456	0.63
TcCLB.503669.10	hypothetical protein, conserved	56.146	0.558
TcCLB.503669.20	hypothetical protein, conserved	60.51	0.548
TcCLB.503669.30	hypothetical protein, conserved	60.37	0.499
TcCLB.503671.10	aminopeptidase, putative,metallo-peptidase, clan MA(E), family M1, putative	56.449	0.576
TcCLB.503671.20	hypothetical protein, conserved	54.992	0.598
TcCLB.503671.30	leucine-rich repeat protein, putative	51.893	0.585
TcCLB.503675.10	glycosyl transferase-like protein, putative	53.73	0.578
TcCLB.503675.20	SNF7-like protein, putative	53.61	0.634
TcCLB.503675.40	hypothetical protein, conserved	54.181	0.584
TcCLB.503677.10	phosphomannose isomerase, putative	55.698	0.62
TcCLB.503677.20	DNA repair and recombination helicase protein PIF4, putative	55.736	0.545
TcCLB.503677.29	hypothetical protein, conserved	58.006	0.563
TcCLB.503683.11	RNA-binding protein, putative	54.377	0.619
TcCLB.503683.20	hypothetical protein, conserved	55.874	0.629
TcCLB.503683.30	RNA-binding protein, putative	56.54	0.609
TcCLB.503685.10	serine/threonine protein kinase, putative,protein kinase, putative	52.253	0.616
TcCLB.503685.20	hypothetical protein, conserved	54.518	0.604
TcCLB.503689.10	small GTP-binding protein Rab7, putative	56.405	0.57
TcCLB.503689.30	flagellar protofilament ribbon protein, putative	49.825	0.61
TcCLB.503689.4	rab1 small GTP-binding protein, putative	60.122	0.587
TcCLB.503689.40	hypothetical protein, conserved	55.168	0.581
TcCLB.503697.100	hypothetical protein, conserved	56.595	0.55
TcCLB.503697.110	hypothetical protein, conserved	57.975	0.591
TcCLB.503697.120	hypothetical protein, conserved	56.004	0.542
TcCLB.503697.130	hypothetical protein, conserved	57.437	0.512
TcCLB.503697.20	hypothetical protein, conserved	56.175	0.511
TcCLB.503697.30	hypothetical protein, conserved	57.05	0.522
TcCLB.503697.40	hypothetical protein	61.0	0.535
TcCLB.503697.50	hypothetical protein, conserved	59.342	0.547
TcCLB.503697.60	hypothetical protein, conserved	54.331	0.566
TcCLB.503697.90	GTP-binding protein, putative	57.134	0.562
TcCLB.503713.10	hypothetical protein, conserved	52.869	0.623
TcCLB.503713.30	6-phosphogluconolactonase, putative	57.867	0.608
TcCLB.503715.10	splicing factor TSR1, putative	48.635	0.59
TcCLB.503715.30	small GTP-binding protein Rab1, putative	42.767	0.735
TcCLB.503715.40	protein kinase, putative	54.356	0.534
TcCLB.503717.10	trans-sialidase, Group V, putative	55.108	0.591
TcCLB.503717.120	trans-sialidase, Group V, putative	53.7	0.592
TcCLB.503717.20	mucin-associated surface protein (MASP), putative	54.397	0.509
TcCLB.503717.31	mucin TcMUCII, putative	51.927	0.591
TcCLB.503717.60	hypothetical protein	51.53	0.597
TcCLB.503717.90	surface protease GP63, putative	46.307	0.637
TcCLB.503745.10	hypothetical protein, conserved	50.934	0.457
TcCLB.503745.20	hypothetical protein, conserved	58.012	0.528
TcCLB.503745.30	Ascorbate-dependent peroxidase (APX)	55.32	0.62
TcCLB.503747.10	tyrosine aminotransferase, putative	61.0	0.607
TcCLB.503747.40	hypothetical protein, conserved	58.238	0.561
TcCLB.503749.10	hypothetical protein, conserved	54.837	0.619
TcCLB.503749.20	hypothetical protein	57.654	0.598
TcCLB.503749.30	hypothetical protein, conserved	55.978	0.586
TcCLB.503749.60	ABC transporter, putative	53.346	0.621
TcCLB.503751.10	hypothetical protein	60.758	0.542
TcCLB.503753.10	hypothetical protein, conserved	53.807	0.554
TcCLB.503753.20	hypothetical protein, conserved	56.324	0.511
TcCLB.503755.10	DNA polymerase kappa, putative,DNA polymerase IV, putative	52.921	0.616
TcCLB.503755.20	hypothetical protein	56.978	0.547
TcCLB.503755.30	DNA polymerase kappa, putative,DNA polymerase IV, putative	54.152	0.595
TcCLB.503755.50	hypothetical protein, conserved	58.475	0.548
TcCLB.503755.54	hypothetical protein, conserved	57.747	0.565
TcCLB.503757.20	hypothetical protein, conserved	57.513	0.548
TcCLB.503757.30	hypothetical protein, conserved	56.46	0.571
TcCLB.503757.40	protein kinase ck2 regulatory subunit, putative	49.291	0.67
TcCLB.503759.10	trans-sialidase, Group II, putative	56.754	0.588
TcCLB.503761.40	mucin-associated surface protein (MASP), putative	54.596	0.51
TcCLB.503767.10	trans-sialidase, Group II, putative	51.997	0.628
TcCLB.503777.10	suppressive immunomodulating factor, putative (TSIF)	57.279	0.574
TcCLB.503779.10	hypothetical protein, conserved	54.93	0.579
TcCLB.503779.100	hypothetical protein, conserved	57.912	0.588
TcCLB.503779.30	hypothetical protein, conserved	55.24	0.595
TcCLB.503779.40	protein-l-isoaspartate o-methyltransferase, putative	58.406	0.544
TcCLB.503779.50	hypothetical protein, conserved	58.372	0.564
TcCLB.503779.60	hypothetical protein, conserved	58.968	0.532
TcCLB.503783.70	mucin TcMUCII, putative	52.177	0.605
TcCLB.503783.80	mucin-associated surface protein (MASP), putative	53.441	0.489
TcCLB.503789.20	hypothetical protein, conserved	57.198	0.568
TcCLB.503789.30	hypothetical protein, conserved	56.107	0.6
TcCLB.503789.60	hypothetical protein, conserved	58.22	0.556
TcCLB.503789.70	hypothetical protein, conserved	49.226	0.608
TcCLB.503793.10	2-oxoglutarate dehydrogenase subunit, putative	57.041	0.589
TcCLB.503795.10	hypothetical protein, conserved	59.1	0.58
TcCLB.503799.10	DNA repair protein RAD50, putative	55.831	0.595
TcCLB.503801.30	DNA repair protein RAD51, putative	52.936	0.592
TcCLB.503801.50	hypothetical protein, conserved	48.58	0.689
TcCLB.503801.60	hypothetical protein	57.293	0.571
TcCLB.503801.70	hypothetical protein	57.302	0.522
TcCLB.503803.10	rRNA biogenesis protein, putative	53.675	0.595
TcCLB.503803.20	hypothetical protein, conserved	55.097	0.549
TcCLB.503805.10	hypothetical protein, conserved	53.128	0.609
TcCLB.503805.20	hypothetical protein, conserved	57.794	0.564
TcCLB.503805.30	hypothetical protein, conserved	56.713	0.572
TcCLB.503805.40	hypothetical protein	58.106	0.541
TcCLB.503805.6	hypothetical protein, conserved	58.391	0.508
TcCLB.503805.9	FG-GAP repeat protein, putative	56.212	0.571
TcCLB.503811.10	lipophosphoglycan biosynthetic protein, putative,heat shock protein 90, putative,glucose regulated protein 94, putative	50.219	0.692
TcCLB.503811.20	U3 small nucleolar ribonucleoprotein protein MPP10, putative	48.965	0.67
TcCLB.503811.40	peroxisomal targeting signal type 2 receptor, putative (PEX7)	54.572	0.624
TcCLB.503811.50	hypothetical protein, conserved	59.41	0.555
TcCLB.503811.60	hypothetical protein, conserved	55.963	0.621
TcCLB.503811.70	hypothetical protein, conserved	56.146	0.595
TcCLB.503811.80	hypothetical protein, conserved	54.317	0.577
TcCLB.503813.10	hypothetical protein, conserved	50.54	0.678
TcCLB.503813.20	hypothetical protein, conserved	52.156	0.635
TcCLB.503813.30	hypothetical protein, conserved	48.02	0.685
TcCLB.503819.10	hypothetical protein, conserved	58.46	0.577
TcCLB.503819.20	DNA-directed RNA polymerase III subunit, putative	53.684	0.621
TcCLB.503819.30	eukaryotic translation initiation factor 2 subunit, putative	50.39	0.664
TcCLB.503829.30	hypothetical protein, conserved	58.716	0.556
TcCLB.503829.40	hypothetical protein, conserved	53.924	0.617
TcCLB.503829.50	hypothetical protein, conserved	56.998	0.525
TcCLB.503829.70	hypothetical protein, conserved	55.003	0.586
TcCLB.503829.80	hypothetical protein, conserved	56.489	0.573
TcCLB.503831.20	oxidoreductase, putative	54.95	0.583
TcCLB.503833.10	hypothetical protein, conserved	46.94	0.508
TcCLB.503833.20	hypothetical protein, conserved	57.472	0.501
TcCLB.503833.30	peroxin 13, putative (PEX13)	54.951	0.492
TcCLB.503833.40	40S ribosomal protein S2, putative	38.853	0.797
TcCLB.503833.50	hypothetical protein, conserved	58.362	0.571
TcCLB.503833.60	hypothetical protein, conserved	54.808	0.525
TcCLB.503835.30	hypothetical protein, conserved	61.0	0.548
TcCLB.503841.10	proteasome activator protein pa26, putative	50.654	0.602
TcCLB.503841.20	hypothetical protein, conserved	56.101	0.556
TcCLB.503841.30	rRNA dimethyltransferase, putative	54.133	0.58
TcCLB.503841.40	actin, putative	52.902	0.626
TcCLB.503841.50	hypothetical protein, conserved	59.136	0.557
TcCLB.503841.60	hypothetical protein, conserved	59.376	0.547
TcCLB.503841.70	aspartate aminotransferase, putative	56.693	0.569
TcCLB.503841.80	NADH-dependent fumarate reductase, putative	57.836	0.592
TcCLB.503853.10	hypothetical protein, conserved	56.439	0.573
TcCLB.503855.10	hypothetical protein, conserved	50.95	0.669
TcCLB.503855.20	spermidine synthase, putative	53.409	0.677
TcCLB.503855.30	adenylosuccinate lyase, putative	54.812	0.625
TcCLB.503855.40	calpain-like cysteine peptidase, putative,cysteine peptidase, Clan CA, family C2, putative	58.298	0.598
TcCLB.503855.50	hypothetical protein, conserved	55.31	0.579
TcCLB.503855.60	hypothetical protein, conserved	58.192	0.585
TcCLB.503855.80	hypothetical protein, conserved	57.771	0.565
TcCLB.503859.40	mucin-associated surface protein (MASP), putative	52.998	0.547
TcCLB.503859.45	mucin TcMUCII, putative	50.17	0.635
TcCLB.503865.20	hypothetical protein, conserved	51.96	0.455
TcCLB.503865.30	hypothetical protein, conserved	50.228	0.492
TcCLB.503865.40	hypothetical protein, conserved	55.379	0.528
TcCLB.503865.50	ankyrin, putative	56.236	0.528
TcCLB.503865.60	hypothetical protein, conserved	48.913	0.497
TcCLB.503865.70	hypothetical protein, conserved	56.128	0.529
TcCLB.503867.10	hypothetical protein, conserved	50.501	0.435
TcCLB.503873.10	cytochrome-b5 reductase, putative	52.56	0.605
TcCLB.503875.10	mucin-associated surface protein (MASP), putative	55.618	0.496
TcCLB.503875.30	mucin-associated surface protein (MASP), putative	55.813	0.483
