gene_id,fdr
TcCLB.503967.4,0.522 
TcCLB.508767.10,0.522 
TcCLB.509101.9,0.522 
TcCLB.511109.100,0.522 
TcCLB.511621.180,0.522 
TcCLB.503493.10,0.548 
TcCLB.507547.70,0.548 
TcCLB.507975.10,0.548 
TcCLB.509765.30,0.548 
TcCLB.510053.10,0.548 
TcCLB.510053.20,0.548 
TcCLB.506517.50,0.575 
TcCLB.506519.130,0.575 
TcCLB.508903.90,0.575 
TcCLB.509099.5,0.575 
TcCLB.509103.30,0.575 
TcCLB.509735.140,0.575 
TcCLB.509765.60,0.575 
TcCLB.510165.110,0.575 
TcCLB.511191.10,0.575 
TcCLB.511193.9,0.575 
TcCLB.511195.10,0.575 
TcCLB.511197.50,0.575 
TcCLB.511303.140,0.575 
TcCLB.511311.14,0.575 
TcCLB.511625.60,0.575 
TcCLB.509099.130,0.604 
TcCLB.509735.120,0.604 
TcCLB.510053.60,0.604 
TcCLB.510165.90,0.604 
TcCLB.511107.20,0.604 
TcCLB.511109.60,0.604 
TcCLB.511303.80,0.604 
TcCLB.511623.20,0.604 
TcCLB.480653.10,0.627 
TcCLB.486465.9,0.627 
TcCLB.503493.30,0.627 
TcCLB.506513.130,0.627 
TcCLB.506513.50,0.627 
TcCLB.510057.30,0.627 
TcCLB.511107.41,0.627 
TcCLB.511621.30,0.627 
TcCLB.504117.50,0.652 
TcCLB.506513.200,0.652 
TcCLB.506515.20,0.652 
TcCLB.506519.110,0.652 
TcCLB.507547.50,0.652 
TcCLB.507547.80,0.652 
TcCLB.507979.20,0.652 
TcCLB.509103.20,0.652 
TcCLB.509735.30,0.652 
TcCLB.510057.4,0.652 
TcCLB.510165.54,0.652 
TcCLB.511109.40,0.652 
TcCLB.511109.90,0.652 
TcCLB.511115.10,0.652 
TcCLB.511303.30,0.652 
TcCLB.511311.60,0.652 
TcCLB.511313.30,0.652 
TcCLB.511627.140,0.652 
TcCLB.462545.9,0.675 
TcCLB.506513.14,0.675 
TcCLB.506513.20,0.675 
TcCLB.506517.149,0.675 
TcCLB.507047.134,0.675 
TcCLB.507977.9,0.675 
TcCLB.509711.20,0.675 
TcCLB.509735.84,0.675 
TcCLB.511189.20,0.675 
TcCLB.511189.90,0.675 
TcCLB.511303.90,0.675 
TcCLB.511313.20,0.675 
TcCLB.511621.9,0.675 
TcCLB.511627.70,0.675 
TcCLB.506513.80,0.698 
TcCLB.506517.40,0.698 
TcCLB.507047.100,0.698 
TcCLB.507047.140,0.698 
TcCLB.507047.90,0.698 
TcCLB.507975.80,0.698 
TcCLB.508811.40,0.698 
TcCLB.510055.160,0.698 
TcCLB.510055.50,0.698 
TcCLB.511189.100,0.698 
TcCLB.511189.54,0.698 
TcCLB.511191.19,0.698 
TcCLB.511305.40,0.698 
TcCLB.511621.110,0.698 
TcCLB.511627.150,0.698 
TcCLB.511627.80,0.698 
TcCLB.429185.20,0.720 
TcCLB.503967.19,0.720 
TcCLB.508771.60,0.720 
TcCLB.509737.19,0.720 
TcCLB.510055.140,0.720 
TcCLB.511309.14,0.720 
TcCLB.511311.7,0.720 
TcCLB.511621.190,0.720 
TcCLB.429185.31,0.741 
TcCLB.506513.180,0.741 
TcCLB.507975.50,0.741 
TcCLB.508771.30,0.741 
TcCLB.510053.70,0.741 
TcCLB.510165.40,0.741 
TcCLB.511109.30,0.741 
TcCLB.511109.50,0.741 
TcCLB.511111.50,0.741 
TcCLB.511115.49,0.741 
TcCLB.511189.60,0.741 
TcCLB.511303.34,0.741 
TcCLB.511309.30,0.741 
TcCLB.511621.120,0.741 
TcCLB.511625.40,0.741 
TcCLB.503561.20,0.756 
TcCLB.503951.10,0.756 
TcCLB.503975.60,0.756 
TcCLB.506513.40,0.756 
TcCLB.509099.150,0.756 
TcCLB.509103.10,0.756 
TcCLB.511109.80,0.756 
TcCLB.511305.20,0.756 
TcCLB.511625.4,0.756 
TcCLB.503975.50,0.773 
TcCLB.506515.10,0.773 
TcCLB.507979.50,0.773 
TcCLB.508765.30,0.773 
TcCLB.508811.10,0.773 
TcCLB.509735.60,0.773 
TcCLB.509737.9,0.773 
TcCLB.511307.20,0.773 
TcCLB.511313.10,0.773 
TcCLB.511315.30,0.773 
TcCLB.511315.9,0.773 
TcCLB.511621.20,0.773 
TcCLB.503975.100,0.789 
TcCLB.503975.70,0.789 
TcCLB.506513.24,0.789 
TcCLB.506517.100,0.789 
TcCLB.506519.120,0.789 
TcCLB.507047.60,0.789 
TcCLB.507547.90,0.789 
TcCLB.507975.40,0.789 
TcCLB.509735.70,0.789 
TcCLB.511109.120,0.789 
TcCLB.511111.30,0.789 
TcCLB.511303.50,0.789 
TcCLB.421173.4,0.807 
TcCLB.506517.30,0.807 
TcCLB.506519.70,0.807 
TcCLB.508771.55,0.807 
TcCLB.508807.5,0.807 
TcCLB.509099.80,0.807 
TcCLB.510053.30,0.807 
TcCLB.511189.80,0.807 
TcCLB.511627.100,0.807 
TcCLB.503751.30,0.824 
TcCLB.503975.20,0.824 
TcCLB.506517.158,0.824 
TcCLB.506519.90,0.824 
TcCLB.506979.5,0.824 
TcCLB.507047.110,0.824 
TcCLB.509099.170,0.824 
TcCLB.509099.59,0.824 
TcCLB.510165.50,0.824 
TcCLB.511303.64,0.824 
TcCLB.511621.150,0.824 
TcCLB.511625.120,0.824 
TcCLB.506513.160,0.840 
TcCLB.506513.60,0.840 
TcCLB.506979.20,0.840 
TcCLB.509099.160,0.840 
TcCLB.511111.10,0.840 
TcCLB.511189.84,0.840 
TcCLB.511303.24,0.840 
TcCLB.504117.9,0.855 
TcCLB.506979.50,0.855 
TcCLB.507547.30,0.855 
TcCLB.509099.100,0.855 
TcCLB.509763.20,0.855 
TcCLB.510165.60,0.855 
TcCLB.511303.160,0.855 
TcCLB.511307.3,0.855 
TcCLB.511311.80,0.855 
TcCLB.506519.51,0.867 
TcCLB.506979.10,0.867 
TcCLB.507047.170,0.867 
TcCLB.507547.40,0.867 
TcCLB.507847.30,0.867 
TcCLB.509099.40,0.867 
TcCLB.509765.129,0.867 
TcCLB.511311.70,0.867 
TcCLB.511627.130,0.867 
TcCLB.503561.10,0.879 
TcCLB.503975.40,0.879 
TcCLB.506513.150,0.879 
TcCLB.507047.180,0.879 
TcCLB.507547.59,0.879 
TcCLB.508771.34,0.879 
TcCLB.508903.100,0.879 
TcCLB.509103.39,0.879 
TcCLB.509503.9,0.879 
TcCLB.511621.130,0.879 
TcCLB.511621.140,0.879 
TcCLB.511627.60,0.879 
TcCLB.503493.20,0.890 
TcCLB.507979.4,0.890 
TcCLB.510055.130,0.890 
TcCLB.511313.40,0.890 
TcCLB.511621.210,0.890 
TcCLB.511621.259,0.890 
TcCLB.511621.80,0.890 
TcCLB.511627.90,0.890 
TcCLB.503751.10,0.899 
TcCLB.506513.120,0.899 
TcCLB.508769.10,0.899 
TcCLB.508811.30,0.899 
TcCLB.511111.20,0.899 
TcCLB.511197.40,0.899 
TcCLB.511621.100,0.899 
TcCLB.511621.244,0.899 
TcCLB.509099.50,0.909 
TcCLB.509099.89,0.909 
TcCLB.510055.100,0.909 
TcCLB.511309.40,0.909 
TcCLB.511621.250,0.909 
TcCLB.506513.7,0.919 
TcCLB.507047.20,0.919 
TcCLB.508807.10,0.919 
TcCLB.508809.30,0.919 
TcCLB.508809.50,0.919 
TcCLB.511109.110,0.919 
TcCLB.511303.20,0.919 
TcCLB.511309.20,0.919 
TcCLB.507047.130,0.927 
TcCLB.507047.150,0.927 
TcCLB.509103.4,0.927 
TcCLB.511115.40,0.927 
TcCLB.511619.5,0.927 
TcCLB.511623.10,0.927 
TcCLB.506513.170,0.937 
TcCLB.507047.160,0.937 
TcCLB.511113.9,0.937 
TcCLB.511307.10,0.937 
TcCLB.509099.30,0.942 
TcCLB.511309.60,0.942 
TcCLB.511625.74,0.942 
TcCLB.507047.50,0.948 
TcCLB.509099.20,0.948 
TcCLB.511303.9,0.948 
TcCLB.506513.90,0.954 
TcCLB.511189.50,0.954 
TcCLB.506513.100,0.960 
TcCLB.508809.40,0.960 
TcCLB.509099.70,0.960 
TcCLB.510055.150,0.960 
TcCLB.511111.40,0.960 
TcCLB.511305.10,0.960 
TcCLB.511627.159,0.964 
TcCLB.510057.20,0.968 
TcCLB.506517.130,0.972 
TcCLB.509099.140,0.972 
TcCLB.511303.110,0.972 
TcCLB.509711.10,0.975 
TcCLB.511189.30,0.975 
TcCLB.511625.160,0.975 
TcCLB.506513.110,0.980 
TcCLB.510055.80,0.983 
TcCLB.510055.20,0.985 
TcCLB.511621.220,0.985 
TcCLB.511621.90,0.985 
TcCLB.511115.30,0.986 
TcCLB.510057.10,0.992 
TcCLB.511309.7,0.992 
TcCLB.510055.70,0.994 
TcCLB.511315.56,0.996 
TcCLB.510055.110,0.997 
TcCLB.511619.10,0.997 
TcCLB.511625.30,0.997 
TcCLB.508771.50,0.999 
TcCLB.419637.9,1.000 
TcCLB.511347.20,0.000 
TcCLB.503767.10,0.001 
TcCLB.507993.350,0.001 
TcCLB.508325.290,0.001 
TcCLB.511349.100,0.001 
TcCLB.508325.25,0.002 
TcCLB.508325.250,0.002 
TcCLB.506857.20,0.004 
TcCLB.507993.260,0.008 
TcCLB.508325.80,0.009 
TcCLB.510533.20,0.009 
TcCLB.506483.60,0.010 
TcCLB.506863.4,0.015 
TcCLB.506211.100,0.018 
TcCLB.507993.5,0.021 
TcCLB.508323.84,0.021 
TcCLB.504111.40,0.036 
TcCLB.506503.69,0.036 
TcCLB.506211.250,0.074 
TcCLB.506213.120,0.074 
TcCLB.511347.31,0.074 
TcCLB.506483.40,0.091 
TcCLB.506211.130,0.109 
TcCLB.508943.40,0.109 
TcCLB.506503.170,0.129 
TcCLB.503833.10,0.154 
TcCLB.506215.19,0.154 
TcCLB.511361.50,0.154 
TcCLB.506211.60,0.182 
TcCLB.506503.10,0.182 
TcCLB.506503.50,0.182 
TcCLB.506859.110,0.182 
TcCLB.508323.60,0.182 
TcCLB.508323.70,0.182 
TcCLB.511353.10,0.182 
TcCLB.511353.30,0.182 
TcCLB.511355.7,0.182 
TcCLB.506211.150,0.216 
TcCLB.506357.120,0.216 
TcCLB.506211.70,0.252 
TcCLB.506861.10,0.252 
TcCLB.511347.11,0.252 
TcCLB.504215.40,0.288 
TcCLB.506503.160,0.288 
TcCLB.507993.210,0.288 
TcCLB.507993.220,0.288 
TcCLB.510531.54,0.288 
TcCLB.510535.64,0.288 
TcCLB.511355.40,0.288 
TcCLB.511361.20,0.288 
TcCLB.511361.60,0.288 
TcCLB.506211.190,0.323 
TcCLB.506861.39,0.323 
TcCLB.507963.90,0.323 
TcCLB.510029.40,0.323 
TcCLB.510525.130,0.323 
TcCLB.504111.49,0.360 
TcCLB.506525.120,0.360 
TcCLB.507993.180,0.360 
TcCLB.508323.20,0.360 
TcCLB.508325.20,0.360 
TcCLB.509649.20,0.360 
TcCLB.503767.20,0.394 
TcCLB.504215.50,0.394 
TcCLB.506213.20,0.394 
TcCLB.506359.30,0.394 
TcCLB.506481.30,0.394 
TcCLB.506527.4,0.394 
TcCLB.506859.49,0.394 
TcCLB.506861.30,0.394 
TcCLB.507963.79,0.394 
TcCLB.510529.20,0.394 
TcCLB.510533.180,0.394 
TcCLB.510535.10,0.394 
TcCLB.511349.20,0.394 
TcCLB.503833.50,0.428 
TcCLB.504215.59,0.428 
TcCLB.506525.130,0.428 
TcCLB.506525.162,0.428 
TcCLB.506857.50,0.428 
TcCLB.507993.89,0.428 
TcCLB.508943.4,0.428 
TcCLB.510027.10,0.428 
TcCLB.510533.210,0.428 
TcCLB.503833.30,0.463 
TcCLB.506211.10,0.463 
TcCLB.506211.220,0.463 
TcCLB.506505.50,0.463 
TcCLB.507963.40,0.463 
TcCLB.507993.369,0.463 
TcCLB.508321.60,0.463 
TcCLB.508323.100,0.463 
TcCLB.508323.40,0.463 
TcCLB.508325.220,0.463 
TcCLB.510531.109,0.463 
TcCLB.510533.220,0.463 
TcCLB.511349.80,0.463 
TcCLB.511351.9,0.463 
TcCLB.506213.40,0.493 
TcCLB.506357.130,0.493 
TcCLB.506357.140,0.493 
TcCLB.506503.30,0.493 
TcCLB.506857.10,0.493 
TcCLB.506857.110,0.493 
TcCLB.507963.30,0.493 
TcCLB.507993.270,0.493 
TcCLB.510531.10,0.493 
TcCLB.510533.100,0.493 
TcCLB.511349.110,0.493 
TcCLB.511355.14,0.493 
TcCLB.506213.80,0.522 
TcCLB.507993.280,0.522 
TcCLB.508323.80,0.522 
TcCLB.508325.180,0.522 
TcCLB.509651.10,0.522 
TcCLB.510521.10,0.522 
TcCLB.510529.10,0.522 
TcCLB.510533.150,0.522 
TcCLB.503833.69,0.548 
TcCLB.506211.160,0.548 
TcCLB.506525.70,0.548 
TcCLB.506863.10,0.548 
TcCLB.506863.40,0.548 
TcCLB.507993.140,0.548 
TcCLB.507993.340,0.548 
TcCLB.508323.190,0.548 
TcCLB.508941.10,0.548 
TcCLB.510529.30,0.548 
TcCLB.510533.120,0.548 
TcCLB.510533.230,0.548 
TcCLB.511365.90,0.548 
TcCLB.422507.10,0.575 
TcCLB.504215.10,0.575 
TcCLB.506211.170,0.575 
TcCLB.506211.259,0.575 
TcCLB.506213.110,0.575 
TcCLB.506359.50,0.575 
TcCLB.506503.120,0.575 
TcCLB.506857.30,0.575 
TcCLB.506857.90,0.575 
TcCLB.506859.10,0.575 
TcCLB.506859.160,0.575 
TcCLB.506859.20,0.575 
TcCLB.507993.150,0.575 
TcCLB.507993.200,0.575 
TcCLB.508325.101,0.575 
TcCLB.508325.310,0.575 
TcCLB.510531.100,0.575 
TcCLB.510533.50,0.575 
TcCLB.511355.30,0.575 
TcCLB.511361.80,0.575 
TcCLB.506211.120,0.604 
TcCLB.506211.180,0.604 
TcCLB.506503.140,0.604 
TcCLB.506503.80,0.604 
TcCLB.506525.30,0.604 
TcCLB.506859.150,0.604 
TcCLB.506859.4,0.604 
TcCLB.507993.160,0.604 
TcCLB.507993.310,0.604 
TcCLB.510533.170,0.604 
TcCLB.510533.60,0.604 
TcCLB.510535.20,0.604 
TcCLB.510535.40,0.604 
TcCLB.511361.10,0.604 
TcCLB.511361.4,0.604 
TcCLB.511363.4,0.604 
TcCLB.506357.69,0.627 
TcCLB.506503.100,0.627 
TcCLB.510531.60,0.627 
TcCLB.510535.30,0.627 
TcCLB.511361.30,0.627 
TcCLB.506357.170,0.652 
TcCLB.506857.70,0.652 
TcCLB.506859.180,0.652 
TcCLB.506859.90,0.652 
TcCLB.507993.100,0.652 
TcCLB.507993.130,0.652 
TcCLB.507993.230,0.652 
TcCLB.508325.160,0.652 
TcCLB.511351.41,0.652 
TcCLB.511353.69,0.652 
TcCLB.506211.200,0.675 
TcCLB.506211.230,0.675 
TcCLB.506213.100,0.675 
TcCLB.506357.50,0.675 
TcCLB.506357.90,0.675 
TcCLB.506525.50,0.675 
TcCLB.506859.230,0.675 
TcCLB.507993.33,0.675 
TcCLB.507993.70,0.675 
TcCLB.508321.50,0.675 
TcCLB.510029.30,0.675 
TcCLB.510165.10,0.675 
TcCLB.510165.20,0.675 
TcCLB.510525.50,0.675 
TcCLB.511365.10,0.675 
TcCLB.506357.110,0.698 
TcCLB.506357.160,0.698 
TcCLB.506357.40,0.698 
TcCLB.506357.60,0.698 
TcCLB.507963.10,0.698 
TcCLB.507993.190,0.698 
TcCLB.508325.130,0.698 
TcCLB.508325.30,0.698 
TcCLB.508325.60,0.698 
TcCLB.510525.10,0.698 
TcCLB.510525.20,0.698 
TcCLB.510535.80,0.698 
TcCLB.511365.94,0.698 
TcCLB.503833.40,0.720 
TcCLB.504111.20,0.720 
TcCLB.506213.30,0.720 
TcCLB.506213.60,0.720 
TcCLB.506213.90,0.720 
TcCLB.506481.10,0.720 
TcCLB.506503.4,0.720 
TcCLB.506505.30,0.720 
TcCLB.506527.10,0.720 
TcCLB.506857.100,0.720 
TcCLB.507683.30,0.720 
TcCLB.508323.120,0.720 
TcCLB.508323.30,0.720 
TcCLB.508325.340,0.720 
TcCLB.509649.30,0.720 
TcCLB.509649.59,0.720 
TcCLB.509801.10,0.720 
TcCLB.510527.9,0.720 
TcCLB.510529.39,0.720 
TcCLB.511353.50,0.720 
TcCLB.511357.9,0.720 
TcCLB.413605.10,0.741 
TcCLB.506211.30,0.741 
TcCLB.506211.40,0.741 
TcCLB.506359.10,0.741 
TcCLB.506481.20,0.741 
TcCLB.506503.90,0.741 
TcCLB.506859.30,0.741 
TcCLB.507963.60,0.741 
TcCLB.508323.90,0.741 
TcCLB.508943.10,0.741 
TcCLB.510531.70,0.741 
TcCLB.510533.10,0.741 
TcCLB.510533.130,0.741 
TcCLB.503767.5,0.756 
TcCLB.504111.10,0.756 
TcCLB.506211.240,0.756 
TcCLB.506211.80,0.756 
TcCLB.506213.50,0.756 
TcCLB.506525.10,0.756 
TcCLB.506525.40,0.756 
TcCLB.506859.170,0.756 
TcCLB.506863.30,0.756 
TcCLB.507993.20,0.756 
TcCLB.507993.290,0.756 
TcCLB.507993.300,0.756 
TcCLB.508943.20,0.756 
TcCLB.510029.60,0.756 
TcCLB.510525.100,0.756 
TcCLB.510525.110,0.756 
TcCLB.510525.70,0.756 
TcCLB.510525.80,0.756 
TcCLB.510525.90,0.756 
TcCLB.510531.40,0.756 
TcCLB.510531.90,0.756 
TcCLB.510533.90,0.756 
TcCLB.510535.100,0.756 
TcCLB.511353.4,0.756 
TcCLB.506505.40,0.773 
TcCLB.506525.140,0.773 
TcCLB.506525.20,0.773 
TcCLB.506857.60,0.773 
TcCLB.506859.130,0.773 
TcCLB.506859.204,0.773 
TcCLB.507683.34,0.773 
TcCLB.507683.40,0.773 
TcCLB.507993.110,0.773 
TcCLB.507993.390,0.773 
TcCLB.507993.40,0.773 
TcCLB.508325.150,0.773 
TcCLB.508325.270,0.773 
TcCLB.509801.20,0.773 
TcCLB.510525.139,0.773 
TcCLB.511357.5,0.773 
TcCLB.432027.9,0.789 
TcCLB.503435.14,0.789 
TcCLB.504215.20,0.789 
TcCLB.506215.10,0.789 
TcCLB.506359.40,0.789 
TcCLB.506483.10,0.789 
TcCLB.506503.56,0.789 
TcCLB.506859.100,0.789 
TcCLB.506859.70,0.789 
TcCLB.507963.20,0.789 
TcCLB.507993.120,0.789 
TcCLB.507993.30,0.789 
TcCLB.508321.21,0.789 
TcCLB.508325.90,0.789 
TcCLB.510525.120,0.789 
TcCLB.510533.190,0.789 
TcCLB.510535.90,0.789 
TcCLB.511349.61,0.789 
TcCLB.511351.20,0.789 
TcCLB.511365.50,0.789 
TcCLB.424195.5,0.807 
TcCLB.424195.9,0.807 
TcCLB.453917.9,0.807 
TcCLB.503641.10,0.807 
TcCLB.506211.50,0.807 
TcCLB.506863.70,0.807 
TcCLB.506863.80,0.807 
TcCLB.507963.44,0.807 
TcCLB.507993.250,0.807 
TcCLB.508321.30,0.807 
TcCLB.508325.320,0.807 
TcCLB.508943.30,0.807 
TcCLB.510523.10,0.807 
TcCLB.510533.80,0.807 
TcCLB.511353.60,0.807 
TcCLB.511361.40,0.807 
TcCLB.398345.10,0.824 
TcCLB.506357.29,0.824 
TcCLB.506525.45,0.824 
TcCLB.506857.120,0.824 
TcCLB.506857.80,0.824 
TcCLB.506859.249,0.824 
TcCLB.508323.50,0.824 
TcCLB.508325.110,0.824 
TcCLB.508325.300,0.824 
TcCLB.510165.30,0.824 
TcCLB.510525.60,0.824 
TcCLB.510535.70,0.824 
TcCLB.511355.20,0.824 
TcCLB.511355.50,0.824 
TcCLB.506213.10,0.840 
TcCLB.506503.110,0.840 
TcCLB.506859.80,0.840 
TcCLB.509649.50,0.840 
TcCLB.509801.30,0.840 
TcCLB.510523.20,0.840 
TcCLB.511353.20,0.840 
TcCLB.503435.30,0.855 
TcCLB.506211.20,0.855 
TcCLB.506357.100,0.855 
TcCLB.506357.180,0.855 
TcCLB.506503.60,0.855 
TcCLB.506863.60,0.855 
TcCLB.507993.60,0.855 
TcCLB.508323.9,0.855 
TcCLB.510531.50,0.855 
TcCLB.510533.110,0.855 
TcCLB.511363.10,0.855 
TcCLB.464807.10,0.867 
TcCLB.503853.10,0.867 
TcCLB.506211.114,0.867 
TcCLB.506357.80,0.867 
TcCLB.507963.50,0.867 
TcCLB.503833.20,0.879 
TcCLB.506357.190,0.879 
TcCLB.508323.199,0.879 
TcCLB.510525.40,0.879 
TcCLB.511365.80,0.879 
TcCLB.503833.60,0.890 
TcCLB.506861.20,0.890 
TcCLB.506863.20,0.890 
TcCLB.508321.11,0.890 
TcCLB.508323.110,0.890 
TcCLB.510533.40,0.890 
TcCLB.510535.109,0.890 
TcCLB.510535.60,0.890 
TcCLB.511353.40,0.890 
TcCLB.511365.4,0.890 
TcCLB.506211.140,0.899 
TcCLB.506357.20,0.899 
TcCLB.510027.20,0.899 
TcCLB.511365.70,0.899 
TcCLB.510523.29,0.909 
TcCLB.510535.50,0.909 
TcCLB.506357.199,0.919 
TcCLB.506503.53,0.919 
TcCLB.506525.90,0.919 
TcCLB.506863.50,0.919 
TcCLB.507993.80,0.919 
TcCLB.508323.94,0.919 
TcCLB.510533.160,0.919 
TcCLB.510029.10,0.927 
TcCLB.510533.70,0.927 
TcCLB.511351.30,0.927 
TcCLB.511355.24,0.927 
TcCLB.506525.80,0.937 
TcCLB.507993.10,0.937 
TcCLB.510525.30,0.937 
TcCLB.506357.10,0.942 
TcCLB.506525.104,0.942 
TcCLB.506857.40,0.942 
TcCLB.506859.120,0.942 
TcCLB.507993.36,0.942 
TcCLB.508085.10,0.942 
TcCLB.508085.20,0.942 
TcCLB.510029.50,0.942 
TcCLB.464807.20,0.948 
TcCLB.506481.39,0.948 
TcCLB.507993.380,0.948 
TcCLB.510531.30,0.948 
TcCLB.506503.40,0.954 
TcCLB.509649.40,0.954 
TcCLB.511349.40,0.954 
TcCLB.506213.70,0.964 
TcCLB.507993.330,0.968 
TcCLB.508321.40,0.968 
TcCLB.504215.30,0.972 
TcCLB.506211.107,0.975 
TcCLB.506859.240,0.975 
TcCLB.510029.70,0.975 
TcCLB.506211.210,0.978 
TcCLB.506357.150,0.978 
TcCLB.506525.150,0.978 
TcCLB.508325.230,0.978 
TcCLB.506505.10,0.980 
TcCLB.511365.100,0.983 
TcCLB.506503.150,0.985 
TcCLB.507963.70,0.986 
TcCLB.511361.70,0.989 
TcCLB.507993.320,0.990 
TcCLB.504111.30,0.994 
TcCLB.507683.10,0.997 
TcCLB.510029.90,0.997 
TcCLB.503641.19,0.998 
TcCLB.510029.80,0.998 
TcCLB.510531.20,0.998 
TcCLB.506483.69,0.999 
TcCLB.511353.34,1.000 
TcCLB.503717.31,0.000 
TcCLB.503717.40,0.000 
TcCLB.503717.80,0.000 
TcCLB.506671.90,0.000 
TcCLB.508047.20,0.000 
TcCLB.508047.60,0.000 
TcCLB.508157.20,0.000 
TcCLB.508159.50,0.000 
TcCLB.508159.60,0.000 
TcCLB.508161.10,0.000 
TcCLB.508161.20,0.000 
TcCLB.508161.26,0.000 
TcCLB.508161.30,0.000 
TcCLB.508161.40,0.000 
TcCLB.508163.120,0.000 
TcCLB.508163.140,0.000 
TcCLB.508163.20,0.000 
TcCLB.508163.250,0.000 
TcCLB.508163.280,0.000 
TcCLB.508163.310,0.000 
TcCLB.508163.320,0.000 
TcCLB.508163.330,0.000 
TcCLB.508163.40,0.000 
TcCLB.508163.400,0.000 
TcCLB.508163.50,0.000 
TcCLB.508165.100,0.000 
TcCLB.508165.110,0.000 
TcCLB.508165.115,0.000 
TcCLB.508165.120,0.000 
TcCLB.508165.130,0.000 
TcCLB.508165.140,0.000 
TcCLB.508165.150,0.000 
TcCLB.508165.200,0.000 
TcCLB.508165.210,0.000 
TcCLB.508165.220,0.000 
