name,length,num_reads,num_reads_primary,gc,ct
TcCLB.408547.5,391,2,2,0.546,0.598
TcCLB.408573.5,5163,357,80,0.378,0.506
TcCLB.408573.9,139,55,53,0.496,0.216
TcCLB.408799.10,NA,0,NA,NA,NA
TcCLB.408799.19,222,188,140,0.261,0.455
TcCLB.409101.9,NA,0,NA,NA,NA
TcCLB.409117.10,79,752,225,0.456,0.608
TcCLB.409117.20,27,4470,4385,0.556,0.407
TcCLB.409139.9,547,69,37,0.474,0.573
TcCLB.410243.10,392,107,97,0.37,0.485
TcCLB.410589.10,NA,0,NA,NA,NA
TcCLB.410589.19,74,154,142,0.378,0.649
TcCLB.410943.10,NA,0,NA,NA,NA
TcCLB.410961.10,2849,7,1,0.521,0.491
TcCLB.411337.10,309,7661,4888,0.632,0.44
TcCLB.411427.10,NA,0,NA,NA,NA
TcCLB.411427.30,32,527,487,0.531,0.281
TcCLB.411427.40,93,95,33,0.344,0.441
TcCLB.411427.49,443,707,704,0.549,0.388
TcCLB.412093.10,NA,0,NA,NA,NA
TcCLB.412943.9,26,411,250,0.423,0.269
TcCLB.413605.10,NA,0,NA,NA,NA
TcCLB.413977.10,NA,0,NA,NA,NA
TcCLB.414145.9,61,52,31,0.607,0.377
TcCLB.414517.9,NA,0,NA,NA,NA
TcCLB.415331.10,NA,0,NA,NA,NA
TcCLB.416503.10,872,4,2,0.594,0.529
TcCLB.416761.10,2943,265,163,0.538,0.467
TcCLB.416883.18,NA,0,NA,NA,NA
TcCLB.416883.9,4,666,652,0.75,0.75
TcCLB.417091.10,NA,0,NA,NA,NA
TcCLB.417203.9,NA,0,NA,NA,NA
TcCLB.417797.9,NA,0,NA,NA,NA
TcCLB.417939.9,NA,0,NA,NA,NA
TcCLB.417993.10,NA,0,NA,NA,NA
TcCLB.418069.10,NA,0,NA,NA,NA
TcCLB.418405.10,36,7725,5985,0.556,0.389
TcCLB.418405.20,1580,207,112,0.545,0.565
TcCLB.418405.30,NA,0,NA,NA,NA
TcCLB.418613.20,30,3042,2366,0.633,0.3
TcCLB.419043.10,5,578,411,0.8,0.4
TcCLB.419417.10,3,239,221,0.667,0.333
TcCLB.419417.19,NA,0,NA,NA,NA
TcCLB.419417.4,31,1536,924,0.387,0.452
TcCLB.419469.14,907,373,126,0.467,0.462
TcCLB.419469.30,NA,0,NA,NA,NA
TcCLB.419637.9,NA,0,NA,NA,NA
TcCLB.419703.10,21,251,233,0.429,0.571
TcCLB.419703.20,NA,0,NA,NA,NA
TcCLB.420091.10,246,12,12,0.479,0.473
TcCLB.420293.20,106,51,23,0.425,0.434
TcCLB.420293.31,99,26,16,0.606,0.576
TcCLB.420293.40,179,30,24,0.48,0.559
TcCLB.420293.50,741,93,46,0.553,0.459
TcCLB.420369.20,1632,80,24,0.553,0.499
TcCLB.420369.40,16,430,356,0.438,0.375
TcCLB.420495.10,84,81,67,0.369,0.536
TcCLB.420495.19,NA,0,NA,NA,NA
TcCLB.420989.10,NA,0,NA,NA,NA
TcCLB.421173.14,NA,0,NA,NA,NA
TcCLB.421173.4,751,3220,1997,0.582,0.537
TcCLB.421321.9,NA,0,NA,NA,NA
TcCLB.421619.10,262,459,431,0.599,0.511
TcCLB.421959.10,726,7,4,0.577,0.597
TcCLB.422041.9,1328,319,157,0.369,0.518
TcCLB.422207.10,22,212,198,0.591,0.591
TcCLB.422207.21,NA,0,NA,NA,NA
TcCLB.422319.10,514,6,5,0.566,0.479
TcCLB.422507.10,NA,0,NA,NA,NA
TcCLB.422843.10,2,290,288,0,1
TcCLB.423205.10,195,6246,5218,0.533,0.426
TcCLB.424195.5,NA,0,NA,NA,NA
TcCLB.424195.9,862,1,1,0.425,0.538
TcCLB.424383.9,NA,0,NA,NA,NA
TcCLB.424795.10,NA,0,NA,NA,NA
TcCLB.424889.10,22,173,63,0.545,0.5
TcCLB.425311.9,NA,0,NA,NA,NA
TcCLB.425435.10,NA,0,NA,NA,NA
TcCLB.425851.9,NA,0,NA,NA,NA
TcCLB.426397.9,NA,0,NA,NA,NA
TcCLB.427247.10,NA,0,NA,NA,NA
TcCLB.427247.4,29,681,550,0.483,0.448
TcCLB.427355.10,490,17,14,0.298,0.343
TcCLB.428999.10,NA,0,NA,0.284,0.589
TcCLB.428999.20,70,764,753,0.5,0.5
TcCLB.428999.30,71,341,300,0.535,0.338
TcCLB.429185.20,NA,0,NA,0.368,0.4
TcCLB.429185.31,1076,233,57,0.575,0.545
TcCLB.429257.10,819,602,507,0.453,0.6
TcCLB.429257.20,1445,790,288,0.425,0.466
TcCLB.430061.9,537,205,117,0.402,0.525
TcCLB.430281.10,16,204,198,0.5,0.562
TcCLB.430281.20,NA,0,NA,0.537,0.632
TcCLB.430539.10,333,113,112,0.402,0.532
TcCLB.430539.20,816,805,656,0.422,0.502
TcCLB.430605.10,108,2,2,0.389,0.185
TcCLB.430605.20,136,1253,599,0.412,0.324
TcCLB.430605.29,90,2980,971,0.4,0.122
TcCLB.430605.40,NA,0,NA,0.463,0.526
TcCLB.430737.10,NA,0,NA,NA,NA
TcCLB.430737.20,311,13,9,0.633,0.463
TcCLB.430895.10,106,955,802,0.462,0.434
TcCLB.430895.16,23,2758,1610,0.435,0.348
TcCLB.430895.4,NA,0,NA,NA,NA
TcCLB.432027.9,NA,0,NA,NA,NA
TcCLB.432621.9,NA,0,NA,NA,NA
TcCLB.432787.10,NA,0,NA,NA,NA
TcCLB.433033.10,4170,764,370,0.536,0.515
TcCLB.433273.10,NA,0,NA,NA,NA
TcCLB.433673.10,113,861,327,0.442,0.46
TcCLB.434259.10,NA,0,NA,NA,NA
TcCLB.434259.19,203,721,539,0.443,0.384
TcCLB.434931.10,NA,0,NA,NA,NA
TcCLB.434931.20,194,407,362,0.376,0.541
TcCLB.434945.10,NA,0,NA,NA,NA
TcCLB.434945.4,73,10,6,0.521,0.356
TcCLB.435601.10,NA,0,NA,NA,NA
TcCLB.436497.10,398,7,2,0.651,0.329
TcCLB.436521.9,270,2,1,0.341,0.667
TcCLB.436535.10,696,20,8,0.366,0.565
TcCLB.436535.19,NA,0,NA,NA,NA
TcCLB.437121.9,32,299,210,0.562,0.344
TcCLB.437545.10,464,4,2,0.346,0.613
TcCLB.437805.9,NA,0,NA,NA,NA
TcCLB.438059.10,1173,3,2,0.377,0.591
TcCLB.438147.18,1254,253,251,NA,NA
TcCLB.438147.9,34,261,252,0.176,0.647
TcCLB.438897.10,NA,0,NA,NA,NA
TcCLB.438923.10,170,3441,3250,0.488,0.4
TcCLB.439245.10,514,39,18,0.558,0.591
TcCLB.439307.19,NA,0,NA,NA,NA
TcCLB.439307.9,490,128,37,0.449,0.496
TcCLB.439653.10,NA,0,NA,NA,NA
TcCLB.439803.9,NA,0,NA,NA,NA
TcCLB.441061.9,NA,0,NA,NA,NA
TcCLB.441241.10,1952,238,82,0.505,0.472
TcCLB.441401.10,NA,0,NA,NA,NA
TcCLB.442297.10,123,241,185,0.317,0.382
TcCLB.442383.19,80,151,68,0.588,0.362
TcCLB.442383.9,47,24536,24472,0.553,0.532
TcCLB.442427.10,1387,94,55,0.604,0.484
TcCLB.442629.9,NA,0,NA,NA,NA
TcCLB.443683.9,NA,0,NA,NA,NA
TcCLB.444331.10,3709,412,164,0.576,0.488
TcCLB.445011.10,NA,0,NA,NA,NA
TcCLB.445011.19,NA,0,NA,0.568,0.6
TcCLB.445281.9,NA,0,NA,NA,NA
TcCLB.445553.10,4938,13,4,0.51,0.518
TcCLB.445635.10,951,475,225,0.552,0.483
TcCLB.445849.10,NA,0,NA,NA,NA
TcCLB.445869.10,1638,5,3,NA,NA
TcCLB.447255.10,167,1683,983,0.389,0.365
TcCLB.447255.20,67,256,235,0.313,0.627
TcCLB.447255.29,NA,0,NA,NA,NA
TcCLB.447255.4,216,328,193,0.37,0.38
TcCLB.447705.19,NA,0,NA,NA,NA
TcCLB.447705.9,44,1034,986,0.75,0.318
TcCLB.447847.10,NA,0,NA,NA,NA
TcCLB.447847.19,1084,255,215,0.575,0.501
TcCLB.447925.10,625,121,66,0.52,0.512
TcCLB.448197.10,NA,0,NA,NA,NA
TcCLB.448387.9,NA,0,NA,NA,NA
TcCLB.448567.9,NA,0,NA,NA,NA
TcCLB.449247.10,45,749,714,0.422,0.244
TcCLB.449247.20,NA,0,NA,NA,NA
TcCLB.449247.4,214,197,183,0.36,0.435
TcCLB.450061.10,NA,0,NA,NA,NA
TcCLB.450155.9,159,224,208,0.484,0.283
TcCLB.453917.9,105,421,362,0.438,0.381
TcCLB.454787.10,720,8,7,0.548,0.473
TcCLB.454787.20,203,22,17,0.571,0.537
TcCLB.455171.9,NA,0,NA,NA,NA
TcCLB.456097.10,716,19,6,0.464,0.486
TcCLB.456097.30,519,482,198,0.351,0.551
TcCLB.456139.10,NA,0,NA,NA,NA
TcCLB.456627.10,NA,0,NA,NA,NA
TcCLB.457109.9,NA,0,NA,NA,NA
TcCLB.457547.9,NA,0,NA,NA,NA
TcCLB.458015.10,296,167,90,0.395,0.412
TcCLB.458015.4,66,878,834,0.53,0.333
TcCLB.458153.10,57,69,26,0.281,0.544
TcCLB.459793.10,20,490,456,0.5,0.5
TcCLB.459793.20,40,491,358,0.6,0.4
TcCLB.460061.10,NA,0,NA,0.579,0.505
TcCLB.460061.20,89,798,769,0.427,0.404
TcCLB.461165.10,19,53,38,0.421,0.368
TcCLB.461165.16,NA,0,NA,0.695,0.505
TcCLB.461165.4,36,66,54,0.444,0.194
TcCLB.461515.10,919,1616,816,0.549,0.508
TcCLB.461927.9,NA,0,NA,NA,NA
TcCLB.462545.9,NA,0,NA,NA,NA
TcCLB.462617.10,NA,0,NA,NA,NA
TcCLB.462761.10,98,1,1,0.337,0.276
TcCLB.462761.16,68,3016,2942,0.471,0.471
TcCLB.462761.4,1211,17,6,NA,NA
TcCLB.463155.10,119,39,18,0.462,0.387
TcCLB.463155.20,81,305,196,0.358,0.321
TcCLB.463155.40,1097,2290,542,0.491,0.49
TcCLB.463297.10,1575,8,3,0.436,0.464
TcCLB.463673.9,NA,0,NA,NA,NA
TcCLB.464807.10,NA,0,NA,NA,NA
TcCLB.464807.20,1132,615,279,0.439,0.554
TcCLB.466007.9,NA,0,NA,NA,NA
TcCLB.466529.9,30,282,210,0.367,0.6
TcCLB.466823.10,8,584,355,0.625,0.375
TcCLB.466823.20,205,1516,981,0.634,0.459
TcCLB.466879.10,NA,0,NA,NA,NA
TcCLB.466965.10,NA,0,NA,NA,NA
TcCLB.468217.14,1045,1138,343,0.592,0.53
TcCLB.468217.30,NA,0,NA,NA,NA
TcCLB.468405.9,NA,0,NA,NA,NA
TcCLB.468941.9,NA,0,NA,NA,NA
TcCLB.469435.10,NA,0,NA,NA,NA
TcCLB.469435.4,58,29,16,0.345,0.707
TcCLB.469785.10,73,139,103,0.521,0.329
TcCLB.469785.20,58,327,286,0.466,0.414
TcCLB.469785.30,18,298,120,0.611,0.444
TcCLB.469785.40,77,143,135,0.455,0.403
TcCLB.469785.5,59,313,252,0.407,0.237
TcCLB.470169.9,66,55,32,0.439,0.409
TcCLB.472253.10,NA,0,NA,NA,NA
TcCLB.473111.10,6222,269,251,NA,NA
TcCLB.473619.9,2503,911,876,0.55,0.496
TcCLB.473633.9,NA,0,NA,NA,NA
TcCLB.474341.9,NA,0,NA,NA,NA
TcCLB.475705.9,NA,0,NA,NA,NA
TcCLB.476421.9,1143,134,127,0.486,0.475
TcCLB.477079.10,NA,0,NA,NA,NA
TcCLB.477983.10,NA,0,NA,NA,NA
TcCLB.478671.9,683,74,29,0.415,0.36
TcCLB.478711.10,NA,0,NA,NA,NA
TcCLB.479253.9,118,2922,1040,0.466,0.602
TcCLB.479379.9,NA,0,NA,NA,NA
TcCLB.479517.30,NA,0,NA,0.526,0.4
TcCLB.479517.40,1301,10,5,0.514,0.492
TcCLB.479517.50,4723,308,149,0.579,0.474
TcCLB.479721.10,738,47,41,0.447,0.526
TcCLB.480653.10,NA,0,NA,NA,NA
TcCLB.480785.10,NA,0,NA,NA,NA
TcCLB.480975.10,NA,0,NA,NA,NA
TcCLB.480997.10,NA,0,NA,NA,NA
TcCLB.482097.10,94,14,9,0.479,0.404
TcCLB.482097.20,NA,0,NA,NA,NA
TcCLB.482369.10,1962,6,4,NA,NA
TcCLB.482369.20,38,377,366,0.553,0.447
TcCLB.482369.29,50,4148,3749,0.38,0.54
TcCLB.482471.10,4,4,2,NA,NA
TcCLB.482471.19,137,837,300,0.299,0.263
TcCLB.482971.9,NA,0,NA,NA,NA
TcCLB.483623.10,NA,0,NA,NA,NA
TcCLB.483813.10,366,9,5,0.492,0.549
TcCLB.484299.10,NA,0,NA,NA,NA
TcCLB.484299.4,20,256,154,0.55,0.15
TcCLB.484311.10,NA,0,NA,NA,NA
TcCLB.484949.9,NA,0,NA,NA,NA
TcCLB.485845.9,NA,0,NA,NA,NA
TcCLB.485889.10,319,86,62,0.439,0.417
TcCLB.485889.16,323,99,98,0.449,0.567
TcCLB.485889.4,358,8,6,NA,NA
TcCLB.486465.9,NA,0,NA,0.537,0.442
TcCLB.486901.10,770,9,7,NA,NA
TcCLB.487507.10,60,21484,20802,0.333,0.5
TcCLB.492827.10,91,918,762,0.44,0.429
TcCLB.498829.10,38,1993,1890,0.5,0.474
TcCLB.498829.21,501,11,7,0.533,0.499
TcCLB.503391.10,3142,904,310,0.602,0.49
TcCLB.503393.10,33,715,368,0.424,0.394
TcCLB.503397.10,275,18,8,0.509,0.545
TcCLB.503397.5,NA,0,NA,NA,NA
TcCLB.503401.11,4436,1457,1121,0.553,0.493
TcCLB.503401.20,44,153,142,0.364,0.318
TcCLB.503401.29,80,630,619,0.525,0.45
TcCLB.503401.40,NA,0,NA,NA,NA
TcCLB.503405.10,1653,87,9,0.35,0.559
TcCLB.503407.10,143,147,112,0.322,0.294
TcCLB.503407.20,428,32,29,0.407,0.544
TcCLB.503409.10,26,65,63,0.5,0.423
TcCLB.503409.20,NA,0,NA,0.484,0.672
TcCLB.503419.10,109,2,2,0.44,0.367
TcCLB.503419.20,1,310,211,1,0
TcCLB.503419.30,52,1647,1182,0.288,0.519
TcCLB.503419.40,66,216,112,0.318,0.561
TcCLB.503419.50,126,93,71,0.294,0.31
TcCLB.503419.54,200,256,122,0.43,0.475
TcCLB.503419.60,99,223,51,0.192,0.394
TcCLB.503425.10,79,79,77,0.57,0.304
TcCLB.503425.20,18,667,627,0.722,0.222
TcCLB.503425.29,24,152,117,0.458,0.5
TcCLB.503425.5,NA,0,NA,NA,NA
TcCLB.503433.10,NA,0,NA,NA,NA
TcCLB.503433.20,24,168,144,0.583,0.458
TcCLB.503433.30,57,625,534,0.596,0.333
TcCLB.503435.14,140,130,86,0.486,0.45
TcCLB.503435.30,704,41,10,0.526,0.391
TcCLB.503441.10,444,200,173,0.599,0.439
TcCLB.503441.19,NA,0,NA,NA,NA
TcCLB.503441.5,103,215,168,0.427,0.398
TcCLB.503447.20,1027,78,31,0.559,0.507
TcCLB.503447.40,4128,109,37,0.546,0.514
TcCLB.503447.50,108,25,10,0.472,0.426
TcCLB.503447.60,310,234,84,0.474,0.513
TcCLB.503449.10,20,8941,8591,0.55,0.3
TcCLB.503449.14,36,1075,903,0.361,0.306
TcCLB.503449.20,52,564,286,0.269,0.481
TcCLB.503449.30,12,1144,1130,0.583,0.417
TcCLB.503449.40,9,251,236,0.556,0.333
TcCLB.503449.5,71,264,183,0.338,0.535
TcCLB.503453.10,192,213,201,0.38,0.359
TcCLB.503453.100,333,52,52,0.294,0.267
TcCLB.503453.20,165,693,570,0.479,0.321
TcCLB.503453.30,33,9902,9777,0.424,0.667
TcCLB.503453.4,52,418,403,0.538,0.365
TcCLB.503453.40,20,9733,9644,0.6,0.5
TcCLB.503453.50,54,108,46,0.556,0.519
TcCLB.503453.60,27,147,84,0.481,0.407
TcCLB.503453.64,127,1494,1224,0.331,0.378
TcCLB.503453.70,186,271,221,0.478,0.392
TcCLB.503453.80,242,100,66,0.438,0.417
TcCLB.503453.90,90,352,342,0.478,0.289
TcCLB.503455.10,180,190,132,0.589,0.306
TcCLB.503455.20,100,971,480,0.42,0.38
TcCLB.503455.30,130,199,148,0.562,0.523
TcCLB.503457.10,3,6,3,0,0.667
TcCLB.503457.4,NA,0,NA,NA,NA
TcCLB.503467.20,122,2,1,0.467,0.475
TcCLB.503467.30,4,1,1,0,0.5
TcCLB.503467.9,251,30,14,0.331,0.263
TcCLB.503477.10,1525,1431,840,0.499,0.461
TcCLB.503477.20,200,365,319,0.385,0.36
TcCLB.503477.30,1103,12,2,0.402,0.464
TcCLB.503479.10,NA,0,NA,NA,NA
TcCLB.503479.20,815,60,25,0.411,0.447
TcCLB.503479.30,73,654,317,0.342,0.329
TcCLB.503479.40,263,9,6,0.411,0.354
TcCLB.503479.60,81,34,19,0.247,0.432
TcCLB.503479.70,2410,400,161,0.524,0.514
TcCLB.503483.9,1150,18,11,0.583,0.496
TcCLB.503485.20,NA,0,NA,0.632,0.432
TcCLB.503487.10,NA,0,NA,NA,NA
TcCLB.503487.20,69,313,304,0.522,0.406
TcCLB.503487.30,132,181,126,0.553,0.348
TcCLB.503487.40,62,209,193,0.532,0.516
TcCLB.503487.50,17,230,227,0.647,0.412
TcCLB.503487.60,29,334,314,0.483,0.586
TcCLB.503487.70,488,11,2,0.51,0.498
TcCLB.503489.10,602,139,100,0.444,0.554
TcCLB.503489.20,NA,0,NA,0.305,0.558
TcCLB.503489.24,107,482,393,0.327,0.505
TcCLB.503489.30,45,461,223,0.578,0.333
TcCLB.503493.10,937,31,18,NA,NA
TcCLB.503493.20,97,33,19,0.34,0.546
TcCLB.503493.30,8,116,115,0.25,0.625
TcCLB.503493.40,160,29,15,0.431,0.506
TcCLB.503501.14,35,598,376,0.571,0.543
TcCLB.503501.30,247,938,655,0.587,0.474
TcCLB.503501.50,90,71,36,0.467,0.411
TcCLB.503501.60,37,22,15,0.568,0.324
TcCLB.503501.7,36,1567,1170,0.583,0.389
TcCLB.503501.70,NA,0,NA,NA,NA
TcCLB.503503.15,5941,1220,271,0.54,0.489
TcCLB.503503.30,35,292,171,0.571,0.543
TcCLB.503503.40,36,19,13,0.556,0.389
TcCLB.503509.10,162,38,27,0.383,0.364
TcCLB.503511.10,237,282,121,0.409,0.447
TcCLB.503513.10,76,375,317,0.408,0.566
TcCLB.503513.20,1638,7,2,0.504,0.473
TcCLB.503513.40,NA,0,NA,NA,NA
TcCLB.503515.14,496,3,1,0.403,0.385
TcCLB.503515.20,28,25,11,0.5,0.429
TcCLB.503515.7,81,6,5,0.568,0.198
TcCLB.503525.10,133,430,407,0.474,0.466
TcCLB.503525.20,66,308,299,0.561,0.227
TcCLB.503525.30,99,612,348,0.444,0.293
TcCLB.503525.4,127,199,194,0.339,0.543
TcCLB.503525.40,73,311,233,0.479,0.493
TcCLB.503525.50,NA,0,NA,NA,NA
TcCLB.503527.10,24,695,245,0.542,0.333
TcCLB.503527.20,93,58,49,0.602,0.269
TcCLB.503527.29,67,397,349,0.448,0.239
TcCLB.503527.4,NA,0,NA,NA,NA
TcCLB.503527.40,NA,0,NA,0.316,0.589
TcCLB.503527.50,27,173,169,0.741,0.37
TcCLB.503527.60,35,197,194,0.629,0.343
TcCLB.503529.10,1387,179,97,0.438,0.471
TcCLB.503529.20,86,296,207,0.302,0.756
TcCLB.503529.30,126,174,141,0.492,0.262
TcCLB.503531.10,543,2,1,0.326,0.497
TcCLB.503531.20,29,154,144,0.448,0.621
TcCLB.503531.30,182,383,242,0.484,0.363
TcCLB.503531.40,867,25,7,0.352,0.535
TcCLB.503531.49,11,270,268,0.455,0.273
TcCLB.503535.9,130,298,182,0.554,0.208
TcCLB.503547.20,NA,0,NA,NA,NA
TcCLB.503551.20,382,4,4,0.374,0.56
TcCLB.503557.10,NA,0,NA,NA,NA
TcCLB.503557.14,71,1720,1675,0.465,0.451
TcCLB.503557.20,387,8,2,0.45,0.395
TcCLB.503557.30,92,200,156,0.467,0.543
TcCLB.503557.40,NA,0,NA,0.389,0.326
TcCLB.503557.49,4,1,1,0.75,0.75
TcCLB.503561.10,21,186,183,0.571,0.143
TcCLB.503561.20,NA,0,NA,NA,NA
TcCLB.503571.10,315,258,130,0.381,0.235
TcCLB.503571.19,703,422,178,0.417,0.505
TcCLB.503575.27,101,578,520,0.554,0.485
TcCLB.503575.34,20,10278,10265,0.65,0.45
TcCLB.503575.40,11,488,475,0.545,0.545
TcCLB.503575.50,165,255,130,0.364,0.364
TcCLB.503575.54,238,246,176,0.487,0.475
TcCLB.503575.60,16,304,210,0.688,0.312
TcCLB.503577.20,756,1295,734,0.416,0.537
TcCLB.503577.9,121,203,156,0.364,0.273
TcCLB.503579.10,NA,0,NA,NA,NA
TcCLB.503579.100,NA,0,NA,0.211,0.6
TcCLB.503579.110,66,192,183,0.455,0.152
TcCLB.503579.119,33,475,427,0.636,0.455
TcCLB.503579.130,100,201,196,0.54,0.44
TcCLB.503579.140,34,624,616,0.559,0.412
TcCLB.503579.150,NA,0,NA,0.432,0.632
TcCLB.503579.20,38,784,770,0.553,0.447
TcCLB.503579.30,21,40,23,0.095,0.048
TcCLB.503579.40,NA,0,NA,0.453,0.611
TcCLB.503579.50,16,397,337,0.438,0.312
TcCLB.503579.60,58,905,851,0.431,0.19
TcCLB.503579.70,109,2171,1854,0.303,0.312
TcCLB.503579.80,217,43,12,0.401,0.553
TcCLB.503579.90,29,268,263,0.552,0.414
TcCLB.503589.10,51,595,566,0.373,0.157
TcCLB.503589.19,NA,0,NA,NA,NA
TcCLB.503595.10,298,85,72,0.487,0.359
TcCLB.503595.19,128,65,45,0.477,0.258
TcCLB.503599.10,175,68,26,0.406,0.32
TcCLB.503599.20,238,12,9,0.412,0.34
TcCLB.503599.30,182,107,104,0.484,0.473
TcCLB.503599.40,129,127,113,0.481,0.318
TcCLB.503599.50,74,168,126,0.297,0.284
TcCLB.503599.60,156,9,8,0.474,0.346
TcCLB.503599.70,29,2,1,0.448,0.345
TcCLB.503601.10,96,402,195,0.458,0.427
TcCLB.503601.20,868,99,67,0.567,0.526
TcCLB.503611.10,NA,0,NA,NA,NA
TcCLB.503611.20,13,6474,6374,0.538,0.462
TcCLB.503611.30,NA,0,NA,0.368,0.705
TcCLB.503611.40,9,3298,3185,0.444,0.222
TcCLB.503611.50,59,175,153,0.407,0.525
TcCLB.503613.10,112,6,3,0.616,0.554
TcCLB.503613.20,50,900,368,0.4,0.14
TcCLB.503613.30,84,128,66,0.476,0.405
TcCLB.503613.40,460,166,162,0.537,0.461
TcCLB.503613.50,173,349,244,0.318,0.272
TcCLB.503613.60,11,526,499,0.273,0.273
TcCLB.503613.70,27,335,259,0.519,0.519
TcCLB.503613.79,414,1,1,NA,NA
TcCLB.503615.10,22,2933,2893,0.591,0.5
TcCLB.503619.10,14,86,75,0.643,0.214
TcCLB.503619.20,269,93,61,0.409,0.413
TcCLB.503619.25,8,179,43,0.625,0.625
TcCLB.503619.29,33,361,357,0.515,0.606
TcCLB.503619.39,NA,0,NA,NA,NA
TcCLB.503623.10,NA,0,NA,NA,NA
TcCLB.503627.20,418,301,261,0.373,0.531
TcCLB.503627.9,480,20,15,0.385,0.481
TcCLB.503629.10,NA,0,NA,NA,NA
TcCLB.503637.10,156,330,262,0.519,0.327
TcCLB.503637.20,23,158,155,0.565,0.217
TcCLB.503637.30,164,135,111,0.341,0.476
TcCLB.503639.10,NA,0,NA,NA,NA
TcCLB.503639.20,212,518,298,0.401,0.429
TcCLB.503639.30,53,44,39,0.226,0.358
TcCLB.503641.10,49,229,212,0.551,0.367
TcCLB.503641.19,214,233,207,0.416,0.364
TcCLB.503643.10,78,300,233,0.436,0.385
TcCLB.503643.20,108,37,26,0.454,0.426
TcCLB.503643.3,41,1611,1594,0.439,0.463
TcCLB.503643.30,37,219,199,0.595,0.459
TcCLB.503643.39,NA,0,NA,NA,NA
TcCLB.503643.6,69,22,13,0.362,0.188
TcCLB.503649.10,40,408,271,0.525,0.4
TcCLB.503649.20,NA,0,NA,NA,NA
TcCLB.503651.10,8,377,376,0.625,0.625
TcCLB.503651.20,25,240,220,0.56,0.24
TcCLB.503651.30,170,139,130,0.435,0.382
TcCLB.503651.4,74,12,11,0.297,0.541
TcCLB.503651.40,38,213,172,0.579,0.316
TcCLB.503651.49,NA,0,NA,NA,NA
TcCLB.503653.104,NA,0,NA,NA,NA
TcCLB.503653.20,147,117,111,0.367,0.354
TcCLB.503653.30,36,441,381,0.528,0.528
TcCLB.503653.50,88,16,9,0.568,0.307
TcCLB.503653.60,NA,0,NA,0.379,0.558
TcCLB.503653.70,92,647,600,0.435,0.652
TcCLB.503653.9,46,165,69,0.413,0.522
TcCLB.503653.90,113,356,352,0.522,0.469
TcCLB.503659.10,36,53,48,0.472,0.444
TcCLB.503659.20,572,219,80,0.591,0.549
TcCLB.503659.30,NA,0,NA,NA,NA
TcCLB.503665.10,NA,0,NA,NA,NA
TcCLB.503665.15,484,1,1,0.61,0.388
TcCLB.503665.21,155,365,352,0.535,0.484
TcCLB.503665.30,36,747,323,0.556,0.389
TcCLB.503665.40,50,97,58,0.52,0.56
TcCLB.503667.10,NA,0,NA,NA,NA
TcCLB.503667.20,176,122,119,0.545,0.46
TcCLB.503667.31,187,60,33,0.61,0.369
TcCLB.503667.39,215,193,174,0.433,0.47
TcCLB.503669.10,21,374,363,0.524,0.143
TcCLB.503669.20,38,456,391,0.632,0.5
TcCLB.503669.30,33,191,128,0.515,0.152
TcCLB.503669.39,12,602,465,0.667,0.083
TcCLB.503671.10,NA,0,NA,NA,NA
TcCLB.503671.20,54,270,223,0.444,0.296
