name,length,num_reads,num_reads_primary,gc,ct
TcCLB.420293.40,1600,2,2,0.516,0.501
TcCLB.420293.50,401,5,1,0.583,0.503
TcCLB.420369.20,551,6,2,0.459,0.544
TcCLB.420369.40,1338,57,7,0.305,0.48
TcCLB.420495.10,NA,0,NA,NA,NA
TcCLB.420495.19,57,5,4,0.263,0.439
TcCLB.420989.10,356,8,2,0.441,0.441
TcCLB.421173.14,42,668,562,0.405,0.31
TcCLB.421173.4,NA,0,NA,0.524,0.435
TcCLB.421321.9,NA,0,NA,NA,NA
TcCLB.421619.10,137,46,40,0.336,0.708
TcCLB.421959.10,21,4,4,0.429,0.048
TcCLB.422041.9,NA,0,NA,0.618,0.5
TcCLB.422207.10,134,86,84,0.448,0.351
TcCLB.422207.21,92,2,2,0.674,0.5
TcCLB.422319.10,NA,0,NA,0.515,0.548
TcCLB.422507.10,207,17,4,0.367,0.517
TcCLB.422843.10,1157,36,9,0.527,0.549
TcCLB.423205.10,5659,1,1,NA,NA
TcCLB.424195.5,378,1,1,0.36,0.614
TcCLB.424195.9,2766,1,1,0.408,0.579
TcCLB.424383.9,NA,0,NA,0.459,0.447
TcCLB.424795.10,539,92,30,0.497,0.499
TcCLB.424889.10,525,4,2,0.525,0.534
TcCLB.425311.9,NA,0,NA,0.482,0.512
TcCLB.425435.10,626,54,27,0.479,0.542
TcCLB.425851.9,NA,0,NA,0.524,0.553
TcCLB.426397.9,5349,41,7,NA,NA
TcCLB.427247.10,863,3,2,0.399,0.572
TcCLB.427247.4,NA,0,NA,0.512,0.429
TcCLB.427355.10,NA,0,NA,NA,NA
TcCLB.428999.10,256,1,1,0.469,0.508
TcCLB.428999.20,NA,0,NA,0.419,0.556
TcCLB.428999.30,303,6,2,0.403,0.564
TcCLB.429185.20,NA,0,NA,0.582,0.524
TcCLB.429185.31,NA,0,NA,0.485,0.47
TcCLB.429257.10,218,16,3,0.367,0.353
TcCLB.429257.20,1559,57,10,0.412,0.502
TcCLB.430061.9,NA,0,NA,NA,NA
TcCLB.430281.10,NA,0,NA,0.641,0.522
TcCLB.430281.20,NA,0,NA,0.412,0.547
TcCLB.430539.10,NA,0,NA,NA,NA
TcCLB.430539.20,327,1,1,0.404,0.599
TcCLB.430605.10,313,1,1,0.374,0.613
TcCLB.430605.20,12,140,64,0.25,0.083
TcCLB.430605.29,231,225,137,0.338,0.623
TcCLB.430605.40,897,37,11,0.408,0.484
TcCLB.430737.10,374,8,3,0.401,0.535
TcCLB.430737.20,1,1,1,NA,NA
TcCLB.430895.10,3674,176,30,0.503,0.513
TcCLB.430895.16,NA,0,NA,0.494,0.465
TcCLB.430895.4,472,288,152,0.32,0.356
TcCLB.432027.9,268,14,6,0.366,0.571
TcCLB.432621.9,NA,0,NA,0.629,0.476
TcCLB.432787.10,504,8,4,0.478,0.419
TcCLB.433033.10,323,33,10,0.567,0.567
TcCLB.433273.10,365,87,50,0.385,0.423
TcCLB.433673.10,NA,0,NA,NA,NA
TcCLB.434259.10,176,268,231,0.483,0.239
TcCLB.434259.19,NA,0,NA,0.482,0.376
TcCLB.434931.10,410,14,7,0.298,0.68
TcCLB.434931.20,1161,273,83,0.416,0.407
TcCLB.434945.10,266,2,2,0.492,0.417
TcCLB.434945.4,NA,0,NA,0.629,0.471
TcCLB.435601.10,1677,1929,1307,0.526,0.502
TcCLB.436497.10,NA,0,NA,0.559,0.441
TcCLB.436521.9,NA,0,NA,NA,NA
TcCLB.436535.10,163,3,2,0.282,0.607
TcCLB.436535.19,590,5,3,0.358,0.597
TcCLB.437121.9,NA,0,NA,NA,NA
TcCLB.437545.10,905,1544,379,0.367,0.394
TcCLB.437805.9,NA,0,NA,0.571,0.576
TcCLB.438059.10,3059,9,3,0.445,0.53
TcCLB.438147.18,95,7,7,0.368,0.674
TcCLB.438147.9,NA,0,NA,NA,NA
TcCLB.438897.10,184,85,24,0.342,0.332
TcCLB.438923.10,246,55,36,0.384,0.527
TcCLB.439245.10,226,6,4,0.31,0.659
TcCLB.439307.19,180,197,76,0.239,0.572
TcCLB.439307.9,NA,0,NA,0.471,0.494
TcCLB.439653.10,491,234,97,0.381,0.53
TcCLB.439803.9,NA,0,NA,0.588,0.418
TcCLB.441061.9,NA,0,NA,0.479,0.491
TcCLB.441241.10,NA,0,NA,0.571,0.459
TcCLB.441401.10,1248,230,217,0.45,0.484
TcCLB.442297.10,17,2,2,0.235,0.118
TcCLB.442383.19,93,25,20,0.387,0.527
TcCLB.442383.9,NA,0,NA,0.618,0.547
TcCLB.442427.10,NA,0,NA,0.518,0.429
TcCLB.442629.9,1875,19,10,NA,NA
TcCLB.443683.9,NA,0,NA,0.506,0.482
TcCLB.444331.10,361,224,62,0.54,0.604
TcCLB.445011.10,NA,0,NA,0.493,0.533
TcCLB.445011.19,NA,0,NA,NA,NA
TcCLB.445281.9,NA,0,NA,0.612,0.465
TcCLB.445553.10,403,57,20,0.317,0.469
TcCLB.445635.10,1080,827,143,0.499,0.504
TcCLB.445849.10,138,13,6,0.406,0.486
TcCLB.445869.10,41,54,51,0.39,0.073
TcCLB.447255.10,687,342,142,0.422,0.402
TcCLB.447255.20,NA,0,NA,0.363,0.733
TcCLB.447255.29,92,4,2,0.533,0.37
TcCLB.447255.4,364,41,17,0.401,0.519
TcCLB.447705.19,22,18,10,0.545,0.364
TcCLB.447705.9,NA,0,NA,0.624,0.376
TcCLB.447847.10,368,5,4,0.424,0.535
TcCLB.447847.19,NA,0,NA,NA,NA
TcCLB.447925.10,NA,0,NA,0.547,0.406
TcCLB.448197.10,369,50,41,0.534,0.599
TcCLB.448387.9,2,1,1,NA,NA
TcCLB.448567.9,NA,0,NA,0.5,0.465
TcCLB.449247.10,289,111,51,0.284,0.478
TcCLB.449247.20,206,13,7,0.476,0.427
TcCLB.449247.4,NA,0,NA,NA,NA
TcCLB.450061.10,330,78,33,0.245,0.43
TcCLB.450155.9,NA,0,NA,NA,NA
TcCLB.453917.9,323,12,3,0.377,0.466
TcCLB.454787.10,820,5,3,0.477,0.62
TcCLB.454787.20,NA,0,NA,0.659,0.388
TcCLB.455171.9,1,1,1,NA,NA
TcCLB.456097.10,1331,78,44,0.523,0.449
TcCLB.456097.30,834,13,10,0.416,0.554
TcCLB.456139.10,215,83,17,0.451,0.433
TcCLB.456627.10,NA,0,NA,0.524,0.476
TcCLB.457109.9,NA,0,NA,NA,NA
TcCLB.457547.9,NA,0,NA,0.682,0.465
TcCLB.458015.10,43,212,168,0.442,0.326
TcCLB.458015.4,362,116,72,0.392,0.359
TcCLB.458153.10,NA,0,NA,NA,NA
TcCLB.459793.10,2,3,1,0.5,0
TcCLB.459793.20,NA,0,NA,NA,NA
TcCLB.460061.10,NA,0,NA,0.435,0.765
TcCLB.460061.20,NA,0,NA,0.588,0.429
TcCLB.461165.10,34,4,2,0.324,0.588
TcCLB.461165.16,NA,0,NA,0.6,0.441
TcCLB.461165.4,NA,0,NA,0.435,0.471
TcCLB.461515.10,NA,0,NA,NA,NA
TcCLB.461927.9,NA,0,NA,NA,NA
TcCLB.462545.9,NA,0,NA,0.453,0.318
TcCLB.462617.10,3,1,1,0.5,0
TcCLB.462761.10,226,48,14,0.482,0.544
TcCLB.462761.16,1787,7,2,0.456,0.493
TcCLB.462761.4,190,1,1,0.484,0.532
TcCLB.463155.10,2666,29,9,0.496,0.507
TcCLB.463155.20,564,24,16,0.417,0.541
TcCLB.463155.40,188,24,10,0.372,0.516
TcCLB.463297.10,NA,0,NA,0.494,0.453
TcCLB.463673.9,NA,0,NA,NA,NA
TcCLB.464807.10,1650,44,9,0.408,0.551
TcCLB.464807.20,1799,100,39,NA,NA
TcCLB.466007.9,NA,0,NA,0.7,0.453
TcCLB.466529.9,418,1,1,0.393,0.475
TcCLB.466823.10,172,43,29,0.488,0.605
TcCLB.466823.20,NA,0,NA,0.6,0.624
TcCLB.466879.10,83,130,59,0.361,0.084
TcCLB.466965.10,1372,255,123,0.547,0.523
TcCLB.468217.14,NA,0,NA,0.594,0.4
TcCLB.468217.30,22,1570,1565,0.727,0.409
TcCLB.468405.9,NA,0,NA,0.571,0.512
TcCLB.468941.9,NA,0,NA,0.506,0.541
TcCLB.469435.10,47,15,4,0.298,0.638
TcCLB.469435.4,3,3,1,0.667,0
TcCLB.469785.10,36,62,57,0.444,0.222
TcCLB.469785.20,198,2,1,0.333,0.525
TcCLB.469785.30,NA,0,NA,0.37,0.496
TcCLB.469785.40,NA,0,NA,0.426,0.496
TcCLB.469785.5,3,1,1,1,0.5
TcCLB.470169.9,700,3,2,0.406,0.524
TcCLB.472253.10,351,27,11,0.319,0.501
TcCLB.473111.10,979,317,117,0.37,0.454
TcCLB.473619.9,NA,0,NA,0.671,0.465
TcCLB.473633.9,NA,0,NA,0.671,0.471
TcCLB.474341.9,1,706,706,NA,NA
TcCLB.475705.9,NA,0,NA,0.571,0.529
TcCLB.476421.9,370,39,20,0.343,0.627
TcCLB.477079.10,3730,4,2,0.34,0.505
TcCLB.477983.10,3340,28,6,0.467,0.507
TcCLB.478671.9,NA,0,NA,0.588,0.494
TcCLB.478711.10,511,5,3,0.378,0.577
TcCLB.479253.9,NA,0,NA,0.512,0.453
TcCLB.479379.9,NA,0,NA,0.524,0.512
TcCLB.479517.30,3383,42,21,0.545,0.504
TcCLB.479517.40,NA,0,NA,0.626,0.496
TcCLB.479517.50,747,12,8,0.372,0.521
TcCLB.479721.10,NA,0,NA,0.559,0.512
TcCLB.480653.10,33,7,3,0.212,0.273
TcCLB.480785.10,3798,294,277,0.38,0.585
TcCLB.480975.10,41,13,6,0.415,0.488
TcCLB.480997.10,NA,0,NA,0.385,0.4
TcCLB.482097.10,NA,0,NA,0.491,0.438
TcCLB.482097.20,337,16,6,0.356,0.543
TcCLB.482369.10,375,5,2,0.339,0.512
TcCLB.482369.20,231,18,10,0.394,0.385
TcCLB.482369.29,2414,524,263,NA,NA
TcCLB.482471.10,232,379,154,0.418,0.263
TcCLB.482471.19,NA,0,NA,0.459,0.541
TcCLB.482971.9,NA,0,NA,0.659,0.5
TcCLB.483623.10,40,10,2,0.425,0.275
TcCLB.483813.10,NA,0,NA,0.576,0.412
TcCLB.484299.10,382,39,24,0.421,0.39
TcCLB.484299.4,1169,2,1,NA,NA
TcCLB.484311.10,NA,0,NA,0.665,0.412
TcCLB.484949.9,NA,0,NA,0.465,0.453
TcCLB.485845.9,NA,0,NA,0.712,0.482
TcCLB.485889.10,503,22,10,0.414,0.453
TcCLB.485889.16,NA,0,NA,0.594,0.406
TcCLB.485889.4,144,31,9,0.576,0.424
TcCLB.486465.9,NA,0,NA,0.541,0.465
TcCLB.486901.10,526,3,3,0.357,0.593
TcCLB.487507.10,491,440,104,0.436,0.53
TcCLB.492827.10,NA,0,NA,0.559,0.447
TcCLB.498829.10,502,13,5,0.546,0.48
TcCLB.498829.21,1016,97,33,0.564,0.468
TcCLB.503391.10,40,12,7,0.725,0.4
TcCLB.503393.10,NA,0,NA,0.651,0.527
TcCLB.503397.10,1898,120,89,0.541,0.482
TcCLB.503397.5,734,101,54,0.516,0.47
TcCLB.503401.11,NA,0,NA,0.441,0.418
TcCLB.503401.20,3827,58,37,0.55,0.487
TcCLB.503401.29,90,56,22,0.367,0.222
TcCLB.503401.40,66,48,33,0.303,0.697
TcCLB.503405.10,391,550,391,0.297,0.491
TcCLB.503407.10,161,102,66,0.373,0.373
TcCLB.503407.20,377,48,38,0.347,0.546
TcCLB.503409.10,193,10,2,0.477,0.29
TcCLB.503409.20,NA,0,NA,0.337,0.596
TcCLB.503419.10,5863,35,32,0.404,0.541
TcCLB.503419.20,17,5,1,0.235,0.294
TcCLB.503419.30,232,593,449,0.44,0.379
TcCLB.503419.40,166,27,17,0.41,0.41
TcCLB.503419.50,286,49,12,0.378,0.371
TcCLB.503419.54,87,8,4,0.414,0.333
TcCLB.503419.60,112,52,32,0.429,0.411
TcCLB.503425.10,NA,0,NA,0.404,0.5
TcCLB.503425.20,172,4,3,0.349,0.483
TcCLB.503425.29,NA,0,NA,0.553,0.529
TcCLB.503425.5,50,4,3,0.36,0.26
TcCLB.503433.10,546,31,7,0.407,0.451
TcCLB.503433.20,405,14,5,0.358,0.6
TcCLB.503433.30,58,6,2,0.483,0.517
TcCLB.503435.14,NA,0,NA,NA,NA
TcCLB.503435.30,165,19,3,0.297,0.552
TcCLB.503441.10,975,19,7,0.507,0.496
TcCLB.503441.19,766,78,29,0.418,0.534
TcCLB.503441.5,NA,0,NA,NA,NA
TcCLB.503447.20,NA,0,NA,0.333,0.637
TcCLB.503447.40,405,33,10,0.454,0.385
TcCLB.503447.50,3523,94,55,0.521,0.548
TcCLB.503447.60,1933,1,1,0.52,0.499
TcCLB.503449.10,62,592,448,0.258,0.694
TcCLB.503449.14,100,36,20,0.37,0.47
TcCLB.503449.20,67,16,8,0.209,0.507
TcCLB.503449.30,71,26,11,0.366,0.493
TcCLB.503449.40,99,10,3,0.131,0.586
TcCLB.503449.5,NA,0,NA,0.524,0.476
TcCLB.503453.10,1334,18,9,0.43,0.466
TcCLB.503453.100,265,419,247,0.302,0.675
TcCLB.503453.20,78,539,280,0.359,0.218
TcCLB.503453.30,14,1276,1184,0.5,0.143
TcCLB.503453.4,349,35,18,0.401,0.582
TcCLB.503453.40,97,235,128,0.309,0.588
TcCLB.503453.50,195,16,3,0.328,0.605
TcCLB.503453.60,233,14,5,0.489,0.425
TcCLB.503453.64,81,127,125,0.481,0.346
TcCLB.503453.70,112,27,15,0.42,0.616
TcCLB.503453.80,252,5,1,0.429,0.647
TcCLB.503453.90,32,3,1,0.469,0.125
TcCLB.503455.10,411,110,52,0.462,0.564
TcCLB.503455.20,466,36,24,0.382,0.479
TcCLB.503455.30,816,18,4,0.411,0.589
TcCLB.503457.10,40,95,14,0.225,0.2
TcCLB.503457.4,195,4,2,0.421,0.523
TcCLB.503467.20,1223,6,3,0.401,0.491
TcCLB.503467.30,149,113,35,0.51,0.477
TcCLB.503467.9,NA,0,NA,0.544,0.521
TcCLB.503477.10,883,18,4,0.335,0.563
TcCLB.503477.20,249,669,606,0.361,0.382
TcCLB.503477.30,154,3,1,0.481,0.623
TcCLB.503479.10,439,237,57,0.38,0.326
TcCLB.503479.20,41,4,1,0.561,0.293
TcCLB.503479.30,631,49,38,0.357,0.563
TcCLB.503479.40,262,92,50,0.382,0.454
TcCLB.503479.60,2232,1203,1068,0.505,0.521
TcCLB.503479.70,295,7,2,0.329,0.525
TcCLB.503483.9,1,2543,2498,NA,NA
TcCLB.503485.20,4,79,62,0,0.75
TcCLB.503487.10,209,80,69,0.474,0.392
TcCLB.503487.20,153,17,7,0.431,0.49
TcCLB.503487.30,298,5,2,0.376,0.554
TcCLB.503487.40,120,15,5,0.492,0.6
TcCLB.503487.50,74,6,4,0.378,0.486
TcCLB.503487.60,295,104,81,0.576,0.437
TcCLB.503487.70,176,33,5,0.483,0.352
TcCLB.503489.10,NA,0,NA,0.244,0.567
TcCLB.503489.20,38,6,3,0.395,0.605
TcCLB.503489.24,577,65,18,0.388,0.513
TcCLB.503489.30,NA,0,NA,NA,NA
TcCLB.503493.10,403,2,2,0.377,0.481
TcCLB.503493.20,161,16,12,0.354,0.484
TcCLB.503493.30,104,2,2,0.452,0.452
TcCLB.503493.40,1418,4,1,0.34,0.528
TcCLB.503501.14,350,7,3,0.431,0.583
TcCLB.503501.30,619,19,6,0.625,0.486
TcCLB.503501.50,816,160,142,0.528,0.582
TcCLB.503501.60,NA,0,NA,0.563,0.563
TcCLB.503501.7,NA,0,NA,0.459,0.324
TcCLB.503501.70,419,1,1,0.601,0.563
TcCLB.503503.15,386,36,30,0.516,0.415
TcCLB.503503.30,403,1,1,0.462,0.588
TcCLB.503503.40,372,6,2,0.543,0.613
TcCLB.503509.10,445,19,6,0.445,0.479
TcCLB.503511.10,404,35,10,0.384,0.505
TcCLB.503513.10,678,33,14,0.344,0.431
TcCLB.503513.20,223,3,2,0.345,0.502
TcCLB.503513.40,243,232,107,0.407,0.292
TcCLB.503515.14,505,64,53,0.42,0.347
TcCLB.503515.20,252,8,7,0.421,0.361
TcCLB.503515.7,NA,0,NA,0.429,0.488
TcCLB.503525.10,28,35,25,0.429,0.321
TcCLB.503525.20,121,13,9,0.463,0.471
TcCLB.503525.30,55,6,1,0.491,0.527
TcCLB.503525.4,1313,57,32,0.404,0.494
TcCLB.503525.40,136,6,2,0.441,0.404
TcCLB.503525.50,113,5,1,0.31,0.389
TcCLB.503527.10,272,191,165,0.386,0.408
TcCLB.503527.20,238,97,63,0.399,0.475
TcCLB.503527.29,428,39,5,0.346,0.514
TcCLB.503527.4,16,208,146,0.562,0.312
TcCLB.503527.40,279,10,2,0.326,0.538
TcCLB.503527.50,81,26,22,0.481,0.457
TcCLB.503527.60,139,3,2,0.381,0.547
TcCLB.503529.10,NA,0,NA,0.541,0.335
TcCLB.503529.20,1234,12,4,0.447,0.501
TcCLB.503529.30,536,50,30,0.368,0.457
TcCLB.503531.10,NA,0,NA,NA,NA
TcCLB.503531.20,743,5,2,0.357,0.509
TcCLB.503531.30,245,6,2,0.245,0.445
TcCLB.503531.40,164,13,6,0.384,0.427
TcCLB.503531.49,NA,0,NA,0.359,0.418
TcCLB.503535.9,NA,0,NA,0.471,0.535
TcCLB.503547.20,NA,0,NA,0.5,0.548
TcCLB.503551.20,244,3,1,0.418,0.299
TcCLB.503557.10,332,6,2,0.389,0.521
TcCLB.503557.14,402,321,283,0.413,0.405
TcCLB.503557.20,95,5,2,0.421,0.537
TcCLB.503557.30,16,9,3,0.312,0.312
TcCLB.503557.40,26,44,21,0.346,0.077
TcCLB.503557.49,NA,0,NA,NA,NA
TcCLB.503561.10,572,9,1,0.439,0.399
TcCLB.503561.20,83,5,3,0.398,0.711
TcCLB.503571.10,116,147,51,0.405,0.293
TcCLB.503571.19,1171,87,59,0.367,0.501
TcCLB.503575.27,3479,470,192,0.477,0.469
TcCLB.503575.34,115,380,305,0.391,0.678
TcCLB.503575.40,48,22,13,0.5,0.354
TcCLB.503575.50,170,6,2,0.382,0.629
TcCLB.503575.54,137,21,12,0.467,0.569
TcCLB.503575.60,62,82,49,0.355,0.306
TcCLB.503577.20,301,59,33,0.409,0.442
TcCLB.503577.9,NA,0,NA,0.541,0.447
TcCLB.503579.10,306,100,80,0.327,0.48
TcCLB.503579.100,71,13,3,0.31,0.493
TcCLB.503579.110,83,1,1,0.313,0.446
TcCLB.503579.119,322,10,3,0.366,0.621
TcCLB.503579.130,11,18,10,0.273,0.364
TcCLB.503579.140,118,13,8,0.466,0.61
TcCLB.503579.150,986,43,26,0.463,0.544
TcCLB.503579.20,75,179,119,0.467,0.373
TcCLB.503579.30,251,264,166,0.446,0.371
TcCLB.503579.40,94,19,10,0.287,0.415
TcCLB.503579.50,30,18,14,0.1,0.733
TcCLB.503579.60,666,503,302,0.333,0.518
TcCLB.503579.70,200,128,33,0.415,0.305
TcCLB.503579.80,137,2,1,0.474,0.562
TcCLB.503579.90,259,5,2,0.471,0.486
TcCLB.503589.10,278,27,7,0.399,0.414
TcCLB.503589.19,56,10,5,0.518,0.393
TcCLB.503595.10,186,169,63,0.258,0.285
TcCLB.503595.19,NA,0,NA,NA,NA
TcCLB.503599.10,642,4,1,0.315,0.565
TcCLB.503599.20,NA,0,NA,0.437,0.481
TcCLB.503599.30,257,38,32,0.393,0.486
TcCLB.503599.40,NA,0,NA,0.341,0.493
TcCLB.503599.50,166,139,96,0.392,0.464
TcCLB.503599.60,31,3,2,0.613,0.387
TcCLB.503599.70,714,50,12,0.35,0.471
TcCLB.503601.10,1054,15,4,0.485,0.587
TcCLB.503601.20,566,9,4,0.442,0.558
TcCLB.503611.10,464,13,5,0.356,0.524
TcCLB.503611.20,53,311,256,0.321,0.66
TcCLB.503611.30,378,14,5,0.437,0.55
TcCLB.503611.40,123,199,72,0.285,0.683
TcCLB.503611.50,NA,0,NA,NA,NA
TcCLB.503613.10,NA,0,NA,0.448,0.589
TcCLB.503613.20,432,60,22,0.412,0.384
TcCLB.503613.30,28,17,9,0.536,0.286
TcCLB.503613.40,155,37,17,0.406,0.406
TcCLB.503613.50,105,116,72,0.333,0.657
TcCLB.503613.60,356,381,261,0.326,0.517
TcCLB.503613.70,4,4,4,0,0.5
TcCLB.503613.79,52,17,6,0.135,0.462
TcCLB.503615.10,643,52,21,0.468,0.547
TcCLB.503619.10,75,1,1,0.227,0.493
TcCLB.503619.20,117,6,4,0.444,0.581
TcCLB.503619.25,106,18,18,0.34,0.604
TcCLB.503619.29,66,42,16,0.409,0.197
TcCLB.503619.39,50,6,2,0.3,0.72
TcCLB.503623.10,2676,179,119,0.507,0.497
TcCLB.503627.20,345,22,8,0.461,0.458
TcCLB.503627.9,NA,0,NA,0.594,0.547
TcCLB.503629.10,59,1,1,0.39,0.593
TcCLB.503637.10,167,6,2,0.347,0.521
TcCLB.503637.20,158,75,37,0.297,0.633
TcCLB.503637.30,99,11,2,0.485,0.455
TcCLB.503639.10,1016,606,466,0.387,0.514
TcCLB.503639.20,195,11,7,0.354,0.4
TcCLB.503639.30,54,11,9,0.519,0.426
TcCLB.503641.10,493,26,12,0.432,0.533
TcCLB.503641.19,472,68,37,0.425,0.425
TcCLB.503643.10,43,1,1,0.326,0.674
TcCLB.503643.20,321,2,1,0.383,0.561
TcCLB.503643.3,NA,0,NA,NA,NA
TcCLB.503643.30,284,13,3,0.447,0.363
TcCLB.503643.39,95,6,3,0.484,0.589
TcCLB.503643.6,30,4,3,0.433,0.667
TcCLB.503649.10,1387,51,23,0.515,0.56
TcCLB.503649.20,8,115,104,0.25,0.25
TcCLB.503651.10,54,40,34,0.333,0.352
TcCLB.503651.20,48,7,2,0.312,0.875
TcCLB.503651.30,275,1,1,0.385,0.465
TcCLB.503651.4,NA,0,NA,0.559,0.512
TcCLB.503651.40,151,4,2,0.384,0.536
TcCLB.503651.49,68,6,4,0.397,0.559
TcCLB.503653.104,332,7,2,0.407,0.539
TcCLB.503653.20,18,1,1,0.389,0.667
TcCLB.503653.30,89,15,10,0.472,0.315
TcCLB.503653.50,102,119,75,0.422,0.353
TcCLB.503653.60,11,150,73,0.091,0.091
TcCLB.503653.70,34,93,89,0.353,0.471
TcCLB.503653.9,NA,0,NA,NA,NA
TcCLB.503653.90,60,2,1,0.217,0.45
TcCLB.503659.10,NA,0,NA,0.553,0.424
TcCLB.503659.20,NA,0,NA,0.496,0.548
TcCLB.503659.30,937,238,233,0.46,0.598
TcCLB.503665.10,908,14,4,0.615,0.384
TcCLB.503665.15,NA,0,NA,0.467,0.585
TcCLB.503665.21,188,7,4,0.59,0.367
TcCLB.503665.30,383,10,10,0.548,0.601
TcCLB.503665.40,1765,18,5,0.518,0.524
TcCLB.503667.10,135,1,1,0.4,0.556
TcCLB.503667.20,622,1,1,0.529,0.518
TcCLB.503667.31,778,8,3,0.569,0.542
TcCLB.503667.39,NA,0,NA,0.535,0.494
TcCLB.503669.10,448,11,5,0.429,0.478
