gene_id	gene_name	enc	cai
Tb08.27P2.250	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), frameshift,BAC from homologous region on chr8	45.274	0.565
Tb08.27P2.260	variant surface glycoprotein (VSG, atypical), putative,BAC from homologous region on chr8	51.756	0.61
Tb08.27P2.270	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift,BAC from homologous region on chr8	46.519	0.595
Tb08.27P2.290	variant surface glycoprotein (VSG, atypical), putative,BAC from homologous region on chr8	53.037	0.638
Tb08.27P2.380	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	56.609	0.577
Tb08.27P2.390	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift,BAC from homologous region on chr8	51.951	0.589
Tb08.27P2.400	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate,BAC from homologous region on chr8	42.848	0.542
Tb08.27P2.410	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate, interrupted,BAC from homologous region on chr8	57.947	0.558
Tb08.27P2.460	variant surface glycoprotein (VSG), putative,BAC from homologous region on chr8	49.338	0.591
Tb08.27P2.480	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	49.868	0.631
Tb08.27P2.510	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	54.668	0.63
Tb08.27P2.520	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate,BAC from homologous region on chr8	50.045	0.536
Tb08.27P2.530	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, point mutation,BAC from homologous region on chr8	50.1	0.6
Tb08.27P2.550	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	50.648	0.619
Tb08.27P2.580	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, frameshift,BAC from homologous region on chr8	55.595	0.634
Tb08.27P2.610	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	59.115	0.599
Tb08.27P2.620	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	54.646	0.579
Tb08.27P2.630	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	51.94	0.619
Tb08.27P2.640	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	57.144	0.637
Tb08.27P2.650	variant surface glycoprotein (VSG, pseudogene), putative,BAC from homologous region on chr8	52.726	0.611
Tb08.27P2.670	variant surface glycoprotein (VSG, atypical), putative,BAC from homologous region on chr8	51.684	0.609
Tb08.27P2.680	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	53.62	0.63
Tb08.27P2.690	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	47.982	0.598
Tb08.27P2.70	hypothetical protein,BAC from homologous region on chr8	57.36	0.582
Tb08.27P2.710	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, degenerate,BAC from homologous region on chr8	49.056	0.628
Tb08.27P2.720	variant surface glycoprotein (VSG, pseudogene), putative,BAC from homologous region on chr8	46.598	0.615
Tb08.27P2.80	hypothetical protein,BAC from homologous region on chr8	57.739	0.579
Tb08.27P2.90	hypothetical protein,BAC from homologous region on chr8	57.748	0.546
Tb09.v4.0009	receptor-type adenylate cyclase, putative,adenylyl cyclase, putative,expression site-associated protein (ESAG), putative,expression site-associated gene 4 (ESAG4) protein, putative,chrIX additional, unordered contigs	57.111	0.707
Tb09.v4.0010	variant surface glycoprotein (VSG), pseudogene	56.777	0.65
Tb09.v4.0011	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	47.782	0.552
Tb09.v4.0012	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	50.218	0.545
Tb09.v4.0013	retrotransposon hot spot (RHS) protein, putative,chrIX additional, unordered contigs	55.177	0.582
Tb09.v4.0014	hypothetical protein,chrIX additional, unordered contigs	50.91	0.618
Tb09.v4.0015	hypothetical protein,chrIX additional, unordered contigs	55.446	0.571
Tb09.v4.0016	expression site- associated gene (ESAG) protein, putative,expression site associated gene 5 (ESAG5) protein, putative,chrIX additional, unordered contigs	59.286	0.65
Tb09.v4.0017	rab1 (small gtp-binding protein rab1, putative),chrIX additional, unordered contigs	56.933	0.588
Tb09.v4.0018	expression site-associated gene (ESAG) protein, putative,expression site-associated gene 3 (ESAG3) protein, putative,chrIX additional, unordered contigs	59.182	0.648
Tb09.v4.0023	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	49.736	0.618
Tb09.v4.0026	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	54.007	0.602
Tb09.v4.0030	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	52.168	0.643
Tb09.v4.0031	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	50.895	0.64
Tb09.v4.0034	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.583	0.594
Tb09.v4.0035	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	52.606	0.609
Tb09.v4.0046	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	52.744	0.643
Tb09.v4.0047	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	47.564	0.614
Tb09.v4.0048	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.697	0.616
Tb09.v4.0050	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	51.839	0.629
Tb09.v4.0051	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	50.114	0.618
Tb09.v4.0052	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.251	0.616
Tb09.v4.0053	hypothetical protein,chrIX additional, unordered contigs	48.896	0.618
Tb09.v4.0058	hypothetical protein,chrIX additional, unordered contigs	50.53	0.632
Tb09.v4.0059	hypothetical protein,chrIX additional, unordered contigs	49.777	0.629
Tb09.v4.0060	hypothetical protein,chrIX additional, unordered contigs	41.361	0.573
Tb09.v4.0061	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	47.711	0.588
Tb09.v4.0063	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.847	0.631
Tb09.v4.0064	hypothetical protein,chrIX additional, unordered contigs	51.189	0.561
Tb09.v4.0065	expression site-associated gene 1 (ESAG 1), putative,chrIX additional, unordered contigs	55.813	0.604
Tb09.v4.0067	retrotransposon hot spot protein, pseudogene,chrIX additional, unordered contigs	61.0	0.601
Tb09.v4.0070	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.039	0.655
Tb09.v4.0072	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	49.908	0.611
Tb09.v4.0073	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	54.239	0.64
Tb09.v4.0076	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	58.731	0.611
Tb09.v4.0077	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	52.061	0.618
Tb09.v4.0080	hypothetical protein, conserved,chrIX additional, unordered contigs	47.258	0.499
Tb09.v4.0081	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.609	0.626
Tb09.v4.0082	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	56.1	0.608
Tb09.v4.0084	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.422	0.594
Tb09.v4.0085	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.093	0.622
Tb09.v4.0087	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	52.575	0.608
Tb09.v4.0088	variant surface glycoprotein (VSG),chrIX additional, unordered contigs	51.467	0.621
Tb09.v4.0090	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.389	0.629
Tb09.v4.0092	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.245	0.616
Tb09.v4.0093	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment,chrIX additional, unordered contigs	50.052	0.55
Tb09.v4.0097	hypothetical protein, pseudogene,chrIX additional, unordered contigs	47.808	0.485
Tb09.v4.0100	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), fragment,chrIX additional, unordered contigs	42.754	0.521
Tb09.v4.0101	hypothetical protein, pseudogene,chrIX additional, unordered contigs	51.204	0.498
Tb09.v4.0102	variant surface glycoprotein (VSG, atypical), putative,chrIX additional, unordered contigs	51.788	0.626
Tb09.v4.0103	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	56.791	0.629
Tb09.v4.0104	leucine-rich repeat protein (LRRP, pseudogene), putative,leucine-rich repeat protein 1 (LRRP1), fragment,chrIX additional, unordered contigs	53.085	0.578
Tb09.v4.0105	hypothetical protein,chrIX additional, unordered contigs	52.65	0.572
Tb09.v4.0106	nucleoside transporter 1, putative,chrIX additional, unordered contigs	53.184	0.738
Tb09.v4.0107	expression site-associated gene (ESAG) protein, putative,expression site-associated gene 5 (ESAG5) protein, putative,chrIX additional, unordered contigs	61.0	0.654
Tb09.v4.0109	hypothetical protein,chrIX additional, unordered contigs	57.811	0.578
Tb09.v4.0110	hypothetical protein,chrIX additional, unordered contigs	50.934	0.619
Tb09.v4.0113	variant surface glycoprotein (VSG, atypical), putative,chrIX additional, unordered contigs	53.04	0.605
Tb09.v4.0114	variant surface glycoprotein (VSG, atypical), putative,chrIX additional, unordered contigs	48.881	0.599
Tb09.v4.0116	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	48.864	0.61
Tb09.v4.0118	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.847	0.622
Tb09.v4.0119	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.965	0.626
Tb09.v4.0123	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.938	0.612
Tb09.v4.0125	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.437	0.58
Tb09.v4.0127	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.649	0.618
Tb09.v4.0129	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	55.02	0.642
Tb09.v4.0130	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), fragment,chrIX additional, unordered contigs	42.586	0.536
Tb09.v4.0132	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 2/3 (ESAG2/ESAG3), pseudogene,chrIX additional, unordered contigs	36.208	0.518
Tb09.v4.0134	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.384	0.622
Tb09.v4.0136	variant surface glycoprotein (VSG, atypical), putative,chrIX additional, unordered contigs	53.225	0.647
Tb09.v4.0137	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment,chrIX additional, unordered contigs	52.455	0.603
Tb09.v4.0138	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.497	0.626
Tb09.v4.0141	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.573	0.622
Tb09.v4.0142	variant surface glycoprotein,chrIX additional, unordered contigs	53.432	0.619
Tb09.v4.0145	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	52.888	0.59
Tb09.v4.0146	hypothetical protein,chrIX additional, unordered contigs	48.951	0.632
Tb09.v4.0147	hypothetical protein,chrIX additional, unordered contigs	49.599	0.634
Tb09.v4.0148	hypothetical protein,chrIX additional, unordered contigs	49.963	0.631
Tb09.v4.0149	hypothetical protein,chrIX additional, unordered contigs	50.688	0.634
Tb09.v4.0150	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.459	0.572
Tb09.v4.0151	hypothetical protein,chrIX additional, unordered contigs	56.734	0.574
Tb09.v4.0153	hypothetical protein,chrIX additional, unordered contigs	55.762	0.601
Tb09.v4.0157	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.483	0.601
Tb09.v4.0160	expression site-associated gene 3 (ESAG3, pseudogene), putative,expression site-associated gene 3 (ESAG3), degenerate,chrIX additional, unordered contigs	42.05	0.535
Tb09.v4.0161	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	49.215	0.628
Tb09.v4.0166	variant surface glycoprotein (VSG, atypical), putative,chrIX additional, unordered contigs	55.461	0.604
Tb09.v4.0167	hypothetical protein, pseudogene,chrIX additional, unordered contigs	46.696	0.536
Tb09.v4.0168	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	47.773	0.611
Tb09.v4.0170	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.82	0.614
Tb09.v4.0171	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	55.633	0.62
Tb09.v4.0172	expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), pseudogene,chrIX additional, unordered contigs	48.358	0.526
Tb09.v4.0174	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.397	0.65
Tb09.v4.0175	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.489	0.602
Tb09.v4.0176	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein, fragment,chrIX additional, unordered contigs	57.583	0.586
Tb09.v4.0177	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	51.57	0.619
Tb09.v4.0178	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.073	0.611
Tb09.v4.0182	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.392	0.644
Tb09.v4.0183	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.358	0.584
Tb09.v4.0184	variant surface glycoprotein (VSG, pseudogene), putative	52.515	0.583
Tb09.v4.0185	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	52.613	0.642
Tb09.v4.0186	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	50.585	0.61
Tb09.v4.0187	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	53.29	0.594
Tb09.v4.0191	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	51.156	0.582
Tb09.v4.0192	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	48.154	0.585
Tb09.v4.0194	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.995	0.612
Tb09.v4.0195	variant surface glycoprotein (VSG, pseudogene), putative	55.62	0.616
Tb09.v4.0197	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	51.849	0.618
Tb09.v4.0199	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	55.629	0.585
Tb09.v4.0202	variant surface glycoprotein (VSG), putative,chrIX additional, unordered contigs	49.592	0.632
Tb09.v4.0203	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	54.692	0.635
Tb09.v4.0204	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	58.629	0.638
Tb09.v4.0205	variant surface glycoprotein (VSG, pseudogene), putative,chrIX additional, unordered contigs	47.463	0.609
Tb10.v4.0032	expression site associated gene (ESAG) protein, putative,expression site- associated gene 3 (ESAG3) protein, putative,chrX additional, unordered contigs	59.573	0.597
Tb10.v4.0033	pumillo RNA binding protein PUF1,chrX additional, unordered contigs (PUF1)	55.322	0.686
Tb10.v4.0034	hypothetical protein, conserved,chrX additional, unordered contigs	61.0	0.627
Tb10.v4.0035	stress-inducible protein STI1-like, putative,chrX additional, unordered contigs	52.89	0.71
Tb10.v4.0036	leucine carboxyl methyltransferase, putative,chrX additional, unordered contigs	59.523	0.675
Tb10.v4.0037	hypothetical protein, conserved,chrX additional, unordered contigs	58.932	0.689
Tb10.v4.0038	DNA damage repair protein, putative,chrX additional, unordered contigs	57.701	0.676
Tb10.v4.0039	hypothetical protein, conserved,chrX additional, unordered contigs	59.66	0.637
Tb10.v4.0040	mRNA capping methyltransferase, putative,chrX additional, unordered contigs	61.0	0.662
Tb10.v4.0041	hypothetical protein, conserved,chrX additional, unordered contigs	61.0	0.645
Tb10.v4.0042	hypothetical protein,chrX additional, unordered contigs	51.7	0.555
Tb10.v4.0043	branched-chain alpha-keto acid dehydrogenase e1-beta subunit precursor, putative,chrX additional, unordered contigs	56.661	0.703
Tb10.v4.0044	hypothetical protein, conserved,chrX additional, unordered contigs	58.538	0.619
Tb10.v4.0045	prohibitin, putative,chrX additional, unordered contigs	56.872	0.708
Tb10.v4.0046	transporter, putative,chrX additional, unordered contigs	60.002	0.695
Tb10.v4.0052	microtubule-associated protein 2,chrX additional, unordered contigs	36.79	0.723
Tb10.v4.0054	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.03	0.61
Tb10.v4.0056	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	56.348	0.62
Tb10.v4.0058	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	53.234	0.636
Tb10.v4.0062	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	55.671	0.621
Tb10.v4.0063	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	52.537	0.598
Tb10.v4.0065	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.779	0.593
Tb10.v4.0067	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	53.221	0.614
Tb10.v4.0070	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.16	0.637
Tb10.v4.0071	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	50.119	0.597
Tb10.v4.0075	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	48.027	0.642
Tb10.v4.0076	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	53.534	0.614
Tb10.v4.0077	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	58.881	0.612
Tb10.v4.0080	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	47.486	0.61
Tb10.v4.0081	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	50.565	0.629
Tb10.v4.0082	hypothetical protein,chrX additional, unordered contig	57.405	0.585
Tb10.v4.0088	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	55.727	0.632
Tb10.v4.0089	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	54.528	0.629
Tb10.v4.0094	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	55.57	0.62
Tb10.v4.0095	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.133	0.642
Tb10.v4.0096	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	51.541	0.634
Tb10.v4.0100	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	51.134	0.627
Tb10.v4.0104	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	45.261	0.642
Tb10.v4.0107	variant surface glycoprotein (VSG, atypical), putative,chrX additional, unordered contig	51.668	0.612
Tb10.v4.0109	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	53.862	0.607
Tb10.v4.0112	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), point mutated and frameshifted pseudogene	56.45	0.601
Tb10.v4.0116	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), framesghifted and point mutated pseudogene	52.873	0.601
Tb10.v4.0117	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	54.94	0.615
Tb10.v4.0118	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	52.442	0.625
Tb10.v4.0119	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	50.69	0.605
Tb10.v4.0120	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	53.963	0.61
Tb10.v4.0122	variant surface glycoprotein (VSG, atypical), putative,chrX additional, unordered contig	48.49	0.588
Tb10.v4.0126	variant surface glycoprotein (VSG, pseudogene), putative /product=,chrX additional, unordered contigs	51.065	0.557
Tb10.v4.0128	hypothetical protein,chrX additional, unordered contig	55.385	0.597
Tb10.v4.0132	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	53.29	0.61
Tb10.v4.0134	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	55.747	0.619
Tb10.v4.0135	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.674	0.598
Tb10.v4.0139	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.268	0.61
Tb10.v4.0142	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	53.076	0.623
Tb10.v4.0145	variant surface glycoprotein (VSG, atypical), putative,chrX additional, unordered contig	54.18	0.65
Tb10.v4.0146	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), frameshifted and point mutated pseudogene	52.6	0.607
Tb10.v4.0149	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), degenerated and frameshifted pseudogene	53.468	0.579
Tb10.v4.0150	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	52.344	0.593
Tb10.v4.0151	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), degenerate and frameshifted pseudogene	58.151	0.579
Tb10.v4.0152	variant surface glycoprotein (VSG, atypical), putative,chrX additional, unordered contig	51.377	0.636
Tb10.v4.0153	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	49.218	0.599
Tb10.v4.0154	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	49.512	0.588
Tb10.v4.0158	variant surface glycoprotein (VSG, pseudogene), putative,variant surface glycoprotein (pseudogene), fragment,chrX additional, unordered contig	56.833	0.574
Tb10.v4.0160	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig	52.426	0.62
Tb10.v4.0161	variant surface glycoprotein (VSG, pseudogene), putative,chrX additional, unordered contig,variant surface glycoprotein (VSG), point mutated pseudogene	55.788	0.62
Tb10.v4.0163	variant surface glycoprotein (VSG), putative,chrX additional, unordered contig	50.279	0.633
