gene_id	gene_name	enc	cai
LmjF.01.0540	hypothetical protein, conserved	40.528	0.497
LmjF.01.0550	hypothetical protein, conserved	44.3	0.469
LmjF.01.0560	hypothetical protein, conserved	40.138	0.551
LmjF.01.0570	tricarboxylate carrier, putative	35.749	0.629
LmjF.01.0580	hypothetical protein, conserved	37.09	0.582
LmjF.01.0590	KREL1	31.125	0.723
LmjF.01.0600	hypothetical protein, conserved	42.487	0.505
LmjF.01.0610	DNA-damage inducible protein DDI1-like protein	44.489	0.525
LmjF.01.0620	hypothetical protein, conserved	38.919	0.552
LmjF.01.0630	hypothetical protein, unknown function	42.62	0.433
LmjF.01.0640	HSP70-like protein	41.095	0.498
LmjF.01.0650	mitochondrial processing peptide beta subunit, putative	34.186	0.679
LmjF.01.0660	hypothetical protein, conserved	42.178	0.49
LmjF.01.0670	hypothetical protein, conserved	38.355	0.579
LmjF.01.0680	hypothetical protein, unknown function	46.515	0.453
LmjF.01.0690	hypothetical protein, unknown function	36.762	0.614
LmjF.01.0700	hypothetical protein, unknown function	43.874	0.458
LmjF.01.0710	ubiquitin activating enzyme, putative	39.428	0.542
LmjF.01.0720	hypothetical protein, conserved	43.793	0.479
LmjF.01.0730	hypothetical protein, conserved	41.146	0.513
LmjF.01.0740	hypothetical protein, conserved	39.371	0.556
LmjF.01.0750	protein kinase, putative	41.672	0.5
LmjF.01.0760	hypothetical protein, conserved	41.957	0.502
LmjF.01.0770	eukaryotic initiation factor 4a, putative	29.923	0.799
LmjF.01.0780	eukaryotic initiation factor 4a, putative	29.923	0.799
LmjF.01.0790	hypothetical protein, conserved	47.677	0.425
LmjF.01.0800	hypothetical protein, conserved	45.711	0.444
LmjF.01.0810	calcium/potassium channel (CAKC), putative	35.128	0.632
LmjF.01.0820	potassium channel subunit-like protein	33.656	0.639
LmjF.01.0830	metallo-peptidase, Clan MA(E), Family M3	39.837	0.58
LmjF.02.0010	phosphoglycan beta 1,3 galactosyltransferase 3 (SCG3)	50.059	0.409
LmjF.02.0030	tagatose-6-phosphate kinase-like protein	45.949	0.476
LmjF.02.0040	metallo-peptidase, Clan MG, Family M24	40.7	0.565
LmjF.02.0050	cytochrome b-domain protein, putative	43.743	0.542
LmjF.02.0070	hypothetical protein, conserved	45.657	0.462
LmjF.02.0080	hypothetical protein, conserved	49.975	0.434
LmjF.02.0085	hypothetical protein, conserved	52.468	0.352
LmjF.02.0090	hypothetical protein, conserved	46.584	0.441
LmjF.02.0100	hypothetical protein, conserved (pseudogene)	44.528	0.489
LmjF.02.0110	exportin T (tRNA exportin)-like protein	42.208	0.519
LmjF.02.0120	phosphatidylinositol kinase related protein, putative	45.745	0.447
LmjF.02.0130	hypothetical protein, conserved	41.404	0.53
LmjF.02.0140	hypothetical protein, conserved	44.074	0.499
LmjF.02.0150	hypothetical protein, conserved	47.892	0.442
LmjF.02.0160	phosphoglycan beta 1,3 galactosyltransferase (SCGR6)	38.923	0.557
LmjF.02.0170	phosphoglycan beta 1,3 galactosyltransferase (SCGR5)	40.545	0.521
LmjF.02.0180	phosphoglycan beta 1,2 arabinosyltransferase (SCA2)	44.793	0.469
LmjF.02.0190	phosphoglycan beta 1,3 galactosyltransferase (SCGR4)	48.461	0.416
LmjF.02.0200	phosphoglycan beta 1,3 galactosyltransferase (SCGR3)	41.555	0.484
LmjF.02.0210	phosphoglycan beta 1,3 galactosyltransferase (SCGR2)	40.067	0.515
LmjF.02.0220	phosphoglycan beta 1,2 arabinosyltransferase (SCA1)	44.792	0.469
LmjF.02.0230	phosphoglycan beta 1,3 galactosyltransferase (SCGR1)	46.275	0.436
LmjF.02.0240	hypothetical protein, conserved	41.524	0.516
LmjF.02.0250	hypothetical protein, conserved	43.456	0.485
LmjF.02.0260	small GTP binding protein rab6-like protein	43.226	0.532
LmjF.02.0290	protein kinase, putative	43.137	0.514
LmjF.02.0300	ATP-binding cassette subfamily A, member 1, putative (ABCA1)	41.185	0.528
LmjF.02.0310	hypothetical protein, conserved	44.722	0.514
LmjF.02.0320	ribosomal RNA processing protein, putative	44.39	0.555
LmjF.02.0330	glycosyl transferase, putative	43.919	0.476
LmjF.02.0340	hypothetical protein, conserved	46.077	0.432
LmjF.02.0350	hypothetical protein, conserved	48.083	0.427
LmjF.02.0360	casein kinase II, alpha chain, putative	37.644	0.577
LmjF.02.0370	proteasome regulatory non-ATPase subunit 6, putative	34.416	0.676
LmjF.02.0380	FtsJ-like methyltransferase, putative	41.428	0.546
LmjF.02.0410	RNA-editing complex protein MP81, putative	45.88	0.479
LmjF.02.0420	hypothetical protein, conserved	40.894	0.534
LmjF.02.0430	serine peptidase, Clan S-, family S54, putative	42.235	0.51
LmjF.02.0440	amino acid permease, putative (AAT18)	48.041	0.422
LmjF.02.0450	voltage-dependent anion-selective channel, putative	35.676	0.647
LmjF.02.0460	voltage-dependent anion-selective channel, putative	41.582	0.634
LmjF.02.0470	hypothetical protein, unknown function	48.398	0.436
LmjF.02.0480	hypothetical protein, conserved	41.408	0.515
LmjF.02.0490	hypothetical protein, conserved	46.135	0.415
LmjF.02.0500	glycerate kinase, putative	44.739	0.447
LmjF.02.0520	hypothetical protein, conserved	46.211	0.447
LmjF.02.0530	hypothetical protein, conserved	49.17	0.435
LmjF.02.0540	hypothetical protein, conserved	45.692	0.504
LmjF.02.0560	hypothetical protein, unknown function	47.975	0.443
LmjF.02.0570	protein kinase, putative	53.866	0.349
LmjF.02.0580	hypothetical protein, conserved	45.634	0.459
LmjF.02.0590	hypothetical protein, conserved	44.736	0.486
LmjF.02.0600	ARP2/3 complex subunit, putative	43.63	0.492
LmjF.02.0610	hypothetical protein, conserved	45.777	0.482
LmjF.02.0620	hypothetical protein, conserved	47.02	0.476
LmjF.02.0630	gamma-glutamyl phosphate reductase-like protein	44.235	0.486
LmjF.02.0640	hypothetical protein, unknown function	46.381	0.464
LmjF.02.0650	hypothetical protein, conserved	42.785	0.486
LmjF.02.0660	hypothetical protein, conserved	41.831	0.513
LmjF.02.0670	mitochondrial carrier protein, putative	35.427	0.686
LmjF.02.0680	hypothetical protein, conserved	42.055	0.506
LmjF.02.0690	hypothetical protein, conserved	50.135	0.471
LmjF.02.0700	hypothetical protein, conserved	41.514	0.521
LmjF.02.0710	ATP-dependent Clp protease subunit, heat shock protein 78 (HSP78), putative	37.101	0.623
LmjF.02.0740	dipeptylcarboxypeptidase, putative (DCP)	38.645	0.59
LmjF.03.0010	hypothetical protein	53.026	0.362
LmjF.03.0020	hypothetical protein, conserved	52.601	0.303
LmjF.03.0030	D-3-phosphoglycerate dehydrogenase-like protein	55.349	0.363
LmjF.03.0040	2-aminoethylphosphonate:pyruvateaminotransferas e-like protein	46.69	0.435
LmjF.03.0060	hypothetical protein, conserved	43.874	0.492
LmjF.03.0070	hypothetical protein, conserved	42.51	0.504
LmjF.03.0080	glycerol-3-phosphate acyl transferase (GAT)	40.007	0.547
LmjF.03.0090	DNA primase large subunit, putative	44.413	0.516
LmjF.03.0110	hypothetical protein, conserved	47.75	0.426
LmjF.03.0120	hypothetical protein, conserved	50.116	0.406
LmjF.03.0150	hypothetical protein, conserved	36.078	0.632
LmjF.03.0160	ATP-binding cassette protein subfamily F, member 1, putative (ABCF1)	35.563	0.648
LmjF.03.0180	hypothetical protein, conserved	52.039	0.431
LmjF.03.0190	U2 splicing auxiliary factor, putative	35.418	0.618
LmjF.03.0200	delta-1-pyrroline-5-carboxylate dehydrogenase, putative	34.436	0.671
LmjF.03.0210	protein kinase, putative	34.98	0.606
LmjF.03.0220	hypothetical protein, conserved	37.265	0.604
LmjF.03.0230	long chain fatty Acyl CoA synthetase, putative	36.705	0.59
LmjF.03.0260	hypothetical protein, conserved	41.317	0.495
LmjF.03.0270	hypothetical protein	37.985	0.572
LmjF.03.0280	hypothetical protein	49.635	0.413
LmjF.03.0310	hypothetical protein	46.899	0.447
LmjF.03.0320	hypothetical protein, conserved	41.462	0.498
LmjF.03.0330	hypothetical protein, conserved	46.093	0.446
LmjF.03.0340	hypothetical protein, conserved	48.166	0.47
LmjF.03.0350	protein kinase, putative	43.019	0.483
LmjF.03.0360	hypothetical protein	49.341	0.408
LmjF.03.0370	hypothetical protein, conserved	38.829	0.587
LmjF.03.0380	hypothetical protein, conserved	40.751	0.538
LmjF.03.0390	hypothetical protein, conserved	49.553	0.404
LmjF.03.0400	hypothetical protein, conserved	41.499	0.589
LmjF.03.0410	MFS transporter, putative	34.169	0.656
LmjF.03.0420	PTP1-interacting protein, 39 kDa, putative	46.319	0.435
LmjF.03.0450	TLD domain protein, conserved	44.198	0.466
LmjF.03.0460	hypothetical protein	48.353	0.463
LmjF.03.0470	hypothetical protein, conserved	44.487	0.471
LmjF.03.0480	hypothetical protein, conserved	38.064	0.574
LmjF.03.0490	hypothetical protein, conserved	46.969	0.446
LmjF.03.0500	phosphate-Repressible Phosphate Permease-like protein	34.722	0.664
LmjF.03.0510	hypothetical protein, conserved	44.722	0.46
LmjF.03.0520	hypothetical protein, conserved	39.136	0.556
LmjF.03.0530	hypothetical protein, conserved	41.55	0.508
LmjF.03.0540	26S protease regulatory subunit, putative	34.81	0.648
LmjF.03.0550	hypothetical protein, conserved	44.712	0.463
LmjF.03.0560	hypothetical protein	48.389	0.427
LmjF.03.0570	quinone oxidoreductase, putative	33.693	0.648
LmjF.03.0590	DNA repair helicase, putative	45.848	0.451
LmjF.03.0600	arginine N-methyltransferase, putative	33.465	0.675
LmjF.03.0610	kinase-like protein	38.1	0.603
LmjF.03.0620	MP99, putative	41.211	0.512
LmjF.03.0630	hypothetical protein, conserved	41.523	0.514
LmjF.03.0640	hypothetical protein, conserved	40.038	0.571
LmjF.03.0650	hypothetical protein	43.181	0.521
LmjF.03.0660	hypothetical protein, conserved	41.152	0.547
LmjF.03.0670	hypothetical protein, conserved	42.759	0.472
LmjF.03.0680	hypothetical protein	44.293	0.489
LmjF.03.0690	hypothetical protein, conserved	33.074	0.687
LmjF.03.0700	hypothetical protein, conserved	43.428	0.49
LmjF.03.0710	hypothetical protein, conserved	35.393	0.664
LmjF.03.0720	hypothetical protein, conserved	44.113	0.478
LmjF.03.0730	hypothetical protein, conserved	46.763	0.48
LmjF.03.0750	hypothetical protein, conserved	42.501	0.505
LmjF.03.0760	hypothetical protein, conserved	39.753	0.549
LmjF.03.0770	hypothetical protein, conserved	37.311	0.572
LmjF.03.0780	serine/threonine-protein kinase, putative	43.14	0.503
LmjF.03.0790	hypothetical protein, conserved	45.039	0.454
LmjF.03.0800	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative	43.261	0.499
LmjF.03.0810	hypothetical protein	42.307	0.49
LmjF.03.0820	hypothetical protein, conserved	48.487	0.402
LmjF.03.0830	hypothetical protein, conserved	38.637	0.576
LmjF.03.0840	hypothetical protein, conserved	39.497	0.563
LmjF.03.0850	hypothetical protein, conserved	45.099	0.45
LmjF.03.0860	hypothetical protein, conserved	43.36	0.472
LmjF.03.0870	hypothetical protein, conserved	42.65	0.474
LmjF.03.0880	hypothetical protein, conserved	42.325	0.493
LmjF.03.0890	hypothetical protein, conserved	40.243	0.528
LmjF.03.0900	peter pan protein, putative	35.524	0.599
LmjF.03.0910	inorganic pyrophosphatase, putative	42.885	0.591
LmjF.03.0920	hypothetical protein, conserved	40.788	0.565
LmjF.03.0930	hypothetical protein	36.53	0.604
LmjF.03.0940	hypothetical protein, conserved	46.429	0.411
LmjF.03.0950	hypothetical protein, conserved	47.238	0.46
LmjF.03.0970	hypothetical protein, conserved	56.72	0.335
LmjF.03.0980	eukaryotic initiation factor 2a, putative	45.458	0.457
LmjF.04.0010	calcium-translocating P-type ATPase	51.248	0.408
LmjF.04.0020	pteridine transporter (truncated), putative	41.87	0.538
LmjF.04.0030	cAMP-specific phosphodiesterase, putative	50.197	0.437
LmjF.04.0040	hypothetical protein	46.274	0.491
LmjF.04.0050	hypothetical protein, conserved	42.258	0.492
LmjF.04.0060	DNA topoisomerase type IB small subunit	43.436	0.506
LmjF.04.0070	hypothetical protein, conserved	53.418	0.458
LmjF.04.0090	hypothetical protein, conserved	50.239	0.414
LmjF.04.0100	hypothetical protein, conserved	50.05	0.432
LmjF.04.0110	hypothetical protein, conserved	50.695	0.375
LmjF.04.0120	exosome complex exonuclease RRP40, putative	45.832	0.46
LmjF.04.0127	hypothetical protein, conserved	54.16	0.322
LmjF.04.0130	hypothetical protein, conserved in leishmania	30.665	0.711
LmjF.04.0140	hypothetical protein, conserved in leishmania	30.661	0.711
LmjF.04.0150	hypothetical protein, conserved in leishmania	30.731	0.709
LmjF.04.0160	hypothetical protein, conserved in leishmania	30.731	0.709
LmjF.04.0170	hypothetical protein, conserved in leishmania	30.666	0.71
LmjF.04.0180	surface antigen-like protein	42.531	0.556
LmjF.04.0190	surface antigen-like protein	39.205	0.586
LmjF.04.0210	surface antigen-like protein	37.327	0.6
LmjF.04.0220	hypothetical protein	42.386	0.525
LmjF.04.0230	hypothetical protein, conserved	47.136	0.468
LmjF.04.0240	hypothetical protein, conserved	43.165	0.522
LmjF.04.0250	RNA pseudouridylate synthase-like protein	43.885	0.462
LmjF.04.0260	hypothetical protein, conserved	43.589	0.469
LmjF.04.0270	hypothetical protein, conserved	40.018	0.564
LmjF.04.0280	adenosine monophosphate deaminase, putative	40.988	0.541
LmjF.04.0290	hypothetical protein, conserved	37.243	0.6
LmjF.04.0300	hypothetical protein, conserved	37.589	0.479
LmjF.04.0310	beta-fructofuranosidase, putative	28.152	0.748
LmjF.04.0320	beta-fructofuranosidase, putative	28.208	0.707
LmjF.04.0330	mitochondrial exoribonuclease DSS-1, putative	42.787	0.496
LmjF.04.0350	hypothetical protein, conserved	44.936	0.477
LmjF.04.0370	hypothetical protein, conserved	45.836	0.49
LmjF.04.0380	hypothetical protein, conserved	38.367	0.544
LmjF.04.0390	hypothetical protein	43.049	0.505
LmjF.04.0400	anaphase promoting complex, subunit 10-like protein	42.784	0.492
LmjF.04.0410	hypothetical protein, conserved	49.492	0.417
LmjF.04.0420	hypothetical protein, conserved	36.247	0.62
LmjF.04.0430	hypothetical protein, conserved	39.61	0.559
LmjF.04.0440	serine/threonine protein kinase-like protein	44.646	0.479
LmjF.04.0450	cysteine peptidase, Clan CA, family C2, putative	34.001	0.691
LmjF.04.0460	adenylosuccinate lyase, putative (ASL)	36.973	0.602
LmjF.04.0490	hypothetical protein, conserved	39.687	0.604
LmjF.04.0500	hypothetical protein, conserved	46.696	0.464
LmjF.04.0510	hypothetical protein	48.926	0.423
LmjF.04.0520	palmitoyl acyltransferase 1, putative	44.343	0.502
LmjF.04.0530	hypothetical protein, conserved	46.786	0.449
LmjF.04.0540	hypothetical protein, conserved	46.129	0.449
LmjF.04.0550	hypothetical protein, conserved	38.43	0.56
LmjF.04.0560	tyrosine phosphatase, putative	42.712	0.539
LmjF.04.0570	hypothetical protein, conserved	45.645	0.467
LmjF.04.0580	spermidine synthase	38.811	0.604
LmjF.04.0590	hypothetical protein	40.023	0.512
LmjF.04.0600	hypothetical protein	47.11	0.439
LmjF.04.0620	hypothetical protein	51.729	0.391
LmjF.04.0625	hypothetical protein	58.073	0.258
LmjF.04.0630	hypothetical protein, conserved	44.668	0.562
LmjF.04.0640	hypothetical protein	46.739	0.473
LmjF.04.0650	serine-threonine protein kinase-like protein	44.532	0.473
LmjF.04.0690	hypothetical protein	42.554	0.485
LmjF.04.0700	hypothetical protein, conserved	50.078	0.403
LmjF.04.0710	hypothetical protein, conserved	41.049	0.526
LmjF.04.0720	hypothetical protein	47.96	0.455
LmjF.04.0730	hypothetical protein, conserved	46.923	0.427
LmjF.04.0740	hypothetical protein, conserved	45.322	0.445
LmjF.04.0750	60S ribosomal protein L10, putative	28.517	0.794
LmjF.04.0760	nascent polypeptide associated complex subunit- like protein, copy 2	35.916	0.599
LmjF.04.0780	heat shock protein, putative	42.574	0.527
LmjF.04.0790	hypothetical protein, conserved	44.244	0.463
LmjF.04.0800	hypothetical protein, conserved	39.857	0.546
LmjF.04.0810	hypothetical protein, conserved	35.207	0.636
LmjF.04.0820	peptide deformylase, putative (EMBL:AY353252) (metalloprotease-like protein)	42.994	0.508
LmjF.04.0830	hypothetical protein, conserved	45.365	0.463
LmjF.04.0840	tyrosine phospatase-like protein	47.196	0.444
LmjF.04.0850	serine peptidase, Clan S-, family S54, putative	37.868	0.612
LmjF.04.0860	hypothetical protein, conserved	47.974	0.418
LmjF.04.0870	hypothetical protein	45.225	0.461
LmjF.04.0890	hypothetical protein, conserved	41.274	0.503
LmjF.04.0900	hypothetical protein	43.594	0.476
LmjF.04.0910	hypothetical protein, conserved	47.557	0.45
LmjF.04.0920	hypothetical protein	40.856	0.513
LmjF.04.0930	hypothetical protein, conserved	52.383	0.372
LmjF.04.0940	chaperone protein DNAj, putative	36.268	0.624
LmjF.04.0950	60S ribosomal protein L10, putative	28.345	0.789
LmjF.04.0960	adenylate kinase, putative	36.271	0.636
LmjF.04.0970	hypothetical protein, conserved	49.954	0.406
LmjF.04.0975	hypothetical protein	47.855	0.41
LmjF.04.0980	hypothetical protein, conserved	42.81	0.491
LmjF.04.0990	hypothetical protein, conserved	46.59	0.486
LmjF.04.1000	chloride channel protein, putative	39.64	0.554
LmjF.04.1010	hypothetical protein, conserved	39.261	0.518
LmjF.04.1020	hypothetical protein, conserved	44.782	0.361
LmjF.04.1040	acyltransferase-like protein, copy 1	41.006	0.538
LmjF.04.1050	acyltransferase-like protein, copy 2	38.064	0.559
LmjF.04.1060	hypothetical protein	50.658	0.42
LmjF.04.1080	hypothetical protein, conserved	42.519	0.524
LmjF.04.1090	hypothetical protein, conserved	45.91	0.459
LmjF.04.1100	hypothetical protein, conserved	53.571	0.365
LmjF.04.1110	proton motive ATPase, putative	44.328	0.466
LmjF.04.1120	hypothetical protein, conserved	45.771	0.455
LmjF.04.1130	cytochrome c oxidase assembly factor, putative	39.192	0.602
LmjF.04.1140	hypothetical protein	44.712	0.469
LmjF.04.1170	RNA-binding protein, putative	40.388	0.588
LmjF.04.1180	hypothetical protein, conserved	49.24	0.421
LmjF.04.1190	tRNA nucleotidyltransferase, putative	48.252	0.436
LmjF.04.1210	casein kinase I, putative	44.12	0.55
LmjF.04.1220	hypothetical protein, conserved	46.541	0.443
LmjF.04.1230	actin (ACT)	33.543	0.693
LmjF.05.0010	hypothetical protein, conserved	55.492	0.334
LmjF.05.0040	paraflagellar rod component par4, putative	47.031	0.415
LmjF.05.0050	hypothetical protein, conserved	48.179	0.416
LmjF.05.0060	major vault protein, putative	43.594	0.506
LmjF.05.0080	hypothetical protein, conserved	50.045	0.437
LmjF.05.0100	phosphoprotein phosphatase, putative	37.124	0.601
LmjF.05.0120	hypothetical protein, conserved	45.638	0.473
LmjF.05.0130	protein kinase, putative	42.276	0.513
LmjF.05.0140	nucleolar RNA helicase II, putative	36.484	0.632
LmjF.05.0150	hypothetical protein, conserved	40.207	0.542
LmjF.05.0160	hypothetical protein, unknown function	47.692	0.431
LmjF.05.0170	hypothetical protein, conserved	49.67	0.407
LmjF.05.0180	dihydrolipoamide branched chain transacylase, putative	39.742	0.57
LmjF.05.0190	hypothetical protein, conserved	47.036	0.491
LmjF.05.0200	hypothetical protein, conserved	38.312	0.601
LmjF.05.0210	hypothetical protein, conserved	45.505	0.452
LmjF.05.0220	dual specificity phosphatase-like protein	42.553	0.507
LmjF.05.0230	hydrogenase, putative	47.953	0.464
LmjF.05.0240	viscerotropic leishmaniasis antigen, putative	40.663	0.54
LmjF.05.0260	hypothetical protein, conserved	43.629	0.488
LmjF.05.0270	hypothetical protein, conserved	41.52	0.518
LmjF.05.0280	protein tyrosine phosphatase, putative	37.051	0.641
LmjF.05.0290	phosphate carrier protein, mitochondrial precursor-like protein	40.907	0.512
LmjF.05.0300	hypothetical protein, conserved	48.252	0.424
LmjF.05.0330	DNA replication licensing factor MCM8, putative	41.951	0.51
LmjF.05.0340	hypothetical protein, conserved	36.691	0.551
LmjF.05.0350	trypanothione reductase (TRYR)	33.795	0.644
LmjF.05.0360	ATP-dependent RNA helicase, putative	43.134	0.466
LmjF.05.0370	hypothetical protein, conserved	41.979	0.53
LmjF.05.0380	microtubule-associated protein, putative	37.474	0.683
LmjF.05.0390	protein kinase, putative	39.416	0.581
LmjF.05.0400	structural maintenance of chromosome (SMC), putative	38.382	0.585
LmjF.05.0410	hypothetical protein, conserved	40.897	0.518
LmjF.05.0430	hypothetical protein, conserved	42.8	0.517
LmjF.05.0440	hypothetical protein, conserved	44.453	0.497
LmjF.05.0460	GTPase, putative	49.511	0.417
LmjF.05.0470	hypothetical protein, unknown function	55.382	0.324
LmjF.05.0480	monocarboxylate transporter-like protein	39.49	0.574
LmjF.05.0490	hypothetical protein, conserved	44.02	0.458
LmjF.05.0500	ATPase alpha subunit	25.641	0.844
LmjF.05.0510	ATPase alpha subunit	25.641	0.844
LmjF.05.0520	nuclear receptor binding factor-like protein	38.638	0.59
LmjF.05.0530	kinetoplast-associated protein-like protein	47.858	0.418
LmjF.05.0550	cdc2-related kinase, putative	39.887	0.562
LmjF.05.0560	hypothetical protein, conserved	42.083	0.501
LmjF.05.0570	hypothetical protein, conserved	37.837	0.59
LmjF.05.0580	hypothetical protein, conserved	43.838	0.543
LmjF.05.0590	ATP-dependent RNA helicase, putative	43.332	0.499
LmjF.05.0600	hypothetical protein, conserved	38.533	0.596
LmjF.05.0610	hypothetical protein, conserved	42.99	0.494
LmjF.05.0620	hypothetical protein, conserved	48.595	0.421
LmjF.05.0630	kinesin, putative	40.885	0.528
LmjF.05.0640	hypothetical protein, conserved	42.306	0.504
LmjF.05.0650	hypothetical protein, conserved	41.984	0.51
LmjF.05.0660	nitroreductase-like protein	38.936	0.548
LmjF.05.0670	hypothetical protein, conserved	47.537	0.424
LmjF.05.0680	sre-2/carboxylate carrier-like protein	37.085	0.616
LmjF.05.0690	hypothetical protein, conserved	45.821	0.468
LmjF.05.0700	hypothetical protein, conserved	46.265	0.448
LmjF.05.0710	CYC2-like cyclin, putative	40.986	0.539
LmjF.05.0720	phophatase-like protein	44.661	0.482
LmjF.05.0730	hypothetical protein, conserved	42.902	0.478
LmjF.05.0740	hypothetical protein, conserved	39.547	0.548
LmjF.05.0750	hypothetical protein, conserved	37.467	0.621
LmjF.05.0760	kinesin-like protein	44.34	0.485
LmjF.05.0770	hypothetical protein, unknown function	47.809	0.424
LmjF.05.0790	hypothetical protein, conserved	42.496	0.514
LmjF.05.0800	MYND zinc finger (ZnF) domain-like protein	39.651	0.555
LmjF.05.0820	hypothetical protein, conserved	41.673	0.534
LmjF.05.0830	methylthioadenosine phosphorylase, putative	31.956	0.741
LmjF.05.0840	hypothetical protein, unknown function	46.066	0.457
LmjF.05.0850	hypothetical protein, conserved	44.179	0.491
LmjF.05.0870	hypothetical protein, conserved	47.233	0.428
LmjF.05.0880	hypothetical protein, conserved	39.57	0.525
LmjF.05.0890	hypothetical protein, conserved	38.431	0.571
LmjF.05.0900	surface antigen-like protein	37.289	0.661
LmjF.05.0910	hypothetical protein, conserved	42.115	0.491
LmjF.05.0920	paraflagellar rod protein, putative	45.664	0.468
LmjF.05.0930	ubiquitin-conjugating enzyme, putative	42.239	0.483
LmjF.05.0940	hypothetical protein, conserved	48.263	0.431
LmjF.05.0950	glutaminyl cyclase, putative	43.322	0.471
LmjF.05.0960	metallo-peptidase, Clan M-, Family M49	33.515	0.682
LmjF.05.0970	3-mercaptopyruvate sulfurtransferase (MST)	37.9	0.598
LmjF.05.0980	NADH-ubiquinone oxidoreductase, mitochondrial, putative	33.631	0.679
LmjF.05.1010	methyltransferase-like protein	40.188	0.533
LmjF.05.1020	hypothetical protein, conserved	45.851	0.478
LmjF.05.1040	stomatin-like protein	51.311	0.384
LmjF.05.1050	hypothetical protein, unknown function	55.58	0.355
LmjF.05.1060	ATPase, putative	50.193	0.417
LmjF.05.1070	hypothetical protein, conserved	41.286	0.519
LmjF.05.1080	hypothetical protein, conserved	35.397	0.621
LmjF.05.1090	double-strand-break repair protein rad21 homolog, putative	41.83	0.55
LmjF.05.1100	hypothetical protein, conserved	37.802	0.598
LmjF.05.1110	hypothetical protein, conserved	39.288	0.582
LmjF.05.1130	hypothetical protein, conserved	37.239	0.591
LmjF.05.1140	vacuolar ATPase subunit-like protein	30.742	0.714
LmjF.05.1160	hypothetical protein, unknown function	48.73	0.414
LmjF.05.1170	fatty acid elongase, putative	36.371	0.634
LmjF.05.1180	hypothetical protein, conserved	36.992	0.601
LmjF.05.1190	hypothetical protein, conserved	47.711	0.438
LmjF.05.1210	protein phosphatase type 1 regulator-like protein	50.363	0.372
LmjF.05.1215	surface antigen-like protein	44.744	0.502
LmjF.05.1220	adenylate cyclase regulatory protein-like protein	48.645	0.412
LmjF.05.1230	GIPL galf transferase, putative (LPG1G)	43.457	0.478
LmjF.06.0020	hypothetical protein, conserved	44.485	0.475
LmjF.06.0030	hypothetical protein, conserved	41.582	0.544
LmjF.06.0040	hypothetical protein, conserved	42.398	0.526
LmjF.06.0050	pumilio/PUF RNA binding protein 5, putative (PUF5)	39.058	0.595
LmjF.06.0060	hypothetical protein, conserved	49.374	0.409
LmjF.06.0070	hypothetical protein, conserved	45.539	0.456
