name,length,num_reads,num_reads_primary,num_reads_secondary,gc,ct
LmjF.01.0800,131,51,37,3,0.611,0.473
LmjF.01.0810,1341,2,1,1,0.646,0.504
LmjF.01.0820,1375,5,2,1,0.681,0.501
LmjF.01.0830,NA,0,NA,NA,NA,NA
LmjF.01_30,503,34,10,4,0.62,0.509
LmjF.01_67,304,16,3,3,0.671,0.543
LmjF.01_68,168,134,18,14,0.565,0.655
LmjF.02.0010,913,79,21,12,0.504,0.594
LmjF.02.0020,173,1612,666,528,0.52,0.636
LmjF.02.0030,49,595,485,38,0.551,0.51
LmjF.02.0040,345,107,44,12,0.614,0.542
LmjF.02.0050,4763,106,16,10,0.609,0.532
LmjF.02.0060,15,38,18,7,0.533,0.4
LmjF.02.0070,191,27,19,3,0.55,0.518
LmjF.02.0080,1954,82,23,11,0.583,0.574
LmjF.02.0085,95,49,17,11,0.537,0.453
LmjF.02.0090,889,42,25,5,0.589,0.571
LmjF.02.0100,372,16,5,4,0.583,0.524
LmjF.02.0110,1066,42,7,5,0.615,0.513
LmjF.02.0120,NA,0,NA,NA,NA,NA
LmjF.02.0130,669,52,15,8,0.638,0.529
LmjF.02.0140,795,63,14,14,0.599,0.555
LmjF.02.0150,189,44,27,6,0.571,0.497
LmjF.02.0155,12,1,1,1,0.75,0.167
LmjF.02.0160,4525,102,17,16,0.552,0.573
LmjF.02.0170,692,79,10,8,0.598,0.513
LmjF.02.0180,1025,114,56,6,0.636,0.525
LmjF.02.0190,NA,0,NA,NA,NA,NA
LmjF.02.0200,1231,258,172,26,0.615,0.509
LmjF.02.0210,1194,24,11,6,0.674,0.482
LmjF.02.0220,1025,156,56,18,0.636,0.525
LmjF.02.0230,NA,0,NA,NA,NA,NA
LmjF.02.0240,834,256,172,26,0.615,0.522
LmjF.02.0250,718,24,4,3,0.659,0.524
LmjF.02.0260,123,19,17,2,0.602,0.626
LmjF.02.0270,745,37,10,5,0.573,0.487
LmjF.02.0280,969,69,16,11,0.642,0.479
LmjF.02.0290,216,49,18,17,0.625,0.514
LmjF.02.0300,261,1,1,1,0.594,0.571
LmjF.02.0310,2872,132,25,21,0.614,0.494
LmjF.02.0320,282,82,34,7,0.61,0.468
LmjF.02.0330,523,120,22,16,0.598,0.522
LmjF.02.0340,357,44,23,5,0.644,0.58
LmjF.02.0350,456,33,10,7,0.564,0.502
LmjF.02.0360,1465,61,28,3,0.605,0.53
LmjF.02.0370,230,293,26,26,0.613,0.509
LmjF.02.0380,157,35,7,6,0.611,0.541
LmjF.02.0390,563,60,10,9,0.62,0.503
LmjF.02.0400,313,2,1,1,0.626,0.572
LmjF.02.0410,564,35,15,3,0.601,0.596
LmjF.02.0420,2072,21,10,4,0.642,0.526
LmjF.02.0430,185,10,3,3,0.708,0.67
LmjF.02.0440,599,90,44,17,0.634,0.479
LmjF.02.0450,478,1627,1005,175,0.559,0.552
LmjF.02.0460,232,96,23,22,0.573,0.272
LmjF.02.0470,NA,0,NA,NA,NA,NA
LmjF.02.0480,1062,45,8,7,0.605,0.508
LmjF.02.0490,443,38,13,5,0.596,0.555
LmjF.02.0500,65,25,11,3,0.6,0.662
LmjF.02.0510,480,128,46,25,0.596,0.6
LmjF.02.0520,853,56,12,9,0.617,0.576
LmjF.02.0530,2322,96,29,25,0.561,0.607
LmjF.02.0540,474,25,9,4,0.494,0.565
LmjF.02.0550,1034,154,29,21,0.537,0.496
LmjF.02.0560,392,37,11,5,0.579,0.459
LmjF.02.0570,2928,29,11,6,0.55,0.613
LmjF.02.0580,NA,0,NA,NA,NA,NA
LmjF.02.0590,492,17,9,3,0.602,0.528
LmjF.02.0600,1076,285,99,84,0.642,0.507
LmjF.02.0610,498,18,6,4,0.649,0.528
LmjF.02.0620,490,21,6,3,0.612,0.512
LmjF.02.0630,86,24,10,2,0.605,0.419
LmjF.02.0640,465,66,19,15,0.615,0.602
LmjF.02.0650,274,42,20,5,0.591,0.471
LmjF.02.0660,107,32,10,8,0.523,0.514
LmjF.02.0670,944,65,19,11,0.613,0.522
LmjF.02.0680,44,28,16,8,0.614,0.455
LmjF.02.0690,266,78,44,28,0.658,0.545
LmjF.02.0700,1011,301,99,84,0.637,0.513
LmjF.02.0710,595,73,38,16,0.613,0.588
LmjF.02.0720,355,78,50,6,0.592,0.594
LmjF.02.0730,262,100,22,20,0.615,0.634
LmjF.02.0740,858,788,564,80,0.565,0.627
LmjF.02_128,NA,0,NA,NA,NA,NA
LmjF.02_129,1157,209,51,51,0.577,0.484
LmjF.02.ncRNA1,NA,0,NA,NA,NA,NA
LmjF.03.0010,658,30,17,5,0.512,0.66
LmjF.03.0020,314,56,15,9,0.424,0.605
LmjF.03.0030,579,52,13,8,0.451,0.568
LmjF.03.0040,2855,44,25,2,0.541,0.542
LmjF.03.0060,275,48,40,4,0.553,0.524
LmjF.03.0070,199,50,28,5,0.482,0.538
LmjF.03.0080,973,89,49,10,0.586,0.559
LmjF.03.0090,771,32,13,11,0.606,0.484
LmjF.03.0100,578,91,24,24,0.607,0.552
LmjF.03.0110,259,21,6,3,0.598,0.521
LmjF.03.0120,502,21,6,3,0.625,0.412
LmjF.03.0130,397,66,41,14,0.607,0.504
LmjF.03.0140,792,24,13,3,0.614,0.539
LmjF.03.0150,462,47,30,6,0.608,0.496
LmjF.03.0160,315,36,19,4,0.616,0.422
LmjF.03.0170,198,60,31,19,0.591,0.641
LmjF.03.0180,641,11,3,2,0.587,0.512
LmjF.03.0190,1557,116,37,25,0.626,0.516
LmjF.03.0200,1144,69,10,7,0.608,0.517
LmjF.03.0210,554,47,7,7,0.605,0.43
LmjF.03.0220,191,68,33,10,0.618,0.471
LmjF.03.0230,2287,208,165,11,0.587,0.558
LmjF.03.0240,241,143,134,6,0.589,0.535
LmjF.03.0250,603,964,290,186,0.605,0.489
LmjF.03.0260,80,20,8,2,0.675,0.562
LmjF.03.0270,409,48,25,4,0.66,0.521
LmjF.03.0280,157,13,5,4,0.618,0.554
LmjF.03.0290,853,57,36,4,0.653,0.516
LmjF.03.0310,410,7,2,1,0.578,0.502
LmjF.03.0320,278,120,64,11,0.608,0.554
LmjF.03.0330,347,7,4,1,0.66,0.559
LmjF.03.0340,506,72,27,20,0.617,0.52
LmjF.03.0350,929,86,14,11,0.601,0.522
LmjF.03.0360,1406,9,3,3,0.551,0.6
LmjF.03.0370,2579,78,9,9,0.575,0.572
LmjF.03.0380,2523,122,60,31,0.582,0.605
LmjF.03.0390,310,3,1,1,0.587,0.694
LmjF.03.0400,2910,272,155,17,0.565,0.56
LmjF.03.0410,2055,42,16,10,0.605,0.543
LmjF.03.0420,296,9,3,2,0.598,0.588
LmjF.03.0430,210,11,8,1,0.619,0.49
LmjF.03.0440,150,1063,545,204,0.533,0.613
LmjF.03.0450,793,39,7,5,0.588,0.588
LmjF.03.0460,1613,31,11,4,0.56,0.542
LmjF.03.0470,304,24,7,5,0.612,0.533
LmjF.03.0480,894,25,11,6,0.654,0.456
LmjF.03.0490,570,323,270,9,0.639,0.635
LmjF.03.0500,2444,40,9,5,0.598,0.551
LmjF.03.0510,NA,0,NA,NA,NA,NA
LmjF.03.0520,364,46,13,9,0.618,0.544
LmjF.03.0530,840,8,3,2,0.596,0.412
LmjF.03.0540,1294,18,3,2,0.594,0.549
LmjF.03.0550,410,35,10,6,0.598,0.478
LmjF.03.0560,947,158,38,37,0.553,0.59
LmjF.03.0570,69,53,15,6,0.507,0.449
LmjF.03.0580,878,43,15,11,0.589,0.485
LmjF.03.0590,174,34,19,4,0.58,0.443
LmjF.03.0600,375,60,12,7,0.645,0.477
LmjF.03.0610,490,101,76,4,0.58,0.416
LmjF.03.0620,1054,60,10,9,0.624,0.472
LmjF.03.0630,174,68,26,8,0.489,0.454
LmjF.03.0640,1125,27,7,5,0.637,0.459
LmjF.03.0650,631,114,38,20,0.61,0.521
LmjF.03.0660,226,43,17,8,0.535,0.425
LmjF.03.0670,845,2,1,1,0.704,0.512
LmjF.03.0680,930,21,8,3,0.631,0.51
LmjF.03.0690,443,41,29,6,0.614,0.517
LmjF.03.0700,NA,0,NA,NA,NA,NA
LmjF.03.0710,481,10,4,3,0.632,0.576
LmjF.03.0720,80,17,4,2,0.638,0.588
LmjF.03.0730,1039,25,15,5,0.636,0.53
LmjF.03.0740,593,37,23,7,0.621,0.523
LmjF.03.0750,199,29,10,4,0.613,0.427
LmjF.03.0760,203,30,15,5,0.547,0.488
LmjF.03.0770,198,11,6,3,0.687,0.52
LmjF.03.0780,NA,0,NA,NA,NA,NA
LmjF.03.0790,1172,257,187,22,0.616,0.553
LmjF.03.0800,211,2,1,1,0.635,0.583
LmjF.03.0810,168,40,17,4,0.601,0.518
LmjF.03.0820,NA,0,NA,NA,NA,NA
LmjF.03.0830,647,20,5,4,0.638,0.507
LmjF.03.0840,547,51,34,5,0.607,0.468
LmjF.03.0850,NA,0,NA,NA,NA,NA
LmjF.03.0860,158,8,3,2,0.671,0.639
LmjF.03.0870,140,9,4,2,0.557,0.5
LmjF.03.0880,211,41,29,3,0.573,0.63
LmjF.03.0890,67,48,16,10,0.567,0.507
LmjF.03.0900,1572,211,42,22,0.609,0.56
LmjF.03.0910,514,72,25,14,0.595,0.518
LmjF.03.0920,350,23,9,3,0.611,0.549
LmjF.03.0930,308,44,15,13,0.617,0.666
LmjF.03.0940,203,95,48,18,0.576,0.586
LmjF.03.0950,705,67,12,10,0.552,0.567
LmjF.03.0960,226,23,17,3,0.5,0.535
LmjF.03.0970,159,13,5,4,0.491,0.553
LmjF.03.0980,313,97,33,29,0.38,0.435
LmjF.03_242,795,285,164,18,0.434,0.599
LmjF.03_244,1327,48,33,5,0.647,0.51
LmjF.04.0010,746,83,34,22,0.56,0.472
LmjF.04.0020,1550,41,19,12,0.492,0.546
LmjF.04.0030,552,59,9,7,0.518,0.605
LmjF.04.0035,171,61,20,12,0.544,0.532
LmjF.04.0040,3791,95,13,10,0.502,0.573
LmjF.04.0045,706,568,492,13,0.525,0.554
LmjF.04.0050,1667,124,45,19,0.519,0.549
LmjF.04.0060,617,27,18,3,0.603,0.512
LmjF.04.0070,304,57,24,10,0.592,0.441
LmjF.04.0080,34,39,15,13,0.559,0.353
LmjF.04.0090,755,23,17,2,0.63,0.461
LmjF.04.0100,456,24,17,2,0.616,0.669
LmjF.04.0110,247,42,28,5,0.644,0.474
LmjF.04.0120,88,31,5,4,0.625,0.489
LmjF.04.0123,380,86,24,14,0.595,0.497
LmjF.04.0127,431,41,11,11,0.654,0.673
LmjF.04.0130,640,456,187,99,0.598,0.636
LmjF.04.0140,640,457,197,91,0.598,0.636
LmjF.04.0150,640,472,197,101,0.598,0.636
LmjF.04.0160,639,465,193,94,0.599,0.635
LmjF.04.0170,642,504,186,95,0.598,0.634
LmjF.04.0180,342,182,62,40,0.576,0.667
LmjF.04.0190,342,182,62,40,0.576,0.667
LmjF.04.0200,1488,88,35,25,0.579,0.565
LmjF.04.0210,1826,174,73,40,0.579,0.575
LmjF.04.0220,847,32,14,4,0.56,0.626
LmjF.04.0230,840,93,14,14,0.542,0.604
LmjF.04.0240,1369,307,107,89,0.591,0.551
LmjF.04.0250,141,12,3,2,0.631,0.567
LmjF.04.0260,104,33,10,9,0.606,0.481
LmjF.04.0270,376,39,12,4,0.582,0.404
LmjF.04.0280,628,73,29,22,0.613,0.546
LmjF.04.0290,646,39,12,9,0.619,0.498
LmjF.04.0300,300,25,16,4,0.637,0.643
LmjF.04.0310,1269,491,210,139,0.613,0.593
LmjF.04.0320,776,31,15,6,0.63,0.495
LmjF.04.0330,175,72,17,10,0.606,0.663
LmjF.04.0340,603,118,79,13,0.57,0.585
LmjF.04.0350,790,102,48,28,0.496,0.57
LmjF.04.0370,410,34,9,6,0.556,0.578
LmjF.04.0380,132,34,10,6,0.644,0.545
LmjF.04.0390,1781,20,5,3,0.568,0.573
LmjF.04.0400,790,111,23,17,0.608,0.481
LmjF.04.0410,676,55,16,9,0.592,0.654
LmjF.04.0420,1096,95,48,11,0.568,0.617
LmjF.04.0430,NA,0,NA,NA,NA,NA
LmjF.04.0440,1948,41,19,3,0.56,0.592
LmjF.04.0450,2986,152,20,19,0.555,0.577
LmjF.04.0460,792,106,34,18,0.587,0.491
LmjF.04.0465,556,2,1,1,0.658,0.523
LmjF.04.0470,512,10,3,2,0.615,0.518
LmjF.04.0480,108,37,9,6,0.62,0.481
LmjF.04.0490,309,75,38,25,0.534,0.482
LmjF.04.0500,NA,0,NA,NA,NA,NA
LmjF.04.0510,1146,60,20,10,0.547,0.519
LmjF.04.0520,1031,51,14,9,0.604,0.474
LmjF.04.0530,360,50,10,10,0.628,0.558
LmjF.04.0540,474,80,19,16,0.591,0.542
LmjF.04.0550,413,39,10,8,0.598,0.53
LmjF.04.0560,186,230,62,23,0.57,0.677
LmjF.04.0570,167,16,5,4,0.575,0.515
LmjF.04.0580,671,72,41,13,0.608,0.528
LmjF.04.0590,1100,88,55,19,0.6,0.476
LmjF.04.0600,NA,0,NA,NA,NA,NA
LmjF.04.0610,362,75,25,7,0.577,0.497
LmjF.04.0620,329,30,4,4,0.553,0.571
LmjF.04.0625,317,111,24,11,0.416,0.568
LmjF.04.0630,305,380,142,61,0.384,0.551
LmjF.04.0640,579,26,6,5,0.651,0.572
LmjF.04.0650,263,28,11,4,0.608,0.525
LmjF.04.0660,416,63,30,8,0.594,0.627
LmjF.04.0670,553,2163,1357,378,0.579,0.486
LmjF.04.0680,643,29,7,4,0.599,0.495
LmjF.04.0690,642,131,99,4,0.576,0.564
LmjF.04.0700,357,39,21,10,0.571,0.658
LmjF.04.0710,365,30,12,10,0.603,0.488
LmjF.04.0720,2565,26,5,5,0.591,0.535
LmjF.04.0730,231,5,2,2,0.584,0.567
LmjF.04.0740,311,1,1,1,0.608,0.543
LmjF.04.0750,271,1008,587,190,0.572,0.546
LmjF.04.0760,678,373,116,106,0.612,0.538
LmjF.04.0770,785,127,41,37,0.59,0.545
LmjF.04.0780,388,20,3,2,0.593,0.57
LmjF.04.0790,427,7,5,1,0.621,0.529
LmjF.04.0800,300,51,22,6,0.557,0.553
LmjF.04.0810,588,24,5,4,0.628,0.519
LmjF.04.0820,344,36,5,4,0.622,0.442
LmjF.04.0830,395,52,20,13,0.592,0.552
LmjF.04.0840,159,19,3,3,0.635,0.459
LmjF.04.0850,947,61,14,13,0.593,0.476
LmjF.04.0860,224,89,56,14,0.571,0.469
LmjF.04.0870,3300,132,12,11,0.641,0.502
LmjF.04.0880,367,70,14,14,0.597,0.589
LmjF.04.0890,1497,79,7,6,0.593,0.531
LmjF.04.0900,384,59,51,2,0.617,0.539
LmjF.04.0910,800,52,22,8,0.625,0.526
LmjF.04.0920,1111,74,33,25,0.586,0.579
LmjF.04.0930,546,146,73,16,0.584,0.54
LmjF.04.0940,1329,47,9,9,0.628,0.508
LmjF.04.0950,328,889,634,78,0.585,0.524
LmjF.04.0960,319,53,43,2,0.605,0.549
LmjF.04.0970,462,19,11,5,0.645,0.481
LmjF.04.0975,507,8,2,2,0.602,0.582
LmjF.04.0980,30,5,3,1,0.633,0.533
LmjF.04.0990,446,12,2,2,0.623,0.565
LmjF.04.1000,241,37,17,12,0.606,0.535
LmjF.04.1010,511,72,10,9,0.599,0.532
LmjF.04.1020,141,131,59,45,0.574,0.532
LmjF.04.1030,NA,0,NA,NA,NA,NA
LmjF.04.1040,1424,63,29,4,0.581,0.521
LmjF.04.1050,336,100,55,5,0.583,0.524
LmjF.04.1060,421,10,2,2,0.601,0.496
LmjF.04.1070,34,131,56,21,0.529,0.676
LmjF.04.1080,236,62,27,16,0.568,0.555
LmjF.04.1090,323,32,18,3,0.579,0.48
LmjF.04.1100,828,51,29,8,0.617,0.517
LmjF.04.1110,256,49,17,11,0.598,0.551
LmjF.04.1120,961,65,18,9,0.581,0.612
LmjF.04.1130,299,37,10,3,0.569,0.585
LmjF.04.1140,273,49,20,14,0.59,0.59
LmjF.04.1150,224,68,12,11,0.589,0.545
LmjF.04.1160,1561,263,121,96,0.607,0.502
LmjF.04.1165,190,65,29,24,0.632,0.6
LmjF.04.1170,3148,44,4,4,0.547,0.615
LmjF.04.1180,NA,0,NA,NA,NA,NA
LmjF.04.1190,170,31,9,7,0.588,0.447
LmjF.04.1200,309,86,39,14,0.502,0.502
LmjF.04.1210,3032,243,124,13,0.493,0.603
LmjF.04.1220,159,80,47,9,0.465,0.56
LmjF.04.1230,656,351,282,43,0.527,0.555
LmjF.04_368,292,1,1,1,0.596,0.616
LmjF.04_440,478,137,48,35,0.552,0.515
LmjF.05.0010,209,64,21,20,0.421,0.612
LmjF.05.0020,197,83,31,15,0.442,0.528
LmjF.05.0030,557,316,147,75,0.496,0.51
LmjF.05.0040,637,292,203,15,0.502,0.554
LmjF.05.0050,638,53,8,7,0.58,0.53
LmjF.05.0060,1397,33,6,4,0.614,0.553
LmjF.05.0070,313,40,20,3,0.54,0.514
LmjF.05.0080,325,64,8,8,0.557,0.514
LmjF.05.0090,309,87,31,9,0.573,0.524
LmjF.05.0100,2960,78,18,10,0.587,0.528
LmjF.05.0110,545,91,28,11,0.589,0.541
LmjF.05.0120,440,43,11,7,0.62,0.609
LmjF.05.0130,2308,180,43,16,0.598,0.555
LmjF.05.0140,994,39,16,6,0.606,0.524
LmjF.05.0150,440,5,3,2,0.598,0.507
LmjF.05.0160,134,18,8,3,0.59,0.552
LmjF.05.0170,1274,3,1,1,0.61,0.586
LmjF.05.0180,599,48,11,6,0.591,0.511
LmjF.05.0190,456,93,19,17,0.603,0.428
LmjF.05.0200,182,51,25,11,0.61,0.544
LmjF.05.0210,305,123,74,39,0.59,0.498
LmjF.05.0220,2967,134,51,17,0.58,0.569
LmjF.05.0230,441,71,14,13,0.585,0.481
LmjF.05.0240,1020,86,21,18,0.59,0.599
LmjF.05.0250,325,108,65,20,0.56,0.545
LmjF.05.0260,397,88,71,12,0.615,0.531
LmjF.05.0270,149,42,11,7,0.611,0.49
LmjF.05.0280,1320,269,181,27,0.598,0.542
LmjF.05.0285,607,45,13,8,0.598,0.563
LmjF.05.0290,204,22,15,4,0.583,0.402
LmjF.05.0300,518,2,1,1,0.691,0.452
LmjF.05.0310,245,5,5,5,0.616,0.461
LmjF.05.0320,51,96,24,18,0.588,0.569
LmjF.05.0330,299,35,15,6,0.639,0.622
LmjF.05.0340,533,138,53,22,0.589,0.501
LmjF.05.0350,557,369,178,102,0.573,0.594
LmjF.05.0360,295,72,26,12,0.583,0.485
LmjF.05.0370,1400,46,5,4,0.625,0.556
LmjF.05.0380,428,13,2,1,0.598,0.563
LmjF.05.0390,1412,142,82,15,0.585,0.599
LmjF.05.0400,700,67,22,22,0.607,0.531
LmjF.05.0410,326,31,21,4,0.58,0.46
LmjF.05.0420,71,41,13,9,0.563,0.648
LmjF.05.0430,96,41,28,4,0.573,0.573
LmjF.05.0440,1052,46,31,5,0.712,0.51
LmjF.05.0450,74,950,811,36,0.459,0.405
LmjF.05.0460,1086,26,4,3,0.59,0.524
LmjF.05.0470,613,38,10,8,0.604,0.607
LmjF.05.0480,3032,306,70,55,0.538,0.518
LmjF.05.0490,1420,119,20,9,0.59,0.54
LmjF.05.0500,527,307,151,55,0.592,0.488
LmjF.05.0510,291,497,61,52,0.584,0.443
LmjF.05.0520,264,57,18,10,0.636,0.492
LmjF.05.0530,159,88,21,17,0.604,0.711
LmjF.05.0540,200,106,34,32,0.595,0.51
LmjF.05.0550,660,99,53,19,0.612,0.508
LmjF.05.0560,1185,51,9,9,0.643,0.496
LmjF.05.0570,346,61,27,13,0.673,0.514
LmjF.05.0580,2243,207,56,26,0.591,0.507
LmjF.05.0590,226,8,7,1,0.677,0.46
LmjF.05.0600,178,59,24,19,0.601,0.545
LmjF.05.0610,102,33,8,7,0.559,0.382
LmjF.05.0620,270,48,22,7,0.615,0.519
LmjF.05.0630,314,55,21,6,0.618,0.599
LmjF.05.0640,557,99,64,10,0.609,0.562
LmjF.05.0650,1973,110,42,10,0.609,0.517
LmjF.05.0660,201,53,30,9,0.572,0.512
LmjF.05.0670,NA,0,NA,NA,NA,NA
LmjF.05.0680,607,50,9,6,0.639,0.532
LmjF.05.0690,NA,0,NA,NA,NA,NA
LmjF.05.0700,926,42,16,3,0.614,0.53
LmjF.05.0710,687,123,62,20,0.53,0.569
LmjF.05.0720,963,74,23,6,0.605,0.55
LmjF.05.0730,1076,150,62,44,0.571,0.607
LmjF.05.0740,805,50,8,7,0.615,0.504
LmjF.05.0750,643,49,40,3,0.607,0.543
LmjF.05.0760,1747,88,25,18,0.537,0.55
LmjF.05.0770,791,25,12,3,0.555,0.57
LmjF.05.0780,956,437,223,55,0.593,0.497
LmjF.05.0790,16,67,37,11,0.5,0.25
LmjF.05.0800,483,14,6,5,0.611,0.464
LmjF.05.0810,571,177,127,7,0.62,0.536
LmjF.05.0820,342,19,5,3,0.649,0.447
LmjF.05.0830,561,67,42,10,0.615,0.455
LmjF.05.0840,615,64,12,9,0.559,0.533
LmjF.05.0850,498,96,36,18,0.588,0.53
LmjF.05.0860,181,82,29,16,0.608,0.508
LmjF.05.0870,393,43,6,5,0.603,0.499
LmjF.05.0880,564,95,25,12,0.592,0.516
LmjF.05.0890,615,95,36,9,0.576,0.486
LmjF.05.0900,1163,64,34,12,0.572,0.563
LmjF.05.0910,113,75,29,15,0.575,0.619
LmjF.05.0920,1430,95,57,14,0.578,0.522
LmjF.05.0930,426,71,15,11,0.549,0.538
LmjF.05.0940,1227,111,14,9,0.591,0.57
LmjF.05.0950,552,75,29,8,0.582,0.533
LmjF.05.0960,406,136,36,16,0.539,0.579
LmjF.05.0970,275,41,13,8,0.611,0.502
LmjF.05.0980,270,45,8,7,0.593,0.737
LmjF.05.0990,109,67,19,19,0.55,0.569
LmjF.05.1000,1269,217,94,29,0.54,0.582
LmjF.05.1010,353,26,9,6,0.567,0.541
LmjF.05.1020,462,45,35,2,0.552,0.541
LmjF.05.1030,186,52,32,7,0.457,0.608
LmjF.05.1040,242,73,19,17,0.496,0.566
LmjF.05.1050,614,48,16,7,0.56,0.48
LmjF.05.1060,202,57,13,13,0.515,0.515
LmjF.05.1070,1450,332,62,62,0.578,0.59
LmjF.05.1080,687,248,76,30,0.553,0.552
LmjF.05.1090,1695,84,16,13,0.525,0.568
LmjF.05.1100,509,150,37,18,0.593,0.519
LmjF.05.1110,579,70,28,16,0.566,0.622
LmjF.05.1120,956,132,40,30,0.616,0.584
LmjF.05.1130,1640,17,5,4,0.685,0.535
LmjF.05.1140,368,93,47,17,0.603,0.59
LmjF.05.1160,214,20,4,3,0.645,0.533
LmjF.05.1170,508,31,6,4,0.583,0.531
LmjF.05.1180,202,29,14,7,0.55,0.535
LmjF.05.1190,1131,37,24,5,0.526,0.584
LmjF.05.1200,107,47,14,10,0.467,0.579
LmjF.05.1210,665,21,6,3,0.6,0.498
LmjF.05.1215,449,163,26,11,0.425,0.499
LmjF.05.1220,986,264,70,27,0.59,0.583
LmjF.05.1230,753,817,147,132,0.59,0.479
LmjF.05_492,467,348,62,32,0.574,0.595
LmjF.05_497,1253,61,16,14,0.642,0.485
LmjF.05_529,255,58,24,7,0.588,0.584
LmjF.05_532,501,2,1,1,0.627,0.513
LmjF.05_579,1189,52,30,6,0.648,0.505
LmjF.05_584,329,18,6,2,0.623,0.62
LmjF.06.0010,281,2050,624,241,0.562,0.623
LmjF.06.0020,1638,121,60,9,0.514,0.643
LmjF.06.0030,3587,451,186,39,0.52,0.613
LmjF.06.0040,243,136,86,26,0.56,0.609
