gene_id,type,percent_disorder,average_dnds,fpkm,nc,gc,protein_length,gravy,cai,taxon
LmjF.06.0590,orphan,58.49420849,0.56048,8.5121,49.93,0.65,1494,-0.27209,0.319,LEISH
LmjF.06.0630,orphan,51.33514986,0.63993,11.484,45.22,0.652,1775,-0.51369,0.374,LEISH
LmjF.06.0660,orphan,80.92016238,0.69667,17.666,46.56,0.657,679,-0.55788,0.352,LEISH
LmjF.06.0670,orphan,82.11624441,0.88014,17.3103,46.42,0.666,1282,-0.4727,0.369,LEISH
LmjF.06.0685,orphan,67.67241379,0.57543,10.5978,48.82,0.647,404,-0.57525,0.302,LEISH
LmjF.06.0710,orphan,51.36054422,1.00996,6.8906,51.29,0.63,528,-0.32405,0.291,LEISH
LmjF.06.0740,orphan,47.95737123,0.65419,6.8879,48.1,0.653,1066,-0.51088,0.336,LEISH
LmjF.06.0760,orphan,71.08239095,0.92048,10.3518,49.02,0.66,1178,-0.37284,0.316,LEISH
LmjF.06.0790,orphan,69.54986761,0.77747,7.9449,47.91,0.666,1073,-0.31165,0.327,LEISH
LmjF.06.0800,orphan,63.62530414,0.58079,15.1461,45.9,0.669,1584,-0.39653,0.353,LEISH
LmjF.06.0890,orphan,38.73659118,0.59428,9.6043,47.13,0.657,779,-0.1294,0.321,LEISH
LmjF.06.0995,orphan,1.395348837,0.32792,15.1938,46.45,0.645,155,0.39742,0.358,LEISH
LmjF.06.1110,orphan,74.22945205,0.68292,13.0233,46.53,0.665,1108,-0.67672,0.337,LEISH
LmjF.06.1200,orphan,49.11894273,0.52768,5.9647,48.2,0.639,394,-0.53173,0.335,LEISH
LmjF.06.1210,orphan,12.78890601,0.31598,20.5444,46.77,0.632,589,-0.18302,0.36,LEISH
LmjF.06.1220,orphan,39.41176471,0.55674,13.3519,45.07,0.657,790,-0.3962,0.353,LEISH
LmjF.06.1250,orphan,14.76510067,0.14307,20.1409,40.84,0.573,238,0.16471,0.445,LEISH
LmjF.06.1290,orphan,6.557377049,0.24229,203.713,46.21,0.504,123,-0.63902,0.351,LEISH
LmjF.07.0040,orphan,24.26666667,0.55182,10.0563,56.7,0.571,315,-0.41587,0.228,LEISH
LmjF.07.0140,orphan,15.57177616,0.73022,15.349,48.33,0.646,351,0.33704,0.372,LEISH
LmjF.07.0210,orphan,24.20382166,0.50577,8.113,46.08,0.661,254,-0.0441,0.378,LEISH
LmjF.07.0550,orphan,54.12275263,0.68506,13.4753,45.43,0.658,1553,-0.21043,0.355,LEISH
LmjF.07.0770,orphan,19.04761905,0.40819,53.0838,43.5,0.64,402,-0.0194,0.392,LEISH
LmjF.07.0790,orphan,80.68181818,0.45493,12.7235,43.04,0.671,292,-0.73527,0.372,LEISH
LmjF.07.0860,orphan,87.99730276,0.61178,16.3238,47.41,0.643,1423,-0.50527,0.358,LEISH
LmjF.07.0890,orphan,87.37300435,0.97941,30.3552,51.22,0.612,629,-0.62766,0.34,LEISH
LmjF.07.1035,orphan,5.6,0.37116,12.8859,52.17,0.64,190,-0.03158,0.34,LEISH
LmjF.08.0210,orphan,53.81882771,0.82918,4.8291,52.23,0.631,503,-0.5161,0.263,LEISH
LmjF.08.0260,orphan,91.16465863,0.70024,9.5286,44.97,0.683,438,-0.60845,0.327,LEISH
LmjF.08.0270,orphan,68.20276498,0.6347,10.0242,45.76,0.664,808,-0.57772,0.38,LEISH
LmjF.08.0390,orphan,53.48468849,0.57986,11.8317,48.71,0.656,1834,-0.4904,0.327,LEISH
LmjF.08.0490,orphan,76.1487965,0.65226,7.1025,52.62,0.659,397,-0.26499,0.319,LEISH
LmjF.08.0500,orphan,76.77725118,0.61299,4.4082,48.07,0.687,362,-0.46271,0.333,LEISH
LmjF.08.0580,orphan,23.34801762,0.45368,19.4769,35.46,0.613,167,-0.36407,0.53,LEISH
LmjF.08.0590,orphan,43.71482176,0.99154,15.3109,50.57,0.644,473,-0.25328,0.316,LEISH
LmjF.08.0600,orphan,12.31527094,0.82838,42.6415,43.26,0.625,143,-0.1049,0.443,LEISH
LmjF.08.0640,orphan,0,0.87933,452.919,43.34,0.624,299,0.57057,0.445,LEISH
LmjF.08.0940,orphan,25.99388379,0.29332,8.8977,44.32,0.65,267,-0.19888,0.37,LEISH
LmjF.08.0950,orphan,54.54545455,0.33743,12.5892,48.07,0.633,149,-1.04698,0.311,LEISH
LmjF.08.0980,orphan,93.27883742,0.58715,7.9948,51.18,0.653,1041,-0.48559,0.31,LEISH
LmjF.09.0003,orphan,21.56862745,0.51458,6.839,60.12,0.53,144,-0.42222,0.163,LEISH
LmjF.09.0170,orphan,0,0.03403,30.5848,28.97,0.711,134,0.27687,0.707,LEISH
LmjF.09.0345,orphan,37.09677419,0.3988,9.9422,53.62,0.657,250,-0.3388,0.287,LEISH
LmjF.09.0380,orphan,54.00943396,0.3152,7.8793,44.42,0.647,364,-0.52418,0.391,LEISH
LmjF.09.0540,orphan,83.0059778,0.66023,22.7669,46.54,0.651,1111,-0.78821,0.339,LEISH
LmjF.09.0550,orphan,41.25766871,0.59733,13.3924,51.24,0.64,592,-0.23345,0.311,LEISH
LmjF.09.0710,orphan,73.78472222,0.54576,10.3437,49.51,0.639,516,-0.46299,0.343,LEISH
LmjF.09.0730,orphan,21.5007215,0.51482,8.4625,48.23,0.65,633,-0.15387,0.363,LEISH
LmjF.09.0790,orphan,39.43338438,0.45931,18.0595,43.63,0.647,1246,0.09543,0.4,LEISH
LmjF.09.0870,orphan,66.55290102,0.28998,16.2076,44.87,0.662,526,-0.65285,0.409,LEISH
LmjF.09.0880,orphan,53.49264706,0.44597,41.3275,50.34,0.648,484,-0.43409,0.305,LEISH
LmjF.09.0980,orphan,74.81203008,0.56732,35.742,48.06,0.643,1004,-0.45359,0.335,LEISH
LmjF.09.1030,orphan,72.38605898,0.50555,12.4498,49.66,0.652,313,-0.63514,0.291,LEISH
LmjF.09.1110,orphan,75.86872587,0.34991,24.6143,43.69,0.662,458,-0.90175,0.424,LEISH
LmjF.09.1190,orphan,39.38461538,0.55014,9.7082,48.66,0.665,590,-0.35373,0.324,LEISH
LmjF.09.1200,orphan,33.37704918,0.45825,7.5617,47.23,0.657,1465,-0.27099,0.335,LEISH
LmjF.09.1210,orphan,30.5785124,0.28472,22.7707,44.75,0.627,424,-0.09693,0.4,LEISH
LmjF.09.1370,orphan,59.14634146,0.49867,10.5261,49.03,0.639,268,-0.5,0.319,LEISH
LmjF.10.0080,orphan,0.248138958,0.32292,17.2643,53.64,0.584,343,0.05219,0.308,LEISH
LmjF.10.0150,orphan,70.53364269,0.20665,66.017,47.48,0.657,371,-0.28464,0.39,LEISH
LmjF.10.0190,orphan,55.70839065,0.57452,8.4089,48.13,0.648,667,-0.23553,0.31,LEISH
LmjF.10.0330,orphan,38.25910931,0.43828,17.8659,51.79,0.633,434,-0.20668,0.344,LEISH
LmjF.10.0430,orphan,1.357466063,0.18258,26.4935,39.43,0.623,161,0.03416,0.42,LEISH
LmjF.10.0440,orphan,3.555555556,0.30462,30.5598,52.17,0.628,165,0.02,0.372,LEISH
LmjF.10.0540,orphan,23.69337979,0.48231,20.0566,47.06,0.625,1088,-0.33511,0.344,LEISH
LmjF.10.0650,orphan,32.26544622,0.41206,8.4883,48.65,0.628,377,-0.55756,0.327,LEISH
LmjF.10.0660,orphan,80.41958042,0.63844,24.3649,49.18,0.662,1942,-0.56354,0.315,LEISH
LmjF.10.0680,orphan,84.13793103,0.84845,12.7848,49.94,0.643,375,-0.58587,0.267,LEISH
LmjF.10.0770,orphan,35.46325879,0.47522,8.6339,50.09,0.644,566,-0.253,0.301,LEISH
LmjF.10.0880,orphan,85.55102041,0.68091,15.9309,49.29,0.65,1165,-0.62043,0.308,LEISH
LmjF.10.0980,orphan,29.89985694,0.4346,15.1956,46.36,0.647,639,-0.12754,0.371,LEISH
LmjF.10.1070,orphan,44.63190184,0.57949,12.872,54.01,0.664,592,-0.62804,0.29,LEISH
LmjF.11.0010,orphan,49.13043478,0.35117,10.8141,56,0.516,170,-0.81588,0.185,LEISH
LmjF.11.0150,orphan,85.29100529,0.53135,15.9076,49.72,0.643,885,-0.79017,0.321,LEISH
LmjF.11.0200,orphan,53.27868852,0.52278,12.5959,45.71,0.639,184,-0.26141,0.343,LEISH
LmjF.11.0290,orphan,73.61376673,0.63242,8.1881,51.13,0.639,463,-0.67149,0.318,LEISH
LmjF.11.0390,orphan,41.54929577,0.49727,22.4972,49.53,0.627,508,-0.1935,0.313,LEISH
LmjF.11.0460,orphan,28.44950213,0.53957,16.8263,52.22,0.601,643,-0.14635,0.273,LEISH
LmjF.11.0640,orphan,40.03139717,0.79431,14.3716,51.77,0.646,1851,-0.02383,0.307,LEISH
LmjF.11.0730,orphan,60.46511628,0.79121,22.1169,49.94,0.638,1273,-0.22553,0.311,LEISH
LmjF.11.0920,orphan,45.88235294,0.50407,12.7788,50.36,0.627,620,-0.50952,0.271,LEISH
LmjF.11.0940,orphan,67.12239583,0.68878,23.8402,55.23,0.593,1476,-0.87832,0.246,LEISH
LmjF.11.0950,orphan,61.31078224,0.39288,10.4131,51.04,0.651,413,-0.43826,0.335,LEISH
LmjF.11.1120,orphan,2.770780856,0.50529,15.1419,50.12,0.637,337,0.30564,0.333,LEISH
LmjF.12.0110,orphan,50.68965517,0.4501,11.7282,49.75,0.611,810,-0.74753,0.284,LEISH
LmjF.12.0140,orphan,19.61538462,0.6935,23.0948,54.46,0.623,460,0.38522,0.294,LEISH
LmjF.12.0170,orphan,40.2173913,0.74706,22.3063,52.68,0.627,400,-0.24375,0.322,LEISH
LmjF.12.0200,orphan,73.52682498,0.84381,18.9898,49.7,0.645,1077,-0.51254,0.316,LEISH
LmjF.12.0230,orphan,36.07342378,0.42809,11.3807,46.73,0.663,1193,-0.11903,0.339,LEISH
LmjF.12.0290,orphan,67.42470805,0.4629,10.4368,48.83,0.645,1567,-0.55744,0.312,LEISH
LmjF.12.0330,orphan,36.96837514,0.55701,15.4476,43.9,0.658,857,-0.15111,0.367,LEISH
LmjF.12.0405,orphan,52.76595745,0.65267,9.312,46.7,0.662,410,-0.17,0.345,LEISH
LmjF.12.0450,orphan,71.32927889,0.47658,36.2191,49.22,0.644,1091,-0.64326,0.325,LEISH
LmjF.12.0460,orphan,77.75147929,0.85673,10.7122,50.41,0.643,785,-0.30459,0.294,LEISH
LmjF.12.0480,orphan,47.98206278,0.80822,6.0644,51.54,0.635,609,-0.25632,0.337,LEISH
LmjF.12.0490,orphan,61.43250689,0.41266,1.7477,49.65,0.631,303,-0.39076,0.352,LEISH
LmjF.12.0500,orphan,71.35036496,0.88655,16.18,51.49,0.651,1036,-0.28996,0.301,LEISH
LmjF.12.0550,orphan,42.21824687,0.67309,12.3294,56.81,0.592,499,-0.46533,0.247,LEISH
LmjF.12.0620,orphan,80.59593023,0.49748,13.8728,50.47,0.652,1316,-0.63777,0.302,LEISH
LmjF.12.1100,orphan,47.49403341,0.57887,22.2064,53.96,0.611,1616,-0.31615,0.264,LEISH
LmjF.12.1150,orphan,51.10169492,0.59605,13.0496,51.34,0.636,1120,-0.40652,0.292,LEISH
LmjF.12.1200,orphan,47.10884354,0.34303,34.7681,47.28,0.612,528,-0.45303,0.407,LEISH
LmjF.12.1210,orphan,72.79549719,0.55739,19.96,51.91,0.64,1006,-0.36511,0.303,LEISH
LmjF.12.1280,orphan,78.01120448,0.70441,17.66,54.37,0.628,654,-0.37569,0.287,LEISH
LmjF.12.1290,orphan,18.31501832,0.49462,20.7333,48.95,0.631,213,-0.31127,0.306,LEISH
LmjF.13.0060,orphan,54.6460177,0.45954,11.4385,49.34,0.627,392,-0.55816,0.288,LEISH
LmjF.13.0100,orphan,19.56155143,0.52706,13.716,50.21,0.592,533,-0.06829,0.268,LEISH
LmjF.13.0700,orphan,50.03344482,0.41504,2.1719,41.14,0.684,1435,-0.37157,0.391,LEISH
LmjF.13.0730,orphan,58.67403315,0.42003,32.65,43.01,0.647,845,-0.45266,0.413,LEISH
LmjF.13.0770,orphan,17.81045752,0.4611,12.335,48.4,0.641,552,0.04819,0.339,LEISH
LmjF.13.0800,orphan,50.52631579,0.39204,30.445,49.2,0.637,225,-0.34844,0.315,LEISH
LmjF.13.0840,orphan,67.64184397,0.80376,9.1359,50.35,0.644,1068,-0.46732,0.296,LEISH
LmjF.13.1010,orphan,8.010335917,0.40038,20.9012,45.24,0.634,327,0.10765,0.381,LEISH
LmjF.13.1250,orphan,65.34296029,0.32183,16.8816,46.8,0.596,217,-0.6977,0.376,LEISH
LmjF.13.1260,orphan,21.42857143,0.57283,21.2325,53.76,0.566,192,-0.20156,0.338,LEISH
LmjF.13.1290,orphan,54.95951417,0.68321,12.9202,50.68,0.641,928,-0.22425,0.301,LEISH
LmjF.13.1330,orphan,11.79673321,0.41052,20.5894,49.3,0.645,491,0.11996,0.338,LEISH
LmjF.13.1410,orphan,91.69503063,0.72196,10.1228,49.41,0.638,1409,-0.74095,0.336,LEISH
LmjF.13.1540,orphan,16.27056673,0.31019,20.4522,47.88,0.633,487,-0.10616,0.347,LEISH
LmjF.13.1600,orphan,33.82928739,0.33552,16.3616,43.61,0.638,1217,-0.19712,0.4,LEISH
LmjF.14.0170,orphan,29.79865772,0.29898,6.2262,49.66,0.646,685,-0.09226,0.332,LEISH
LmjF.14.0200,orphan,66.4,1.00232,10.9365,50.84,0.607,190,-0.42211,0.284,LEISH
LmjF.14.0405,orphan,25.89641434,0.56578,19.8119,47.22,0.614,191,-0.32094,0.279,LEISH
LmjF.14.0430,orphan,4.417670683,0.34283,12.2727,52.32,0.615,438,-0.03699,0.307,LEISH
LmjF.14.0500,orphan,62.5,0.73862,9.9182,54.22,0.612,548,-0.59106,0.247,LEISH
LmjF.14.0550,orphan,5.194805195,0.32742,15.467,46.95,0.601,556,0.27554,0.352,LEISH
LmjF.14.0590,orphan,37.76077886,0.68113,12.7303,53.24,0.642,1378,-0.27642,0.282,LEISH
LmjF.14.0620,orphan,54.25824176,0.65376,19.8605,51.21,0.631,668,-0.51572,0.304,LEISH
LmjF.14.0770,orphan,51.53508772,0.54846,22.7785,45.43,0.636,396,-0.43864,0.354,LEISH
LmjF.14.0940,orphan,71.30620985,0.5846,21.2563,46.45,0.645,874,-0.51579,0.369,LEISH
LmjF.14.1000,orphan,16.33064516,0.53233,19.8982,52.17,0.639,436,0.08349,0.306,LEISH
LmjF.14.1095,orphan,2.788104089,0.95737,18.1347,54.42,0.633,478,0.14121,0.263,LEISH
LmjF.14.1230,orphan,18.41269841,0.73997,20.7972,50.89,0.618,570,-0.03123,0.32,LEISH
LmjF.14.1260,orphan,0,0.34839,36.5292,45.96,0.57,152,0.21776,0.411,LEISH
LmjF.14.1380,orphan,6.631299735,0.44694,10.4592,51.51,0.617,317,-0.07256,0.27,LEISH
LmjF.15.0150,orphan,12.80991736,0.29467,28.5072,44.99,0.639,182,0.01813,0.511,LEISH
LmjF.15.0185,orphan,49.53560372,0.6959,12.9729,52,0.626,586,-0.32884,0.291,LEISH
LmjF.15.0195,orphan,16.08695652,0.77739,25.2486,54.31,0.566,400,0.2275,0.257,LEISH
LmjF.15.0250,orphan,34.77827603,0.44132,19.3108,46.84,0.659,1947,-0.11264,0.348,LEISH
LmjF.15.0310,orphan,59.10364146,0.81548,17.3308,50.4,0.665,654,-0.26758,0.3,LEISH
LmjF.15.0430,orphan,42.22222222,0.29578,15.6322,42.79,0.66,345,-0.13826,0.418,LEISH
LmjF.15.0490,orphan,61.19016818,0.67337,9.266,51.86,0.647,713,-0.30912,0.288,LEISH
LmjF.15.0550,orphan,42.47933884,0.69423,13.9297,49.03,0.659,1755,-0.1788,0.332,LEISH
LmjF.15.0560,orphan,56.47840532,0.38504,12.7823,49.22,0.648,542,-0.51882,0.347,LEISH
LmjF.15.0570,orphan,6.106870229,0.39665,24.5937,43.59,0.618,333,0.11922,0.466,LEISH
LmjF.15.0600,orphan,68.93353941,0.52787,21.7999,45.88,0.639,1234,-0.57083,0.368,LEISH
LmjF.15.0630,orphan,79.84962406,0.40085,33.5353,50.27,0.627,1270,-0.58465,0.329,LEISH
LmjF.15.0660,orphan,64.49814126,0.19924,51.971,40.01,0.649,478,-0.63975,0.447,LEISH
LmjF.15.0750,orphan,81.5468114,0.66235,8.3328,51.31,0.632,677,-0.45406,0.318,LEISH
LmjF.15.0790,orphan,16.38570465,0.53124,13.0692,46,0.656,1423,-0.02312,0.347,LEISH
LmjF.15.0825,orphan,26.12359551,0.81434,19.5124,53.08,0.65,296,-0.41689,0.294,LEISH
LmjF.15.0830,orphan,62.96715742,0.57096,9.199,49.8,0.644,823,-0.61944,0.311,LEISH
LmjF.15.0850,orphan,35.10848126,0.45732,14.0411,46.24,0.651,954,-0.18826,0.354,LEISH
LmjF.15.0860,orphan,82.85714286,0.72927,14.1489,49.81,0.651,325,-0.61292,0.296,LEISH
LmjF.15.1430,orphan,76.12903226,0.36098,34.0463,56.37,0.565,95,-0.59474,0.381,LEISH
LmjF.16.0130,orphan,20.14925373,1.05318,18.0499,49.5,0.625,208,-0.52596,0.289,LEISH
LmjF.16.0220,orphan,27.7486911,0.21968,19.0971,44.72,0.623,131,-0.74122,0.439,LEISH
LmjF.16.0400,orphan,7.932692308,0.47218,20.8939,43.37,0.623,356,-0.01742,0.404,LEISH
LmjF.16.0470,orphan,0,0.21605,35.8295,41.02,0.583,184,0.92391,0.467,LEISH
LmjF.16.0620,orphan,56.35451505,0.78147,12.4454,51.85,0.658,1136,-0.23442,0.322,LEISH
LmjF.16.0710,orphan,71.84284378,0.69447,11.8001,52.46,0.648,1009,-0.53211,0.273,LEISH
LmjF.16.0820,orphan,25.23744912,0.77088,11.8529,52.79,0.615,677,-0.35259,0.287,LEISH
LmjF.16.0860,orphan,22.32704403,0.30794,12.6323,48.56,0.612,258,-0.16628,0.398,LEISH
LmjF.16.0895,orphan,21.50837989,0.79665,15.4339,53.97,0.619,298,-0.4745,0.265,LEISH
LmjF.16.1080,orphan,91.85714286,0.81515,19.701,50.34,0.64,640,-0.99438,0.339,LEISH
LmjF.16.1100,orphan,62.78317152,0.44898,20.1822,46.55,0.658,558,-0.92814,0.349,LEISH
LmjF.16.1450,orphan,74.79452055,0.87418,16.0639,55.87,0.598,305,-0.68623,0.268,LEISH
LmjF.17.0130,orphan,22.09051724,0.35407,19.3917,46.49,0.647,868,-0.15749,0.365,LEISH
LmjF.17.0430,orphan,68.51716581,0.48856,13.8997,45.98,0.658,1309,-0.4505,0.351,LEISH
LmjF.17.0450,orphan,21.24163116,0.62919,11.8525,48.31,0.642,1583,-0.03392,0.335,LEISH
LmjF.17.0500,orphan,64.71380471,0.47637,17.7997,44.77,0.656,1425,-0.35235,0.394,LEISH
LmjF.17.0510,orphan,85.34798535,0.62253,10.9429,49.07,0.664,1032,-0.55795,0.316,LEISH
LmjF.17.0520,orphan,86.74033149,0.66489,21.7425,49.82,0.644,845,-0.38852,0.328,LEISH
LmjF.17.0560,orphan,16.72597865,0.39537,7.9565,48.77,0.644,221,-0.22489,0.388,LEISH
LmjF.17.0590,orphan,54.18138987,0.68897,10.358,51.57,0.649,1638,-0.24774,0.308,LEISH
LmjF.17.0690,orphan,55.67375887,0.44825,16.701,52.53,0.638,504,-0.46429,0.291,LEISH
LmjF.17.0810,orphan,16.89497717,0.5147,13.1049,51.38,0.62,378,0.01614,0.269,LEISH
LmjF.17.0820,orphan,76.55737705,0.21801,40.1346,49.39,0.638,550,-0.36527,0.342,LEISH
LmjF.17.0960,orphan,53.13019391,0.78281,11.823,49.43,0.65,1745,-0.17903,0.308,LEISH
LmjF.17.1090,orphan,54.16058394,0.39357,13.1355,47.56,0.652,1310,-0.46779,0.342,LEISH
LmjF.17.1170,orphan,46.91729323,0.70561,14.8852,49.02,0.645,605,-0.41455,0.338,LEISH
LmjF.17.1180,orphan,68.95522388,0.75937,13.2869,51.28,0.669,945,-0.30836,0.287,LEISH
LmjF.17.1190,orphan,49.29214929,0.37961,25.2716,47.37,0.654,717,-0.15328,0.374,LEISH
