name,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
LmjF.01.0315:mRNA-p1,0.110,17,0.140,17,0.236,14,0.177,0.154,N,0.500,SignalP-TM
LmjF.01.0320:mRNA-p1,0.110,39,0.111,55,0.130,37,0.106,0.108,N,0.450,SignalP-noTM
LmjF.01.0330.1:mRNA-p1,0.135,27,0.136,27,0.189,15,0.138,0.137,N,0.450,SignalP-noTM
LmjF.01.0330.2:mRNA-p1,0.110,62,0.106,62,0.114,46,0.095,0.100,N,0.450,SignalP-noTM
LmjF.01.0335:mRNA-p1,0.118,26,0.150,26,0.247,59,0.180,0.162,N,0.500,SignalP-TM
LmjF.01.0340:mRNA-p1,0.110,62,0.111,11,0.137,5,0.118,0.115,N,0.450,SignalP-noTM
LmjF.01.0350:mRNA-p1,0.300,17,0.225,17,0.191,5,0.171,0.196,N,0.450,SignalP-noTM
LmjF.01.0360:mRNA-p1,0.166,47,0.182,47,0.640,45,0.152,0.166,N,0.450,SignalP-noTM
LmjF.01.0370:mRNA-p1,0.134,35,0.138,44,0.268,37,0.151,0.144,N,0.500,SignalP-TM
LmjF.01.0380:mRNA-p1,0.138,24,0.131,24,0.162,21,0.124,0.127,N,0.450,SignalP-noTM
LmjF.01.0390:mRNA-p1,0.116,43,0.153,12,0.264,1,0.181,0.168,N,0.450,SignalP-noTM
LmjF.01.0400:mRNA-p1,0.306,32,0.403,32,0.726,19,0.539,0.476,Y,0.450,SignalP-noTM
LmjF.01.0410:mRNA-p1,0.115,39,0.104,14,0.113,8,0.102,0.103,N,0.450,SignalP-noTM
LmjF.01.0420:mRNA-p1,0.115,39,0.104,14,0.113,8,0.102,0.103,N,0.450,SignalP-noTM
LmjF.01.0430:mRNA-p1,0.196,46,0.220,46,0.391,44,0.201,0.212,N,0.500,SignalP-TM
LmjF.01.0440:mRNA-p1,0.145,38,0.156,38,0.225,33,0.126,0.144,N,0.500,SignalP-TM
LmjF.01.0450:mRNA-p1,0.302,19,0.244,19,0.300,2,0.181,0.210,N,0.450,SignalP-noTM
LmjF.01.0460:mRNA-p1,0.112,62,0.110,62,0.123,22,0.103,0.107,N,0.450,SignalP-noTM
LmjF.01.0470:mRNA-p1,0.113,18,0.146,18,0.225,14,0.188,0.169,N,0.450,SignalP-noTM
LmjF.01.0480:mRNA-p1,0.112,37,0.104,62,0.113,42,0.099,0.101,N,0.450,SignalP-noTM
LmjF.01.0490:mRNA-p1,0.160,16,0.136,16,0.143,13,0.115,0.125,N,0.450,SignalP-noTM
LmjF.01.0500:mRNA-p1,0.344,24,0.203,24,0.175,1,0.122,0.160,N,0.450,SignalP-noTM
LmjF.01.0510:mRNA-p1,0.160,26,0.157,26,0.229,20,0.158,0.158,N,0.450,SignalP-noTM
LmjF.01.0520:mRNA-p1,0.167,16,0.141,16,0.167,14,0.121,0.130,N,0.450,SignalP-noTM
LmjF.01.0530:mRNA-p1,0.174,17,0.194,17,0.273,4,0.206,0.201,N,0.450,SignalP-noTM
LmjF.01.0540:mRNA-p1,0.111,29,0.108,29,0.121,16,0.105,0.106,N,0.450,SignalP-noTM
LmjF.01.0550:mRNA-p1,0.116,49,0.109,41,0.126,38,0.108,0.109,N,0.450,SignalP-noTM
LmjF.01.0560:mRNA-p1,0.112,68,0.107,11,0.123,24,0.101,0.104,N,0.450,SignalP-noTM
LmjF.01.0570:mRNA-p1,0.129,57,0.115,57,0.123,16,0.102,0.108,N,0.450,SignalP-noTM
LmjF.01.0580:mRNA-p1,0.121,53,0.150,24,0.325,22,0.198,0.176,N,0.450,SignalP-noTM
LmjF.01.0590.1:mRNA-p1,0.121,16,0.153,16,0.244,1,0.172,0.163,N,0.450,SignalP-noTM
LmjF.01.0590.2:mRNA-p1,0.125,46,0.111,46,0.109,1,0.098,0.104,N,0.450,SignalP-noTM
LmjF.01.0600:mRNA-p1,0.114,54,0.123,12,0.168,1,0.119,0.121,N,0.450,SignalP-noTM
LmjF.01.0610:mRNA-p1,0.237,36,0.204,36,0.363,35,0.189,0.196,N,0.450,SignalP-noTM
LmjF.01.0620:mRNA-p1,0.149,25,0.164,25,0.251,3,0.185,0.176,N,0.450,SignalP-noTM
LmjF.01.0630:mRNA-p1,0.185,38,0.133,38,0.125,37,0.096,0.113,N,0.450,SignalP-noTM
LmjF.01.0640:mRNA-p1,0.142,28,0.179,50,0.386,44,0.203,0.188,N,0.500,SignalP-TM
LmjF.01.0650:mRNA-p1,0.158,39,0.149,12,0.230,1,0.183,0.167,N,0.450,SignalP-noTM
LmjF.01.0660:mRNA-p1,0.108,15,0.105,63,0.115,46,0.099,0.102,N,0.450,SignalP-noTM
LmjF.01.0670:mRNA-p1,0.187,21,0.234,21,0.428,1,0.279,0.258,N,0.450,SignalP-noTM
LmjF.01.0680:mRNA-p1,0.156,17,0.141,17,0.144,1,0.122,0.131,N,0.450,SignalP-noTM
LmjF.01.0690:mRNA-p1,0.131,28,0.114,28,0.140,2,0.104,0.109,N,0.450,SignalP-noTM
LmjF.01.0700:mRNA-p1,0.126,41,0.113,41,0.136,2,0.104,0.108,N,0.450,SignalP-noTM
LmjF.01.0710:mRNA-p1,0.128,32,0.164,12,0.339,1,0.231,0.191,N,0.500,SignalP-TM
LmjF.01.0720:mRNA-p1,0.113,42,0.156,11,0.264,1,0.176,0.166,N,0.450,SignalP-noTM
LmjF.01.0730:mRNA-p1,0.117,17,0.130,17,0.166,9,0.142,0.137,N,0.450,SignalP-noTM
LmjF.01.0740:mRNA-p1,0.209,59,0.149,59,0.157,4,0.106,0.126,N,0.450,SignalP-noTM
LmjF.01.0750:mRNA-p1,0.113,14,0.112,14,0.137,46,0.109,0.110,N,0.450,SignalP-noTM
LmjF.01.0760:mRNA-p1,0.113,19,0.119,19,0.161,12,0.127,0.124,N,0.450,SignalP-noTM
LmjF.01.0770:mRNA-p1,0.111,56,0.104,70,0.106,59,0.096,0.100,N,0.450,SignalP-noTM
LmjF.01.0780:mRNA-p1,0.111,56,0.104,70,0.106,59,0.096,0.100,N,0.450,SignalP-noTM
LmjF.01.0790:mRNA-p1,0.123,25,0.123,11,0.156,1,0.137,0.131,N,0.450,SignalP-noTM
LmjF.01.0800:mRNA-p1,0.137,55,0.178,11,0.398,1,0.178,0.178,N,0.450,SignalP-noTM
LmjF.01.0810:mRNA-p1,0.110,47,0.120,12,0.141,1,0.123,0.121,N,0.450,SignalP-noTM
LmjF.01.0820:mRNA-p1,0.117,23,0.110,12,0.118,1,0.108,0.109,N,0.450,SignalP-noTM
LmjF.01.0830:mRNA-p1,0.110,59,0.107,59,0.112,42,0.098,0.102,N,0.450,SignalP-noTM
LmjF.02.0010:mRNA-p1,0.111,66,0.115,11,0.167,5,0.132,0.124,N,0.450,SignalP-noTM
LmjF.02.0020:mRNA-p1,0.111,27,0.109,12,0.121,1,0.104,0.107,N,0.450,SignalP-noTM
LmjF.02.0030:mRNA-p1,0.299,21,0.207,21,0.283,1,0.128,0.164,N,0.450,SignalP-noTM
LmjF.02.0040:mRNA-p1,0.169,34,0.144,34,0.186,13,0.132,0.138,N,0.450,SignalP-noTM
LmjF.02.0050:mRNA-p1,0.109,45,0.106,45,0.114,11,0.101,0.103,N,0.450,SignalP-noTM
LmjF.02.0060:mRNA-p1,0.176,23,0.164,23,0.366,22,0.153,0.158,N,0.450,SignalP-noTM
LmjF.02.0070:mRNA-p1,0.118,41,0.113,14,0.142,2,0.111,0.112,N,0.450,SignalP-noTM
LmjF.02.0080:mRNA-p1,0.201,33,0.275,33,0.674,3,0.416,0.351,N,0.450,SignalP-noTM
LmjF.02.0085:mRNA-p1,0.182,54,0.200,54,0.293,48,0.175,0.187,N,0.450,SignalP-noTM
LmjF.02.0090:mRNA-p1,0.122,31,0.135,11,0.208,1,0.127,0.130,N,0.450,SignalP-noTM
LmjF.02.0100:pseudogenic_transcript-p1,0.111,27,0.129,19,0.218,8,0.155,0.143,N,0.450,SignalP-noTM
LmjF.02.0110:mRNA-p1,0.114,43,0.109,43,0.133,24,0.099,0.103,N,0.450,SignalP-noTM
LmjF.02.0120:mRNA-p1,0.127,34,0.120,34,0.136,26,0.111,0.115,N,0.450,SignalP-noTM
LmjF.02.0130:mRNA-p1,0.119,21,0.107,21,0.111,60,0.095,0.101,N,0.450,SignalP-noTM
LmjF.02.0140:mRNA-p1,0.109,36,0.112,11,0.136,49,0.110,0.111,N,0.450,SignalP-noTM
LmjF.02.0150:mRNA-p1,0.110,53,0.103,70,0.110,3,0.096,0.099,N,0.450,SignalP-noTM
LmjF.02.0155:mRNA-p1,0.167,65,0.131,65,0.190,1,0.111,0.120,N,0.450,SignalP-noTM
LmjF.02.0160:mRNA-p1,0.141,17,0.188,17,0.434,2,0.233,0.213,N,0.450,SignalP-noTM
LmjF.02.0170:mRNA-p1,0.164,46,0.130,46,0.125,3,0.105,0.117,N,0.450,SignalP-noTM
LmjF.02.0180:mRNA-p1,0.131,23,0.131,12,0.218,2,0.149,0.138,N,0.500,SignalP-TM
LmjF.02.0190:mRNA-p1,0.110,60,0.140,11,0.349,2,0.172,0.157,N,0.450,SignalP-noTM
LmjF.02.0200:mRNA-p1,0.125,21,0.129,21,0.154,1,0.132,0.131,N,0.450,SignalP-noTM
LmjF.02.0210:mRNA-p1,0.164,46,0.130,46,0.125,3,0.105,0.117,N,0.450,SignalP-noTM
LmjF.02.0220:mRNA-p1,0.128,23,0.125,12,0.208,2,0.136,0.129,N,0.500,SignalP-TM
LmjF.02.0230:mRNA-p1,0.151,54,0.134,25,0.202,20,0.162,0.149,N,0.450,SignalP-noTM
LmjF.02.0240:mRNA-p1,0.137,42,0.121,42,0.155,2,0.113,0.116,N,0.450,SignalP-noTM
LmjF.02.0250:mRNA-p1,0.152,37,0.224,17,0.570,11,0.399,0.294,N,0.500,SignalP-TM
LmjF.02.0260:mRNA-p1,0.122,18,0.138,18,0.188,1,0.145,0.142,N,0.450,SignalP-noTM
LmjF.02.0270:mRNA-p1,0.369,19,0.294,19,0.284,15,0.229,0.259,N,0.450,SignalP-noTM
LmjF.02.0280:mRNA-p1,0.110,27,0.113,27,0.176,11,0.113,0.113,N,0.450,SignalP-noTM
LmjF.02.0290:mRNA-p1,0.150,23,0.125,23,0.138,29,0.105,0.114,N,0.450,SignalP-noTM
LmjF.02.0300:mRNA-p1,0.126,25,0.131,16,0.160,1,0.139,0.135,N,0.450,SignalP-noTM
LmjF.02.0310:mRNA-p1,0.111,62,0.106,62,0.117,19,0.100,0.103,N,0.450,SignalP-noTM
LmjF.02.0320:mRNA-p1,0.134,17,0.139,17,0.176,4,0.135,0.137,N,0.450,SignalP-noTM
LmjF.02.0330:mRNA-p1,0.110,37,0.111,37,0.133,25,0.108,0.109,N,0.450,SignalP-noTM
LmjF.02.0340:mRNA-p1,0.110,63,0.128,63,0.210,61,0.115,0.123,N,0.500,SignalP-TM
LmjF.02.0350:mRNA-p1,0.290,17,0.365,17,0.680,2,0.391,0.379,N,0.450,SignalP-noTM
LmjF.02.0360:mRNA-p1,0.109,43,0.107,43,0.120,26,0.095,0.100,N,0.450,SignalP-noTM
LmjF.02.0370:mRNA-p1,0.109,63,0.108,30,0.121,12,0.103,0.105,N,0.450,SignalP-noTM
LmjF.02.0380:mRNA-p1,0.141,64,0.119,64,0.112,24,0.099,0.108,N,0.450,SignalP-noTM
LmjF.02.0390:mRNA-p1,0.117,24,0.128,41,0.223,34,0.143,0.136,N,0.450,SignalP-noTM
LmjF.02.0400:mRNA-p1,0.298,22,0.270,22,0.831,1,0.364,0.307,N,0.500,SignalP-TM
LmjF.02.0410:mRNA-p1,0.148,31,0.135,31,0.208,5,0.134,0.134,N,0.450,SignalP-noTM
LmjF.02.0420:mRNA-p1,0.291,50,0.365,50,0.713,39,0.241,0.316,N,0.500,SignalP-TM
LmjF.02.0430:mRNA-p1,0.375,28,0.492,28,0.793,18,0.659,0.583,Y,0.450,SignalP-noTM
LmjF.02.0440:pseudogenic_transcript-p1,0.114,46,0.136,19,0.281,4,0.188,0.164,N,0.450,SignalP-noTM
LmjF.02.0450:mRNA-p1,0.114,50,0.107,50,0.119,32,0.096,0.101,N,0.450,SignalP-noTM
LmjF.02.0460:mRNA-p1,0.108,22,0.120,11,0.162,1,0.113,0.116,N,0.450,SignalP-noTM
LmjF.02.0470:mRNA-p1,0.141,20,0.146,20,0.190,1,0.146,0.146,N,0.450,SignalP-noTM
LmjF.02.0480:mRNA-p1,0.118,46,0.109,46,0.151,45,0.096,0.102,N,0.450,SignalP-noTM
LmjF.02.0490:mRNA-p1,0.137,24,0.148,12,0.251,1,0.176,0.163,N,0.450,SignalP-noTM
LmjF.02.0500:mRNA-p1,0.153,46,0.138,11,0.215,1,0.151,0.145,N,0.450,SignalP-noTM
LmjF.02.0510:mRNA-p1,0.155,26,0.184,26,0.309,7,0.214,0.200,N,0.450,SignalP-noTM
LmjF.02.0520:mRNA-p1,0.122,17,0.124,17,0.144,12,0.124,0.124,N,0.450,SignalP-noTM
LmjF.02.0530:mRNA-p1,0.130,30,0.126,30,0.194,26,0.122,0.124,N,0.450,SignalP-noTM
LmjF.02.0540:mRNA-p1,0.383,41,0.306,41,0.474,40,0.171,0.252,N,0.500,SignalP-TM
LmjF.02.0550:mRNA-p1,0.158,17,0.146,17,0.275,16,0.133,0.139,N,0.450,SignalP-noTM
LmjF.02.0560:mRNA-p1,0.176,20,0.144,20,0.156,10,0.118,0.130,N,0.450,SignalP-noTM
LmjF.02.0570:mRNA-p1,0.123,30,0.112,50,0.126,39,0.105,0.108,N,0.450,SignalP-noTM
LmjF.02.0580:mRNA-p1,0.117,48,0.113,17,0.150,47,0.117,0.115,N,0.450,SignalP-noTM
LmjF.02.0590:mRNA-p1,0.326,20,0.265,20,0.349,2,0.197,0.228,N,0.450,SignalP-noTM
LmjF.02.0600:mRNA-p1,0.454,33,0.404,33,0.569,19,0.317,0.357,N,0.450,SignalP-noTM
LmjF.02.0610:mRNA-p1,0.220,17,0.146,17,0.123,25,0.098,0.120,N,0.450,SignalP-noTM
LmjF.02.0620:mRNA-p1,0.211,29,0.175,29,0.214,6,0.151,0.162,N,0.450,SignalP-noTM
LmjF.02.0630:mRNA-p1,0.112,30,0.110,30,0.142,2,0.111,0.111,N,0.450,SignalP-noTM
LmjF.02.0640:mRNA-p1,0.132,23,0.116,23,0.127,3,0.102,0.109,N,0.450,SignalP-noTM
LmjF.02.0650:mRNA-p1,0.111,50,0.106,50,0.115,48,0.097,0.101,N,0.450,SignalP-noTM
LmjF.02.0660:mRNA-p1,0.109,15,0.108,52,0.122,49,0.103,0.105,N,0.450,SignalP-noTM
LmjF.02.0670:mRNA-p1,0.118,45,0.118,12,0.154,12,0.127,0.123,N,0.450,SignalP-noTM
LmjF.02.0680:mRNA-p1,0.219,15,0.156,15,0.238,41,0.119,0.136,N,0.450,SignalP-noTM
LmjF.02.0690:mRNA-p1,0.110,61,0.126,12,0.210,4,0.148,0.138,N,0.450,SignalP-noTM
LmjF.02.0700:mRNA-p1,0.134,38,0.116,38,0.121,36,0.097,0.106,N,0.450,SignalP-noTM
LmjF.02.0710:mRNA-p1,0.242,23,0.316,23,0.569,3,0.411,0.367,N,0.450,SignalP-noTM
LmjF.02.0720:mRNA-p1,0.155,69,0.131,16,0.212,14,0.136,0.134,N,0.450,SignalP-noTM
LmjF.02.0730:mRNA-p1,0.109,22,0.118,22,0.172,4,0.127,0.123,N,0.450,SignalP-noTM
LmjF.02.0740:mRNA-p1,0.110,59,0.107,59,0.112,42,0.098,0.102,N,0.450,SignalP-noTM
LmjF.03.0010:mRNA-p1,0.188,29,0.376,29,0.886,8,0.759,0.583,Y,0.450,SignalP-noTM
LmjF.03.0020:mRNA-p1,0.122,28,0.156,11,0.294,2,0.193,0.176,N,0.450,SignalP-noTM
LmjF.03.0030:mRNA-p1,0.109,9,0.109,15,0.126,1,0.104,0.106,N,0.450,SignalP-noTM
LmjF.03.0040:mRNA-p1,0.143,40,0.122,12,0.174,1,0.114,0.118,N,0.450,SignalP-noTM
LmjF.03.0060:mRNA-p1,0.201,17,0.349,17,0.704,14,0.614,0.455,N,0.500,SignalP-TM
LmjF.03.0070:mRNA-p1,0.109,35,0.108,35,0.128,14,0.106,0.107,N,0.450,SignalP-noTM
LmjF.03.0080:mRNA-p1,0.149,51,0.134,51,0.167,48,0.110,0.121,N,0.450,SignalP-noTM
LmjF.03.0090:mRNA-p1,0.116,19,0.107,50,0.119,41,0.100,0.103,N,0.450,SignalP-noTM
LmjF.03.0100:mRNA-p1,0.215,22,0.284,22,0.590,12,0.376,0.334,N,0.450,SignalP-noTM
LmjF.03.0110:mRNA-p1,0.126,57,0.123,12,0.164,1,0.114,0.118,N,0.450,SignalP-noTM
LmjF.03.0120:mRNA-p1,0.110,25,0.107,25,0.119,13,0.104,0.106,N,0.450,SignalP-noTM
LmjF.03.0130:mRNA-p1,0.110,46,0.108,11,0.116,1,0.103,0.105,N,0.450,SignalP-noTM
LmjF.03.0140:mRNA-p1,0.111,65,0.106,65,0.112,26,0.097,0.101,N,0.450,SignalP-noTM
LmjF.03.0150:mRNA-p1,0.143,27,0.153,27,0.258,6,0.165,0.160,N,0.450,SignalP-noTM
LmjF.03.0160:mRNA-p1,0.112,31,0.102,67,0.119,30,0.094,0.098,N,0.450,SignalP-noTM
LmjF.03.0170:mRNA-p1,0.125,39,0.120,39,0.138,13,0.112,0.115,N,0.450,SignalP-noTM
LmjF.03.0180:mRNA-p1,0.115,30,0.120,16,0.168,16,0.129,0.125,N,0.450,SignalP-noTM
LmjF.03.0190:mRNA-p1,0.112,18,0.114,18,0.209,47,0.113,0.114,N,0.450,SignalP-noTM
LmjF.03.0200:mRNA-p1,0.327,21,0.262,21,0.301,1,0.201,0.229,N,0.450,SignalP-noTM
LmjF.03.0210:mRNA-p1,0.120,28,0.111,28,0.123,2,0.104,0.108,N,0.450,SignalP-noTM
LmjF.03.0220:mRNA-p1,0.117,37,0.152,11,0.287,1,0.167,0.160,N,0.450,SignalP-noTM
LmjF.03.0230:mRNA-p1,0.115,18,0.107,18,0.119,5,0.101,0.103,N,0.450,SignalP-noTM
LmjF.03.0240:mRNA-p1,0.107,64,0.108,32,0.119,17,0.102,0.105,N,0.500,SignalP-TM
LmjF.03.0250:mRNA-p1,0.134,21,0.121,21,0.132,3,0.109,0.115,N,0.450,SignalP-noTM
LmjF.03.0260:mRNA-p1,0.128,26,0.152,18,0.253,5,0.186,0.170,N,0.450,SignalP-noTM
LmjF.03.0270:mRNA-p1,0.113,42,0.111,58,0.132,46,0.105,0.107,N,0.450,SignalP-noTM
LmjF.03.0280:mRNA-p1,0.129,41,0.113,41,0.120,21,0.096,0.104,N,0.450,SignalP-noTM
LmjF.03.0290:pseudogenic_transcript-p1,0.112,27,0.138,12,0.202,1,0.158,0.149,N,0.450,SignalP-noTM
LmjF.03.0310:mRNA-p1,0.113,25,0.138,11,0.285,3,0.163,0.152,N,0.450,SignalP-noTM
LmjF.03.0320:mRNA-p1,0.112,33,0.108,12,0.131,12,0.110,0.109,N,0.450,SignalP-noTM
LmjF.03.0330:mRNA-p1,0.137,37,0.164,11,0.316,36,0.215,0.192,N,0.450,SignalP-noTM
LmjF.03.0340:mRNA-p1,0.329,22,0.559,19,0.979,13,0.956,0.774,Y,0.450,SignalP-noTM
LmjF.03.0350:mRNA-p1,0.125,20,0.119,20,0.151,17,0.115,0.117,N,0.450,SignalP-noTM
LmjF.03.0360:mRNA-p1,0.127,19,0.128,19,0.149,1,0.125,0.126,N,0.450,SignalP-noTM
LmjF.03.0370:mRNA-p1,0.111,24,0.106,45,0.115,42,0.097,0.101,N,0.450,SignalP-noTM
LmjF.03.0380:mRNA-p1,0.110,67,0.107,37,0.123,26,0.102,0.104,N,0.450,SignalP-noTM
LmjF.03.0390:mRNA-p1,0.110,25,0.119,12,0.170,1,0.108,0.113,N,0.450,SignalP-noTM
LmjF.03.0400:mRNA-p1,0.145,20,0.118,20,0.108,8,0.096,0.106,N,0.450,SignalP-noTM
LmjF.03.0410:mRNA-p1,0.114,68,0.110,68,0.116,53,0.103,0.106,N,0.450,SignalP-noTM
LmjF.03.0420:mRNA-p1,0.115,40,0.123,29,0.196,17,0.133,0.129,N,0.450,SignalP-noTM
LmjF.03.0430:mRNA-p1,0.294,25,0.289,25,0.405,2,0.295,0.292,N,0.450,SignalP-noTM
LmjF.03.0440:mRNA-p1,0.294,25,0.289,25,0.405,2,0.295,0.292,N,0.450,SignalP-noTM
LmjF.03.0450:mRNA-p1,0.121,46,0.111,46,0.134,33,0.101,0.106,N,0.450,SignalP-noTM
LmjF.03.0460:mRNA-p1,0.200,26,0.151,26,0.155,9,0.115,0.132,N,0.450,SignalP-noTM
LmjF.03.0470:mRNA-p1,0.122,46,0.144,18,0.247,3,0.187,0.167,N,0.450,SignalP-noTM
LmjF.03.0480:mRNA-p1,0.112,60,0.131,11,0.213,15,0.151,0.142,N,0.450,SignalP-noTM
LmjF.03.0490:mRNA-p1,0.214,26,0.247,26,0.425,9,0.290,0.270,N,0.450,SignalP-noTM
LmjF.03.0500:mRNA-p1,0.237,25,0.358,21,0.710,11,0.583,0.448,N,0.500,SignalP-TM
LmjF.03.0510:mRNA-p1,0.127,19,0.135,11,0.213,1,0.144,0.140,N,0.450,SignalP-noTM
LmjF.03.0520:mRNA-p1,0.109,54,0.106,62,0.111,60,0.097,0.101,N,0.450,SignalP-noTM
LmjF.03.0530:mRNA-p1,0.127,30,0.159,11,0.269,14,0.222,0.193,N,0.450,SignalP-noTM
LmjF.03.0540:mRNA-p1,0.109,70,0.107,12,0.114,15,0.101,0.104,N,0.450,SignalP-noTM
LmjF.03.0550:mRNA-p1,0.142,17,0.203,17,0.437,4,0.255,0.231,N,0.450,SignalP-noTM
LmjF.03.0560:mRNA-p1,0.110,65,0.104,67,0.113,22,0.099,0.101,N,0.450,SignalP-noTM
LmjF.03.0570:mRNA-p1,0.161,16,0.129,16,0.122,15,0.104,0.115,N,0.450,SignalP-noTM
LmjF.03.0580:mRNA-p1,0.152,17,0.139,54,0.173,43,0.125,0.131,N,0.450,SignalP-noTM
LmjF.03.0590:mRNA-p1,0.108,48,0.106,48,0.113,4,0.098,0.102,N,0.450,SignalP-noTM
LmjF.03.0600:mRNA-p1,0.127,38,0.126,38,0.159,17,0.121,0.123,N,0.450,SignalP-noTM
LmjF.03.0610:mRNA-p1,0.208,43,0.143,43,0.113,2,0.100,0.120,N,0.450,SignalP-noTM
LmjF.03.0620:mRNA-p1,0.120,17,0.116,17,0.121,7,0.111,0.113,N,0.450,SignalP-noTM
LmjF.03.0630:mRNA-p1,0.149,38,0.157,25,0.352,18,0.206,0.184,N,0.450,SignalP-noTM
LmjF.03.0640:mRNA-p1,0.116,28,0.137,11,0.204,1,0.157,0.148,N,0.450,SignalP-noTM
LmjF.03.0650:mRNA-p1,0.288,18,0.203,18,0.183,16,0.138,0.168,N,0.450,SignalP-noTM
LmjF.03.0660:mRNA-p1,0.136,24,0.131,24,0.156,18,0.127,0.129,N,0.450,SignalP-noTM
LmjF.03.0670:mRNA-p1,0.119,37,0.124,11,0.177,6,0.144,0.134,N,0.450,SignalP-noTM
LmjF.03.0680:mRNA-p1,0.138,16,0.127,16,0.148,37,0.115,0.120,N,0.450,SignalP-noTM
LmjF.03.0690:mRNA-p1,0.121,18,0.109,18,0.119,54,0.098,0.103,N,0.450,SignalP-noTM
LmjF.03.0700:mRNA-p1,0.124,23,0.111,23,0.129,15,0.100,0.105,N,0.450,SignalP-noTM
LmjF.03.0710:mRNA-p1,0.110,70,0.109,11,0.127,44,0.110,0.110,N,0.450,SignalP-noTM
LmjF.03.0720:mRNA-p1,0.124,30,0.195,11,0.498,2,0.319,0.262,N,0.450,SignalP-noTM
LmjF.03.0730:mRNA-p1,0.152,25,0.178,25,0.340,2,0.219,0.200,N,0.450,SignalP-noTM
LmjF.03.0740:mRNA-p1,0.107,16,0.107,32,0.136,13,0.102,0.104,N,0.450,SignalP-noTM
