name,length,num_reads,num_reads_primary,num_reads_secondary,gc,ct
LmjF.01.0530,555,158,50,39,0.602,0.654
LmjF.01.0540,360,2511,2122,123,0.608,0.567
LmjF.01.0550,91,1440,1336,34,0.582,0.495
LmjF.01.0560,131,1540,976,450,0.611,0.542
LmjF.01.0570,106,3177,1637,1430,0.547,0.557
LmjF.01.0580,223,1172,1089,34,0.596,0.605
LmjF.01.0590,305,878,818,22,0.643,0.607
LmjF.01.0600,318,296,259,25,0.66,0.585
LmjF.01.0610,527,1251,1033,144,0.62,0.505
LmjF.01.0620,335,1027,930,49,0.675,0.564
LmjF.01.0630,1201,1064,836,181,0.632,0.501
LmjF.01.0640,154,1042,563,428,0.584,0.448
LmjF.01.0650,180,2617,2253,209,0.65,0.478
LmjF.01.0660,423,782,696,40,0.669,0.456
LmjF.01.0670,224,1629,1500,87,0.652,0.696
LmjF.01.0680,1720,4254,2382,1559,0.638,0.573
LmjF.01.0690,124,5096,3167,1265,0.637,0.524
LmjF.01.0700,1594,2355,1110,1065,0.642,0.519
LmjF.01.0710,582,1064,793,146,0.636,0.577
LmjF.01.0720,171,223,215,6,0.702,0.561
LmjF.01.0730,473,305,150,144,0.67,0.516
LmjF.01.0740,16,833,818,10,0.562,0.375
LmjF.01.0750,94,1741,1542,69,0.617,0.585
LmjF.01.0760,42,1166,1073,43,0.571,0.619
LmjF.01.0770,109,44168,43008,668,0.532,0.743
LmjF.01.0780,109,44985,43008,668,0.532,0.743
LmjF.01.0790,275,971,599,278,0.585,0.556
LmjF.01.0800,29,1134,1131,2,0.793,0.483
LmjF.01.0810,968,768,494,87,0.604,0.623
LmjF.01.0820,277,216,77,63,0.61,0.617
LmjF.01.0830,10,231,225,3,0.8,0.5
LmjF.01_30,236,4083,2562,1022,0.619,0.547
LmjF.01_67,111,8785,8194,482,0.541,0.622
LmjF.01_68,27,8,2,2,0.667,0.556
LmjF.02.0010,1400,47003,24837,21107,0.619,0.575
LmjF.02.0020,80,95671,84040,10978,0.612,0.775
LmjF.02.0030,555,4,2,2,0.602,0.541
LmjF.02.0040,3288,3502,1053,758,0.596,0.541
LmjF.02.0050,229,2460,2268,135,0.555,0.629
LmjF.02.0060,204,1397,1343,28,0.623,0.613
LmjF.02.0070,1577,2767,1538,855,0.569,0.577
LmjF.02.0080,551,872,802,11,0.632,0.525
LmjF.02.0085,2,651,263,248,1,0
LmjF.02.0090,226,1576,771,419,0.513,0.571
LmjF.02.0100,925,1562,1489,35,0.61,0.477
LmjF.02.0110,1097,842,621,106,0.636,0.592
LmjF.02.0120,NA,0,NA,NA,NA,NA
LmjF.02.0130,19,3716,3288,244,0.579,0.368
LmjF.02.0140,333,486,148,121,0.64,0.601
LmjF.02.0150,269,4,1,1,0.602,0.506
LmjF.02.0155,2773,151,17,9,0.565,0.542
LmjF.02.0160,3444,802,607,38,0.549,0.617
LmjF.02.0170,1344,5355,4290,912,0.6,0.63
LmjF.02.0180,8,46,10,6,0.75,0.375
LmjF.02.0190,712,5712,4368,712,0.593,0.544
LmjF.02.0200,832,1515,1306,136,0.626,0.588
LmjF.02.0210,1345,5375,4290,912,0.599,0.628
LmjF.02.0220,8,46,10,6,0.75,0.375
LmjF.02.0230,1265,5707,4368,712,0.598,0.563
LmjF.02.0240,478,1183,1017,127,0.628,0.513
LmjF.02.0250,536,1329,1078,180,0.623,0.586
LmjF.02.0260,356,2284,2197,39,0.61,0.5
LmjF.02.0270,858,882,772,29,0.625,0.552
LmjF.02.0280,369,2791,2563,63,0.585,0.626
LmjF.02.0290,253,1437,981,268,0.601,0.506
LmjF.02.0300,169,1,1,1,0.657,0.479
LmjF.02.0310,207,270,91,90,0.599,0.618
LmjF.02.0320,135,681,658,6,0.644,0.556
LmjF.02.0330,473,745,717,22,0.626,0.562
LmjF.02.0340,200,1283,548,225,0.605,0.455
LmjF.02.0350,53,779,349,316,0.642,0.698
LmjF.02.0360,101,1321,1191,42,0.525,0.663
LmjF.02.0370,556,1152,1026,60,0.647,0.619
LmjF.02.0380,211,1704,943,626,0.597,0.502
LmjF.02.0390,600,82,37,29,0.648,0.553
LmjF.02.0400,138,7,3,1,0.587,0.442
LmjF.02.0410,105,505,479,9,0.676,0.581
LmjF.02.0420,146,1349,975,186,0.63,0.596
LmjF.02.0430,29,1524,1040,434,0.586,0.69
LmjF.02.0440,620,170,91,34,0.642,0.55
LmjF.02.0450,106,14246,10758,2559,0.566,0.642
LmjF.02.0460,162,4639,4070,518,0.537,0.753
LmjF.02.0470,NA,0,NA,NA,NA,NA
LmjF.02.0480,477,9,2,2,0.6,0.56
LmjF.02.0490,1513,489,435,29,0.642,0.5
LmjF.02.0500,262,962,841,68,0.618,0.584
LmjF.02.0510,311,4752,2665,792,0.531,0.605
LmjF.02.0520,781,52,25,6,0.609,0.572
LmjF.02.0530,550,1659,1222,265,0.576,0.536
LmjF.02.0540,1102,2345,2042,196,0.517,0.599
LmjF.02.0550,284,4784,3655,836,0.588,0.669
LmjF.02.0560,219,662,530,63,0.607,0.662
LmjF.02.0570,478,524,503,12,0.506,0.538
LmjF.02.0580,NA,0,NA,NA,NA,NA
LmjF.02.0590,94,1751,1515,193,0.628,0.66
LmjF.02.0600,19,1,1,1,0.632,0.684
LmjF.02.0610,143,3064,1620,630,0.636,0.678
LmjF.02.0620,93,1258,526,206,0.656,0.527
LmjF.02.0630,243,523,498,12,0.663,0.687
LmjF.02.0640,67,553,269,98,0.612,0.582
LmjF.02.0650,179,1678,883,439,0.592,0.514
LmjF.02.0660,224,1122,483,277,0.594,0.598
LmjF.02.0670,94,373,250,69,0.628,0.617
LmjF.02.0680,625,2676,1230,267,0.63,0.462
LmjF.02.0690,191,4790,4650,68,0.649,0.555
LmjF.02.0700,103,4748,4672,48,0.68,0.583
LmjF.02.0710,424,8624,4746,1868,0.646,0.623
LmjF.02.0720,166,2260,2064,120,0.681,0.482
LmjF.02.0730,716,222,102,79,0.635,0.527
LmjF.02.0740,69,18542,14668,2028,0.652,0.652
LmjF.02_128,66,10590,10139,244,0.591,0.515
LmjF.02_129,NA,0,NA,NA,NA,NA
LmjF.02.ncRNA1,NA,0,NA,NA,NA,NA
LmjF.03.0010,387,131,99,6,0.483,0.615
LmjF.03.0020,33,2285,2139,136,0.515,0.333
LmjF.03.0030,NA,0,NA,NA,NA,NA
LmjF.03.0040,624,12,9,1,0.457,0.564
LmjF.03.0060,46,1881,1222,168,0.543,0.5
LmjF.03.0070,167,1895,1628,102,0.557,0.647
LmjF.03.0080,428,2781,2620,105,0.636,0.528
LmjF.03.0090,14,1695,1522,83,0.571,0.429
LmjF.03.0100,300,2134,1954,56,0.583,0.503
LmjF.03.0110,275,179,111,29,0.582,0.582
LmjF.03.0120,236,894,633,225,0.593,0.466
LmjF.03.0130,38,3573,2872,307,0.579,0.632
LmjF.03.0140,87,2597,2532,31,0.644,0.644
LmjF.03.0150,109,1737,1605,56,0.679,0.606
LmjF.03.0160,106,2384,1066,864,0.585,0.547
LmjF.03.0170,202,2289,1821,298,0.594,0.525
LmjF.03.0180,351,528,478,25,0.598,0.564
LmjF.03.0190,274,3430,2321,642,0.584,0.569
LmjF.03.0200,122,4477,3213,486,0.566,0.566
LmjF.03.0210,368,2028,1189,623,0.611,0.587
LmjF.03.0220,258,1794,1688,66,0.647,0.574
LmjF.03.0230,394,5440,4200,1072,0.617,0.586
LmjF.03.0240,133,4209,3138,587,0.617,0.414
LmjF.03.0250,68,92901,84882,7080,0.529,0.735
LmjF.03.0260,311,860,591,110,0.662,0.592
LmjF.03.0270,77,1,1,1,0.74,0.545
LmjF.03.0280,235,1012,359,322,0.643,0.545
LmjF.03.0290,478,1480,1377,58,0.615,0.582
LmjF.03.0310,325,7,3,2,0.6,0.668
LmjF.03.0320,248,1725,1651,26,0.581,0.552
LmjF.03.0330,329,407,215,180,0.678,0.55
LmjF.03.0340,370,19,13,5,0.673,0.597
LmjF.03.0350,190,697,677,13,0.632,0.679
LmjF.03.0360,2478,718,613,43,0.609,0.582
LmjF.03.0370,320,1360,770,174,0.603,0.591
LmjF.03.0380,163,4605,4087,211,0.577,0.693
LmjF.03.0390,305,587,448,27,0.636,0.61
LmjF.03.0400,299,688,537,80,0.619,0.659
LmjF.03.0410,392,1693,1223,116,0.62,0.62
LmjF.03.0420,518,318,136,85,0.579,0.471
LmjF.03.0430,79,370,312,17,0.671,0.759
LmjF.03.0440,47,18518,17788,647,0.638,0.617
LmjF.03.0450,287,394,171,103,0.606,0.54
LmjF.03.0460,2311,260,94,16,0.542,0.623
LmjF.03.0470,465,1105,966,69,0.637,0.654
LmjF.03.0480,927,859,702,119,0.616,0.581
LmjF.03.0490,325,714,559,118,0.628,0.492
LmjF.03.0500,346,1049,883,96,0.618,0.697
LmjF.03.0510,NA,0,NA,NA,NA,NA
LmjF.03.0520,127,1013,696,307,0.583,0.496
LmjF.03.0530,1247,536,488,29,0.616,0.488
LmjF.03.0540,621,1535,987,372,0.639,0.614
LmjF.03.0550,262,771,402,231,0.611,0.5
LmjF.03.0560,584,1818,1428,370,0.534,0.64
LmjF.03.0570,1771,4129,1178,1085,0.645,0.492
LmjF.03.0580,76,2321,2198,77,0.645,0.513
LmjF.03.0590,684,1524,998,249,0.605,0.534
LmjF.03.0600,154,2397,2189,176,0.604,0.662
LmjF.03.0610,846,2605,1363,562,0.636,0.545
LmjF.03.0620,110,1195,678,228,0.591,0.545
LmjF.03.0630,248,4366,2217,2095,0.581,0.601
LmjF.03.0640,324,1157,594,326,0.623,0.506
LmjF.03.0650,946,1369,1198,62,0.586,0.622
LmjF.03.0660,163,3045,1663,1178,0.613,0.706
LmjF.03.0670,36,670,652,11,0.639,0.611
LmjF.03.0680,113,896,429,292,0.575,0.575
LmjF.03.0690,166,832,809,20,0.645,0.584
LmjF.03.0700,NA,0,NA,NA,NA,NA
LmjF.03.0710,103,888,447,247,0.689,0.631
LmjF.03.0720,785,376,296,54,0.65,0.475
LmjF.03.0730,16,186,130,29,0.562,0.312
LmjF.03.0740,153,3860,1481,1232,0.562,0.621
LmjF.03.0750,168,576,459,94,0.655,0.536
LmjF.03.0760,199,120,78,22,0.643,0.533
LmjF.03.0770,163,73,30,13,0.638,0.65
LmjF.03.0780,NA,0,NA,NA,NA,NA
LmjF.03.0790,24,576,453,66,0.625,0.625
LmjF.03.0800,89,6,3,2,0.64,0.674
LmjF.03.0810,188,327,126,113,0.67,0.484
LmjF.03.0820,NA,0,NA,NA,NA,NA
LmjF.03.0830,138,571,548,11,0.63,0.587
LmjF.03.0840,19,1264,1229,21,0.579,0.684
LmjF.03.0850,164,9,8,1,0.677,0.555
LmjF.03.0860,382,476,328,117,0.665,0.524
LmjF.03.0870,435,461,245,177,0.63,0.584
LmjF.03.0880,567,307,271,25,0.644,0.494
LmjF.03.0890,1085,6207,3064,2146,0.615,0.543
LmjF.03.0900,316,1652,1474,51,0.62,0.595
LmjF.03.0910,180,1411,1345,43,0.628,0.489
LmjF.03.0920,505,2234,1868,217,0.586,0.586
LmjF.03.0930,90,1230,1133,38,0.644,0.711
LmjF.03.0940,321,3480,1590,1425,0.573,0.583
LmjF.03.0950,55,2269,2018,210,0.509,0.491
LmjF.03.0960,67,18328,16742,1370,0.552,0.537
LmjF.03.0970,94,22,10,5,0.468,0.787
LmjF.03.0980,17,6,5,1,0.294,0.588
LmjF.03_242,929,992,811,105,0.555,0.603
LmjF.03_244,71,1032,620,115,0.535,0.549
LmjF.04.0010,98,2171,1818,224,0.469,0.52
LmjF.04.0020,1098,1368,1286,24,0.539,0.518
LmjF.04.0030,183,2471,1893,393,0.514,0.617
LmjF.04.0035,122,4671,4296,137,0.492,0.516
LmjF.04.0040,114,3566,3493,31,0.491,0.526
LmjF.04.0045,20,2204,1922,73,0.65,0.5
LmjF.04.0050,573,2429,1492,670,0.436,0.585
LmjF.04.0060,163,2531,1203,1160,0.515,0.552
LmjF.04.0070,30,2359,1631,708,0.6,0.367
LmjF.04.0080,3,2855,2854,1,0.667,0.667
LmjF.04.0090,789,471,269,118,0.569,0.597
LmjF.04.0100,187,1577,1530,23,0.636,0.61
LmjF.04.0110,286,1528,1377,76,0.591,0.542
LmjF.04.0120,137,1396,715,604,0.577,0.445
LmjF.04.0123,236,3968,3437,316,0.572,0.517
LmjF.04.0127,152,1196,1033,59,0.526,0.546
LmjF.04.0130,91,1036,893,139,0.626,0.714
LmjF.04.0140,91,1143,897,141,0.626,0.714
LmjF.04.0150,91,1136,897,131,0.626,0.714
LmjF.04.0160,91,1143,903,143,0.626,0.714
LmjF.04.0170,91,1131,890,146,0.626,0.714
LmjF.04.0180,1207,3126,2377,578,0.616,0.594
LmjF.04.0190,177,697,578,64,0.638,0.689
LmjF.04.0200,127,2930,2632,73,0.598,0.677
LmjF.04.0210,139,681,567,16,0.64,0.669
LmjF.04.0220,417,2714,2209,120,0.595,0.583
LmjF.04.0230,98,3421,3343,38,0.571,0.684
LmjF.04.0240,221,10488,6391,2471,0.561,0.57
LmjF.04.0250,72,848,408,203,0.625,0.639
LmjF.04.0260,172,1635,1263,146,0.581,0.436
LmjF.04.0270,172,1896,1618,198,0.587,0.477
LmjF.04.0280,332,2,1,1,0.581,0.416
LmjF.04.0290,382,1992,1769,133,0.563,0.649
LmjF.04.0300,571,3919,3758,58,0.618,0.518
LmjF.04.0310,111,21028,20982,9,0.613,0.622
LmjF.04.0320,2,21051,20982,6,0.5,0.5
LmjF.04.0330,62,924,796,105,0.484,0.645
LmjF.04.0340,48,4006,3691,182,0.604,0.354
LmjF.04.0350,861,1742,1051,540,0.616,0.548
LmjF.04.0370,261,18,9,2,0.582,0.529
LmjF.04.0380,293,513,488,8,0.614,0.478
LmjF.04.0390,164,2625,1153,955,0.604,0.634
LmjF.04.0400,254,2353,718,302,0.598,0.406
LmjF.04.0410,714,447,301,96,0.612,0.606
LmjF.04.0420,340,2309,2169,62,0.591,0.653
LmjF.04.0430,NA,0,NA,NA,NA,NA
LmjF.04.0440,1890,3440,1156,525,0.596,0.588
LmjF.04.0450,2911,1971,810,388,0.622,0.515
LmjF.04.0460,41,2715,2534,125,0.39,0.463
LmjF.04.0465,413,60,5,4,0.605,0.598
LmjF.04.0470,64,44003,38748,3520,0.516,0.578
LmjF.04.0480,847,1303,1165,38,0.602,0.661
LmjF.04.0490,191,2894,2732,51,0.613,0.602
LmjF.04.0500,NA,0,NA,NA,NA,NA
LmjF.04.0510,228,1492,1104,199,0.566,0.535
LmjF.04.0520,66,955,920,14,0.667,0.727
LmjF.04.0530,1302,1243,1116,41,0.662,0.513
LmjF.04.0540,863,1143,1051,64,0.622,0.605
LmjF.04.0550,268,1213,691,247,0.597,0.478
LmjF.04.0560,139,2579,2134,249,0.597,0.532
LmjF.04.0570,762,37,12,9,0.605,0.617
LmjF.04.0580,109,5753,4917,208,0.532,0.477
LmjF.04.0590,176,2388,1106,593,0.597,0.58
LmjF.04.0600,NA,0,NA,NA,NA,NA
LmjF.04.0610,47,967,755,198,0.638,0.596
LmjF.04.0620,728,471,249,84,0.582,0.633
LmjF.04.0625,95,3740,2390,864,0.432,0.579
LmjF.04.0630,88,13977,11377,1890,0.409,0.443
LmjF.04.0640,1222,1160,1075,20,0.593,0.598
LmjF.04.0650,10,1034,394,190,0.7,0.6
LmjF.04.0660,515,2871,1858,530,0.614,0.565
LmjF.04.0670,122,4238,2213,1443,0.607,0.639
LmjF.04.0680,586,3515,2441,661,0.58,0.667
LmjF.04.0690,324,2657,2309,198,0.617,0.454
LmjF.04.0700,675,7,4,2,0.633,0.52
LmjF.04.0710,602,887,668,94,0.625,0.555
LmjF.04.0720,579,720,329,311,0.644,0.591
LmjF.04.0730,NA,0,NA,NA,NA,NA
LmjF.04.0740,310,984,805,66,0.623,0.574
LmjF.04.0750,99,43518,41460,750,0.626,0.616
LmjF.04.0760,489,189,57,39,0.569,0.495
LmjF.04.0770,79,8059,7992,38,0.557,0.633
LmjF.04.0780,249,563,361,86,0.618,0.647
LmjF.04.0790,641,790,557,137,0.587,0.615
LmjF.04.0800,207,6,3,1,0.618,0.459
LmjF.04.0810,122,2656,2266,349,0.623,0.549
LmjF.04.0820,739,5,1,1,0.602,0.526
LmjF.04.0830,1099,1123,647,337,0.626,0.625
LmjF.04.0840,430,1326,676,310,0.579,0.542
LmjF.04.0850,251,2470,2427,29,0.614,0.661
LmjF.04.0860,169,2011,1567,148,0.574,0.402
LmjF.04.0870,1056,1277,1024,90,0.606,0.585
LmjF.04.0880,137,1876,432,373,0.62,0.467
LmjF.04.0890,688,1538,1309,103,0.596,0.578
LmjF.04.0900,847,377,168,47,0.597,0.622
LmjF.04.0910,104,1638,1491,86,0.567,0.654
LmjF.04.0920,1539,1376,1299,21,0.626,0.598
LmjF.04.0930,968,12,2,2,0.648,0.501
LmjF.04.0940,666,1982,1704,44,0.617,0.616
LmjF.04.0950,69,46198,43583,843,0.536,0.536
LmjF.04.0960,79,6007,5512,225,0.57,0.722
LmjF.04.0970,86,970,938,17,0.581,0.5
LmjF.04.0975,54,546,409,135,0.667,0.778
LmjF.04.0980,241,522,492,14,0.618,0.656
LmjF.04.0990,400,1,1,1,0.645,0.618
LmjF.04.1000,633,840,498,149,0.607,0.664
LmjF.04.1010,28,502,489,9,0.714,0.643
LmjF.04.1020,83,1,1,1,0.639,0.554
LmjF.04.1030,310,7271,6911,77,0.561,0.581
LmjF.04.1040,905,1154,752,158,0.644,0.512
LmjF.04.1050,77,2610,1752,520,0.584,0.481
LmjF.04.1060,255,1583,1324,194,0.608,0.573
LmjF.04.1070,34,4037,2894,1080,0.647,0.5
LmjF.04.1080,353,1179,727,369,0.612,0.626
LmjF.04.1090,711,798,687,53,0.62,0.515
LmjF.04.1100,38,11,9,1,0.579,0.447
LmjF.04.1110,316,2559,966,737,0.579,0.494
LmjF.04.1120,26,30,20,8,0.615,0.538
LmjF.04.1130,336,2773,1782,945,0.616,0.488
LmjF.04.1140,143,1835,686,605,0.615,0.538
LmjF.04.1150,66,3681,3519,77,0.53,0.348
LmjF.04.1160,370,3220,2988,113,0.592,0.686
LmjF.04.1165,443,3151,2806,134,0.625,0.456
LmjF.04.1170,1480,2187,1170,442,0.526,0.679
LmjF.04.1180,NA,0,NA,NA,NA,NA
LmjF.04.1190,142,2308,1983,73,0.585,0.599
LmjF.04.1200,154,1579,1349,137,0.545,0.617
LmjF.04.1210,343,3924,3592,144,0.548,0.589
LmjF.04.1220,193,1816,1201,573,0.492,0.58
LmjF.04.1230,74,9153,8372,544,0.351,0.568
LmjF.04_368,7,1310,1279,7,0.571,0.714
LmjF.04_440,174,5611,5267,83,0.563,0.626
LmjF.05.0010,122,1841,1699,105,0.459,0.623
LmjF.05.0020,36,3273,2659,565,0.75,0.528
LmjF.05.0030,85,16920,16344,422,0.494,0.565
LmjF.05.0040,121,7953,7080,707,0.529,0.57
LmjF.05.0050,110,1350,1193,118,0.636,0.518
LmjF.05.0060,352,2608,2030,260,0.577,0.54
LmjF.05.0070,353,4619,3147,561,0.564,0.521
LmjF.05.0080,60,2609,1378,1108,0.55,0.433
LmjF.05.0090,547,2586,1034,763,0.541,0.689
LmjF.05.0100,1054,2130,1671,410,0.554,0.63
LmjF.05.0110,189,1080,769,117,0.587,0.471
LmjF.05.0120,97,1416,913,447,0.68,0.629
LmjF.05.0130,926,1313,1237,53,0.58,0.626
LmjF.05.0140,115,2370,769,641,0.609,0.522
LmjF.05.0150,158,409,322,45,0.677,0.57
LmjF.05.0160,341,811,760,22,0.619,0.607
LmjF.05.0170,103,595,561,31,0.592,0.631
LmjF.05.0180,641,2483,2271,128,0.596,0.671
LmjF.05.0190,175,3555,3017,317,0.589,0.509
LmjF.05.0200,90,1349,878,222,0.633,0.522
LmjF.05.0210,373,1266,972,232,0.59,0.534
LmjF.05.0220,1018,1876,1363,260,0.622,0.565
LmjF.05.0230,117,1844,862,587,0.632,0.607
LmjF.05.0240,911,1772,1414,157,0.606,0.57
LmjF.05.0250,46,3574,2145,658,0.609,0.587
LmjF.05.0260,197,35,12,10,0.574,0.675
LmjF.05.0270,152,2580,2457,27,0.618,0.586
LmjF.05.0280,85,8845,8771,39,0.518,0.682
LmjF.05.0285,132,2362,2135,92,0.561,0.523
LmjF.05.0290,301,1886,1518,273,0.532,0.571
LmjF.05.0300,263,4,1,1,0.586,0.365
LmjF.05.0310,103,1302,1240,31,0.67,0.67
LmjF.05.0320,NA,0,NA,NA,NA,NA
LmjF.05.0330,102,2447,1286,917,0.549,0.578
LmjF.05.0340,128,2262,1925,260,0.602,0.688
LmjF.05.0350,318,16053,10049,3085,0.528,0.626
LmjF.05.0360,106,1614,1171,207,0.575,0.708
LmjF.05.0370,202,2795,1389,971,0.569,0.589
LmjF.05.0380,453,2359,1135,971,0.614,0.647
LmjF.05.0390,1873,5132,2986,1154,0.576,0.609
LmjF.05.0400,285,1399,1268,45,0.632,0.575
LmjF.05.0410,111,598,564,29,0.613,0.486
LmjF.05.0420,175,1252,766,382,0.634,0.589
LmjF.05.0430,259,1125,899,102,0.641,0.614
LmjF.05.0440,6,90,90,90,0.5,0.5
LmjF.05.0450,106,15994,14801,1131,0.425,0.623
LmjF.05.0460,183,1791,974,667,0.486,0.536
LmjF.05.0470,1149,9,2,2,0.588,0.508
LmjF.05.0480,176,4315,4037,223,0.619,0.716
LmjF.05.0490,173,681,351,79,0.572,0.601
LmjF.05.0500,1030,1668,815,582,0.623,0.573
LmjF.05.0510,660,122,26,11,0.653,0.602
LmjF.05.0520,780,3157,2396,98,0.617,0.564
LmjF.05.0530,293,902,834,20,0.563,0.618
LmjF.05.0540,143,4309,3729,180,0.58,0.573
LmjF.05.0550,679,2175,1496,244,0.636,0.523
LmjF.05.0560,228,2461,2201,89,0.627,0.68
LmjF.05.0570,156,2538,1826,576,0.667,0.545
LmjF.05.0580,437,3114,3007,61,0.597,0.638
LmjF.05.0590,151,1848,1372,198,0.556,0.43
LmjF.05.0600,176,911,906,2,0.608,0.676
LmjF.05.0610,405,544,368,156,0.57,0.558
LmjF.05.0620,306,554,229,173,0.657,0.52
LmjF.05.0630,299,1848,1785,45,0.609,0.401
LmjF.05.0640,224,892,731,128,0.683,0.594
LmjF.05.0650,547,2468,2296,77,0.653,0.543
LmjF.05.0660,137,956,570,163,0.635,0.54
LmjF.05.0670,NA,0,NA,NA,NA,NA
LmjF.05.0680,245,948,930,6,0.641,0.633
LmjF.05.0690,NA,0,NA,NA,NA,NA
LmjF.05.0700,671,1178,930,58,0.601,0.629
LmjF.05.0710,1618,2852,2351,158,0.595,0.62
LmjF.05.0720,491,2,1,1,0.597,0.542
LmjF.05.0730,423,1908,1864,31,0.636,0.539
LmjF.05.0740,1395,6359,5045,1009,0.601,0.653
LmjF.05.0750,171,2713,1801,548,0.626,0.421
LmjF.05.0760,875,116,65,19,0.613,0.551
LmjF.05.0770,57,605,414,60,0.544,0.614
LmjF.05.0780,148,17095,9169,7692,0.574,0.628
LmjF.05.0790,369,780,589,101,0.653,0.588
LmjF.05.0800,67,728,654,74,0.627,0.642
LmjF.05.0810,33,7477,6080,1269,0.606,0.303
LmjF.05.0820,53,1213,1111,66,0.604,0.396
LmjF.05.0830,77,1802,1284,505,0.61,0.701
LmjF.05.0840,1073,1358,1253,74,0.583,0.602
LmjF.05.0850,217,870,688,57,0.581,0.585
LmjF.05.0860,164,1978,1856,46,0.585,0.616
LmjF.05.0870,395,220,127,51,0.623,0.542
LmjF.05.0880,219,2225,2113,53,0.626,0.566
LmjF.05.0890,245,1646,1621,9,0.58,0.424
LmjF.05.0900,99,1398,1204,89,0.616,0.747
LmjF.05.0910,180,1622,1348,93,0.567,0.617
LmjF.05.0920,153,2839,2451,361,0.608,0.569
LmjF.05.0930,215,1335,911,356,0.595,0.563
LmjF.05.0940,155,1547,1355,93,0.613,0.594
LmjF.05.0950,1263,2936,1289,1270,0.602,0.595
LmjF.05.0960,160,2452,1840,319,0.606,0.725
LmjF.05.0970,84,1961,1154,487,0.512,0.655
LmjF.05.0980,436,5076,4668,300,0.571,0.477
LmjF.05.0990,141,1939,1475,200,0.582,0.518
LmjF.05.1000,117,10064,8407,1332,0.573,0.709
LmjF.05.1010,195,1361,1128,118,0.59,0.503
LmjF.05.1020,48,1857,1357,275,0.479,0.562
LmjF.05.1030,49,8948,8239,500,0.49,0.551
LmjF.05.1040,27,2894,2235,244,0.407,0.259
LmjF.05.1050,74,2292,1758,255,0.446,0.608
LmjF.05.1060,142,2768,2703,29,0.472,0.585
LmjF.05.1070,135,2158,2104,39,0.541,0.541
LmjF.05.1080,199,2775,1667,836,0.558,0.558
LmjF.05.1090,210,2861,1839,699,0.567,0.571
LmjF.05.1100,273,4481,3819,548,0.527,0.505
